trait,fold,method,selection_method,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_selection,n_pcs_fit,alpha,pearson_r,mse_adj,pevmean_obj,ga_generations,ga_cache_size,ga_elapsed_sec,fit_time_seconds
thr_tarsus,1,full_train_pc_ridge,full_train,-1,-1,5085,5085,565,3250,100,3250,107097.74831514445,0.47383814494498877,0.4930802881717682,0.012650483287870884,0,0,0.0,1.2639531511813402
thr_tarsus,1,pevmean_ga_pc_ridge,pevmean_ga,0,1000514,500,5085,565,3250,100,3250,107097.74831514445,0.2791220331645071,0.5651639699935913,0.02746882475912571,300,26026,60.625544224865735,0.02998811681754887
thr_tarsus,1,pevmean_ga_pc_ridge,pevmean_ga,0,1001014,1000,5085,565,3250,100,3250,107097.74831514445,0.3103225868851305,0.5537021160125732,0.02321658842265606,300,26545,76.85939939506352,0.0950932689011097
thr_tarsus,1,pevmean_ga_pc_ridge,pevmean_ga,0,1001514,1500,5085,565,3250,100,3250,107097.74831514445,0.41124775087310483,0.5313433408737183,0.02039235271513462,300,26621,91.46448215097189,0.20108978799544275
thr_tarsus,1,pevmean_ga_pc_ridge,pevmean_ga,0,1002014,2000,5085,565,3250,100,3250,107097.74831514445,0.407532988059506,0.5262832641601562,0.01841549202799797,300,26723,106.9138384279795,0.33888983400538564
thr_tarsus,1,pevmean_ga_pc_ridge,pevmean_ga,0,1002514,2500,5085,565,3250,100,3250,107097.74831514445,0.4373694104141408,0.5152935981750488,0.01691330224275589,300,26538,119.80348953208886,0.5664118530694395
thr_tarsus,1,pevmean_ga_pc_ridge,pevmean_ga,0,1003014,3000,5085,565,3250,100,3250,107097.74831514445,0.45417521377268705,0.5082443952560425,0.01565014384686947,300,26385,135.55366640887223,0.8232709178701043
thr_tarsus,1,pevmean_ga_pc_ridge,pevmean_ga,0,1003514,3500,5085,565,3250,100,3250,107097.74831514445,0.45673356238718404,0.5038196444511414,0.014658302068710327,300,26743,152.4480348820798,1.0684129970613867
thr_tarsus,1,pevmean_ga_pc_ridge,pevmean_ga,0,1004014,4000,5085,565,3250,100,3250,107097.74831514445,0.4753242382626974,0.4958995580673218,0.013767770491540432,300,26533,168.46024696691893,1.1063217849005014
thr_tarsus,1,pevmean_ga_pc_ridge,pevmean_ga,0,1004514,4500,5085,565,3250,100,3250,107097.74831514445,0.47304001188681133,0.49358412623405457,0.01309945248067379,300,26409,167.70415431982838,1.1518660031724721
