trait,model_type,target_island,target_island_name,analysis,method,selection_method,lambda_label,lambda_div,n_components,n_individuals,corr_mean,corr_std,mse_mean,avg_grm_target_mean,avg_grm_train_train_mean,objective_mean,n_rows
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,500,0.2078516217568446,,1.2728564739227295,0.0130721131910762,0.0116853571758721,0.0101507738971082,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,1000,0.2154783036011782,,1.2746347188949585,0.0091444171676674,0.0078875549929709,0.0071725284194246,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,1500,0.2111081511815216,,1.2846888303756714,0.0071957053634374,0.0063869065429665,0.0055989787276958,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,2000,0.2144193534080035,,1.2866276502609253,0.0058444526309561,0.0053809072410658,0.0044992258206896,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,2500,0.2020149998342733,,1.289292335510254,0.0047458910904264,0.0045105033450336,0.003618265254168,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,3000,0.1920301794035389,,1.2914952039718628,0.003771529639244,0.0037267792827025,0.0028398348185684,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,3500,0.1980059817679343,,1.288930058479309,0.0028451091232311,0.0029270399164548,0.0021133491441174,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,4000,0.2047144845062748,,1.2900547981262207,0.0019122132096966,0.0020475030563117,0.0014003374456186,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,4500,0.2010951571832314,,1.2895114421844482,0.0009093631747727,0.001057330541645,0.0006450305393614,1
body_mass,ridge,5,Hestmannøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,500,0.1405530581070242,,1.5923819541931152,0.0077988793004598,0.0111385558069959,0.0050142403487108,1
body_mass,ridge,5,Hestmannøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,1000,0.1430550673373636,,1.5857691764831543,0.0054939578404415,0.0085494906978498,0.003356585165979,1
body_mass,ridge,5,Hestmannøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,1500,0.1279859423820941,,1.588457703590393,0.004046615658989,0.007347515280984,0.002209736838743,1
body_mass,ridge,5,Hestmannøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,2000,0.1445963726158417,,1.5799964666366575,0.0027843453441329,0.0062374706551355,0.001224977680349,1
body_mass,ridge,5,Hestmannøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,2500,0.1414697609692111,,1.5792440176010132,0.0014205832273313,0.0046676276063699,0.0002536763257388,1
body_mass,ridge,5,Hestmannøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,3000,0.1490775636512023,,1.5764132738113403,-8.451897730200109e-05,0.0027371951763062,-0.0007688177713785,1
body_mass,ridge,5,Hestmannøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,3500,0.1406747655774591,,1.5796087980270386,-0.0014806851370676,0.001438946396457,-0.0018404217361818,1
body_mass,ridge,5,Hestmannøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,4000,0.1389536430897518,,1.5806751251220703,-0.0027072978471839,0.0008610527254198,-0.0029225610285389,1
