n_individuals,method,order_seed,pevmean_obj,pevmean_n_pcs,pevmean_lambda,target_island,target_island_name,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
3000,pevmean_ga,-1,0.17401600728575617,100,2235.717038262904,0,Nesøy,4,555131593,body_mass,300,26696,100.6777142691426
3500,pevmean_ga,-1,0.15890403603165618,100,2235.717038262904,0,Nesøy,4,555131593,body_mass,300,26561,110.85922061605379
4000,pevmean_ga,-1,0.14772551813710924,100,2235.717038262904,0,Nesøy,4,555131593,body_mass,300,26678,120.44142713909969
4500,pevmean_ga,-1,0.1379288345797013,100,2235.717038262904,0,Nesøy,4,555131593,body_mass,300,26484,123.80815549986437
500,pevmean_ga,-1,0.0890530080542527,100,2235.717038262904,1,Myken,0,1714262082,body_mass,300,26412,50.823718985076994
1000,pevmean_ga,-1,0.058120812645295346,100,2235.717038262904,1,Myken,0,1714262082,body_mass,300,26544,60.77016474632546
1500,pevmean_ga,-1,0.04562325118897358,100,2235.717038262904,1,Myken,0,1714262082,body_mass,300,26551,70.52836755290627
2000,pevmean_ga,-1,0.03882864731855557,100,2235.717038262904,1,Myken,0,1714262082,body_mass,300,26530,81.82705665426329
2500,pevmean_ga,-1,0.03400583531725871,100,2235.717038262904,1,Myken,0,1714262082,body_mass,300,26765,90.4396820566617
3000,pevmean_ga,-1,0.03046668913449623,100,2235.717038262904,1,Myken,0,1714262082,body_mass,300,26632,101.34227038174868
3500,pevmean_ga,-1,0.028236467552841888,100,2235.717038262904,1,Myken,0,1714262082,body_mass,300,26558,111.17127752583474
4000,pevmean_ga,-1,0.026499129762600996,100,2235.717038262904,1,Myken,0,1714262082,body_mass,300,26521,120.67536803381518
4500,pevmean_ga,-1,0.02509145175609974,100,2235.717038262904,1,Myken,0,1714262082,body_mass,300,26599,122.16515110619366
500,pevmean_ga,-1,0.08920839162166869,100,2235.717038262904,1,Myken,1,2085454949,body_mass,300,26536,52.33299823803827
1000,pevmean_ga,-1,0.0571959492872235,100,2235.717038262904,1,Myken,1,2085454949,body_mass,300,26480,61.21338583296165
1500,pevmean_ga,-1,0.044827012555472716,100,2235.717038262904,1,Myken,1,2085454949,body_mass,300,26436,70.57339350879192
2000,pevmean_ga,-1,0.03903729122466845,100,2235.717038262904,1,Myken,1,2085454949,body_mass,300,26561,80.5490086642094
2500,pevmean_ga,-1,0.03429147369503507,100,2235.717038262904,1,Myken,1,2085454949,body_mass,300,26622,90.54348165309057
3000,pevmean_ga,-1,0.03086101655853566,100,2235.717038262904,1,Myken,1,2085454949,body_mass,300,26705,101.37411698605865
3500,pevmean_ga,-1,0.028320843728486457,100,2235.717038262904,1,Myken,1,2085454949,body_mass,300,26628,111.0687198326923
4000,pevmean_ga,-1,0.02645623177763232,100,2235.717038262904,1,Myken,1,2085454949,body_mass,300,26667,120.85195987997577
4500,pevmean_ga,-1,0.025075976553041734,100,2235.717038262904,1,Myken,1,2085454949,body_mass,300,26681,126.01184967672452
500,pevmean_ga,-1,0.0867206143263393,100,2235.717038262904,1,Myken,2,2060266791,body_mass,300,26590,51.1148524209857
1000,pevmean_ga,-1,0.05760048551232245,100,2235.717038262904,1,Myken,2,2060266791,body_mass,300,26569,61.25207332195714
1500,pevmean_ga,-1,0.045097815738490005,100,2235.717038262904,1,Myken,2,2060266791,body_mass,300,26562,70.8507282086648
2000,pevmean_ga,-1,0.03837619356201127,100,2235.717038262904,1,Myken,2,2060266791,body_mass,300,26586,81.51630648970604
2500,pevmean_ga,-1,0.03426420645512305,100,2235.717038262904,1,Myken,2,2060266791,body_mass,300,26635,89.8119206991978
3000,pevmean_ga,-1,0.030764203070480334,100,2235.717038262904,1,Myken,2,2060266791,body_mass,300,26749,101.54761116718873
3500,pevmean_ga,-1,0.02847830613097866,100,2235.717038262904,1,Myken,2,2060266791,body_mass,300,26615,110.59545868542045
4000,pevmean_ga,-1,0.026589645248181918,100,2235.717038262904,1,Myken,2,2060266791,body_mass,300,26639,120.07934860605747
4500,pevmean_ga,-1,0.025206936375575435,100,2235.717038262904,1,Myken,2,2060266791,body_mass,300,26683,128.63822883134708
500,pevmean_ga,-1,0.08779040868841732,100,2235.717038262904,1,Myken,3,464011987,body_mass,300,26366,51.17116240831092
1000,pevmean_ga,-1,0.05707147609682397,100,2235.717038262904,1,Myken,3,464011987,body_mass,300,26635,61.629051255993545
1500,pevmean_ga,-1,0.044768679292569835,100,2235.717038262904,1,Myken,3,464011987,body_mass,300,26550,71.10115133505315
2000,pevmean_ga,-1,0.03800335767866608,100,2235.717038262904,1,Myken,3,464011987,body_mass,300,26499,81.93371782405302
2500,pevmean_ga,-1,0.03384523134323177,100,2235.717038262904,1,Myken,3,464011987,body_mass,300,26533,90.39739108411595
3000,pevmean_ga,-1,0.03056911741506476,100,2235.717038262904,1,Myken,3,464011987,body_mass,300,26605,100.38256799569353
3500,pevmean_ga,-1,0.02865540514691906,100,2235.717038262904,1,Myken,3,464011987,body_mass,300,26548,110.74846341414377
4000,pevmean_ga,-1,0.02657635040546777,100,2235.717038262904,1,Myken,3,464011987,body_mass,300,26687,120.67034665681422
4500,pevmean_ga,-1,0.02508308680539813,100,2235.717038262904,1,Myken,3,464011987,body_mass,300,26609,127.83276679506525
500,pevmean_ga,-1,0.0885276387420242,100,2235.717038262904,1,Myken,4,131593733,body_mass,300,26421,51.35724544618279
1000,pevmean_ga,-1,0.0578331636036077,100,2235.717038262904,1,Myken,4,131593733,body_mass,300,26608,61.47251406079158
1500,pevmean_ga,-1,0.04558438887800819,100,2235.717038262904,1,Myken,4,131593733,body_mass,300,26673,71.18162232730538
2000,pevmean_ga,-1,0.038416816079053215,100,2235.717038262904,1,Myken,4,131593733,body_mass,300,26662,81.1903814971447
2500,pevmean_ga,-1,0.033838177070632615,100,2235.717038262904,1,Myken,4,131593733,body_mass,300,26592,89.49698611395434
3000,pevmean_ga,-1,0.03088739825910473,100,2235.717038262904,1,Myken,4,131593733,body_mass,300,26597,100.496991366148
