n_permutations,n_cal_samples,best_n_removed,best_n_islands,best_corr_mean,corr_baseline,avg_gain_over_baseline,n_runs
10,10,0,15,0.1425436097503199,0.1425436097503199,0.0,10
10,20,1,14,0.1558723688726255,0.15295623403830935,0.0029161348343161586,10
10,40,4,11,0.17055100701049133,0.15930103293352463,0.011249974076966707,10
10,80,6,9,0.1431310212961096,0.14016820416122178,0.0029628171348878296,10
10,150,3,12,0.14541945779893872,0.13460232899199495,0.010817128806943771,10
20,10,0,15,0.1425436097503199,0.1425436097503199,0.0,10
20,20,2,13,0.15753751829353174,0.15295623403830935,0.00458128425522239,10
20,40,5,10,0.17112676025233742,0.15930103293352463,0.01182572731881279,10
20,80,5,10,0.1458023759673541,0.14016820416122178,0.005634171806132321,10
20,150,4,11,0.1418228560402351,0.13460232899199495,0.0072205270482401385,10
40,10,0,15,0.1425436097503199,0.1425436097503199,0.0,10
40,20,1,14,0.1558723688726255,0.15295623403830935,0.0029161348343161586,10
40,40,5,10,0.1702650654373332,0.15930103293352463,0.010964032503808563,10
40,80,5,10,0.14773702127247798,0.14016820416122178,0.007568817111256204,10
40,150,4,11,0.1421751356646363,0.13460232899199495,0.007572806672641347,10
80,10,0,15,0.1425436097503199,0.1425436097503199,0.0,10
80,20,1,14,0.15480359707773156,0.15295623403830935,0.0018473630394222063,10
80,40,3,12,0.1695260593991651,0.15930103293352463,0.010225026465640469,10
80,80,5,10,0.14773702127247798,0.14016820416122178,0.007568817111256204,10
80,150,6,9,0.1428519754678817,0.13460232899199495,0.008249646475886746,10
150,10,0,15,0.1425436097503199,0.1425436097503199,0.0,10
150,20,1,14,0.15494721771026318,0.15295623403830935,0.0019909836719538276,10
150,40,3,12,0.1695260593991651,0.15930103293352463,0.010225026465640469,10
150,80,5,10,0.14666736298028557,0.14016820416122178,0.006499158819063794,10
150,150,6,9,0.14227052851508687,0.13460232899199495,0.0076681995230919175,10
