n_permutations,n_cal_samples,best_n_removed,best_n_islands,best_corr_mean,corr_baseline,avg_gain_over_baseline,n_runs
10,10,0,15,0.2213235928636962,0.2213235928636962,0.0,10
10,20,0,15,0.2687296448094683,0.2687296448094683,0.0,10
10,40,14,1,0.15562497303682296,0.14477573983547426,0.010849233201348701,10
10,80,14,1,0.29795239956894043,0.20520340814959986,0.09274899141934057,10
10,150,14,1,0.32372176482677667,0.19944881726430705,0.12427294756246962,10
20,10,0,15,0.2213235928636962,0.2213235928636962,0.0,10
20,20,0,15,0.2687296448094683,0.2687296448094683,0.0,10
20,40,14,1,0.1636654767240972,0.14477573983547426,0.018889736888622943,10
20,80,14,1,0.29795239956894043,0.20520340814959986,0.09274899141934057,10
20,150,14,1,0.32372176482677667,0.19944881726430705,0.12427294756246962,10
40,10,0,15,0.2213235928636962,0.2213235928636962,0.0,10
40,20,0,15,0.2687296448094683,0.2687296448094683,0.0,10
40,40,14,1,0.15562497303682296,0.14477573983547426,0.010849233201348701,10
40,80,14,1,0.29795239956894043,0.20520340814959986,0.09274899141934057,10
40,150,14,1,0.32372176482677667,0.19944881726430705,0.12427294756246962,10
80,10,0,15,0.2213235928636962,0.2213235928636962,0.0,10
80,20,0,15,0.2687296448094683,0.2687296448094683,0.0,10
80,40,14,1,0.15562497303682296,0.14477573983547426,0.010849233201348701,10
80,80,14,1,0.29795239956894043,0.20520340814959986,0.09274899141934057,10
80,150,14,1,0.32372176482677667,0.19944881726430705,0.12427294756246962,10
150,10,0,15,0.2213235928636962,0.2213235928636962,0.0,10
150,20,0,15,0.2687296448094683,0.2687296448094683,0.0,10
150,40,14,1,0.15562497303682296,0.14477573983547426,0.010849233201348701,10
150,80,14,1,0.29795239956894043,0.20520340814959986,0.09274899141934057,10
150,150,14,1,0.32372176482677667,0.19944881726430705,0.12427294756246962,10
