trait,target_island,target_island_name,repeat,repeat_seed,n_train_size,method,selection_method,n_components,selection_n_components,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,pca_dist
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19540,8L19540,3,Selvær,1,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19556,8L19556,8,Lovund,2,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19595,8L19595,3,Selvær,3,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19830,8L19830,5,Hestmannøy,4,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19858,8L19858,10,Aldra,5,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19921,8L19921,5,Hestmannøy,6,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19934,8L19934,5,Hestmannøy,7,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19952,8L19952,7,Onøy og Lurøy,8,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19977,8L19977,5,Hestmannøy,9,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19979,8L19979,5,Hestmannøy,10,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19987,8L19987,4,Gjerøy,11,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L19992,8L19992,4,Gjerøy,12,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L26538,8L26538,10,Aldra,13,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L26586,8L26586,5,Hestmannøy,14,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L26587,8L26587,5,Hestmannøy,15,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L26596,8L26596,6,Indre Kvarøy,16,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30300,8L30300,5,Hestmannøy,17,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30354,8L30354,7,Onøy og Lurøy,18,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30355,8L30355,7,Onøy og Lurøy,19,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30363,8L30363,10,Aldra,20,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30396,8L30396,2,Træna,21,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30451,8L30451,6,Indre Kvarøy,22,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30459,8L30459,12,Southern 2,23,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30467,8L30467,12,Southern 2,24,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30473,8L30473,12,Southern 2,25,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30499,8L30499,2,Træna,26,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30591,8L30591,5,Hestmannøy,27,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30599,8L30599,5,Hestmannøy,28,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30604,8L30604,11,Southern 1,29,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30631,8L30631,12,Southern 2,30,,
body_mass,0,Nesøy,0,2076391374,1500,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,8L30641,8L30641,11,Southern 1,31,,
