analysis,method,weight_scheme,order_seed,weighted_fit_used,n_individuals,corr_eval,mse_adj,avg_grm_obj,target_island,target_island_name,repeat,repeat_seed,trait
ranked_subset,random_individual,none,1,False,1000,0.2117183508986714,1.302390217781067,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,1,False,1500,0.2221358936270847,1.2882158756256104,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,1,False,2000,0.18675780419885396,1.3031874895095825,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,1,False,2500,0.1859088415875073,1.293113350868225,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,1,False,3000,0.19643924749230512,1.289660930633545,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,1,False,3500,0.16597596139377277,1.2900668382644653,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,1,False,4000,0.16278456582949652,1.2992390394210815,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,1,False,4500,0.17953718723481507,1.289837121963501,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,50,-0.18227960855857153,1.308210015296936,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,100,-0.07241758703157164,1.3009880781173706,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,250,0.2158273626157597,1.2737183570861816,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,500,0.1699294102953555,1.290534496307373,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,1000,0.17313044922554777,1.2894151210784912,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,1500,0.17043916273014867,1.291731834411621,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,2000,0.1826181176875747,1.2914140224456787,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,2500,0.21594520568114645,1.2799837589263916,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,3000,0.21648142016457833,1.2794828414916992,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,3500,0.24848669645481375,1.2752892971038818,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,4000,0.234500505265654,1.2786628007888794,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,2,False,4500,0.23257963620534386,1.2779673337936401,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,50,0.020411873819446365,1.3010936975479126,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,100,-0.11954371361793631,1.3041478395462036,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,250,-0.23570903781341773,1.351305365562439,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,500,-0.055630371615736425,1.3252464532852173,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,1000,0.04157623919097879,1.310577154159546,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,1500,0.06432599945230599,1.290623664855957,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,2000,0.10004646360861405,1.2932286262512207,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,2500,0.18310586943682142,1.2727553844451904,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,3000,0.21459291208263645,1.258729100227356,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,3500,0.2313945088625642,1.2583303451538086,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,4000,0.20700070700760484,1.263218641281128,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,3,False,4500,0.19344085198454247,1.2737324237823486,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,4,False,50,-0.06391511563506762,1.3467864990234375,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,4,False,100,-0.14741863044823175,1.3280638456344604,,0,Nesøy,0,885682700,body_mass
ranked_subset,random_individual,none,4,False,250,-0.12047365513160503,1.3218677043914795,,0,Nesøy,0,885682700,body_mass
