ringnr,island,score,rank
8L48609,6,-0.0002664693838596577,0
8747741,6,-0.00021992396068526432,1
8730451,1,-0.00020718838095490355,2
8N42952,4,-0.0001957346917151881,3
8747636,4,-0.00018053639541903976,4
8943470,2,-0.00016440945091744652,5
8N42642,7,-0.00016326983416092844,6
8M71811,0,-0.0001557191112624423,7
8N14017,7,-0.0001506975436313951,8
8N42771,10,-0.00014650954472017474,9
8P14278,4,-0.00014512563666357892,10
8N14591,11,-0.00014015338933859312,11
8L26595,6,-0.00013962795310362708,12
8M31435,4,-0.00013753478799571894,13
8573989,3,-0.00013489334764926753,14
8P14622,2,-0.0001328497432950826,15
8P11530,15,-0.00012767616817654925,16
8L19656,3,-0.00012489495293266373,17
8816921,6,-0.00012489080745581305,18
8L19995,0,-0.00012455909654818242,19
8L64795,13,-0.0001243890208115772,20
8N73636,13,-0.00012209703390908544,21
8N72348,6,-0.00011941184811803396,22
8732678,4,-0.00011857793879244127,23
8N05220,12,-0.00011857167692141957,24
8800375,4,-0.00011769758066293434,25
8L19505,3,-0.0001152011673184461,26
8887462,1,-0.0001127967223055748,27
8N14981,6,-0.00011174588325957302,28
8N73681,13,-0.00011130641610179737,29
8M31605,4,-0.00011039189121220261,30
8N14937,4,-0.00010940906713585719,31
8N14980,6,-0.00010817931342899101,32
8N87574,11,-0.00010734430998127209,33
8794305,4,-0.00010644054850672546,34
8N28432,2,-0.00010535221781537984,35
8P11833,15,-0.00010170340374315856,36
8L48479,4,-0.00010143771601178742,37
8939377,7,-0.0001006642189622653,38
8939150,4,-9.977783702197485e-05,39
8N14590,11,-9.898084545056918e-05,40
8N05203,12,-9.693595757198636e-05,41
8N73949,12,-9.619154207030078e-05,42
8L30355,7,-9.593538516128319e-05,43
8800104,10,-9.588264765625354e-05,44
8N14904,4,-9.483742974225606e-05,45
8681009,0,-9.482695031692856e-05,46
8P11051,9,-9.459787997911917e-05,47
8L89326,10,-9.408786581843742e-05,48
8816929,4,-9.355521888210205e-05,49
8L57927,3,-9.347816489935212e-05,50
8M31285,10,-9.341364511783468e-05,51
8N42735,4,-9.311497228736698e-05,52
8L30782,4,-9.145217813966156e-05,53
8N27835,6,-9.095052678276261e-05,54
8N42143,2,-9.087729154089175e-05,55
8L64327,2,-9.036489197455921e-05,56
8L89335,6,-9.030606429405452e-05,57
8732505,8,-8.99085637229291e-05,58
8N14582,11,-8.984957594293519e-05,59
8857104,7,-8.954704833286087e-05,60
8N14002,6,-8.954221806334317e-05,61
8N28250,7,-8.913202498206374e-05,62
8747757,7,-8.900430657377001e-05,63
8N73604,14,-8.853630038174742e-05,64
8N73951,12,-8.824912879390467e-05,65
8N28429,2,-8.811423742827174e-05,66
8939460,3,-8.806614380318933e-05,67
8N73626,11,-8.797115606284933e-05,68
8800051,7,-8.779198287811596e-05,69
8N72394,6,-8.731846060072712e-05,70
8N73233,12,-8.661546007715515e-05,71
8730547,3,-8.63580558529975e-05,72
8168649,4,-8.6158004819481e-05,73
8M72916,6,-8.553626958018867e-05,74
8N05167,12,-8.548556138521235e-05,75
8N72672,11,-8.54071029152692e-05,76
8943014,10,-8.537410246844956e-05,77
8816427,1,-8.495353768012137e-05,78
8N14588,11,-8.492041752106161e-05,79
8939376,7,-8.473379830320482e-05,80
8730497,4,-8.451294138467347e-05,81
8651799,2,-8.435103438841907e-05,82
8N14587,11,-8.385321052628569e-05,83
8N05875,11,-8.366911004031863e-05,84
8M72406,13,-8.356587068192312e-05,85
8M71231,6,-8.354048100045475e-05,86
8M71502,4,-8.34865129490936e-05,87
8939374,7,-8.34833722365147e-05,88
8N06486,14,-8.345361197825696e-05,89
8L52223,8,-8.328469084517565e-05,90
8M31197,8,-8.286923662126355e-05,91
8N28005,2,-8.261636412498774e-05,92
8681240,3,-8.242050091666897e-05,93
8M31282,10,-8.150991152433562e-05,94
8M71810,7,-8.116379729017353e-05,95
8N05444,6,-8.105648862510861e-05,96
8800027,4,-8.074522065726342e-05,97
8N05127,14,-8.070540434346185e-05,98
8N05445,6,-8.067208477768872e-05,99
8L19926,10,-8.041360433708178e-05,100
8L64142,8,-8.036006693146192e-05,101
8N73624,13,-8.016894048523682e-05,102
8L52932,4,-7.997627457712042e-05,103
8857401,4,-7.994174802661291e-05,104
8L52619,3,-7.956320808943929e-05,105
8M31844,0,-7.941503736219602e-05,106
8N87547,11,-7.938178737276758e-05,107
8747875,1,-7.926104581201798e-05,108
8N72965,2,-7.88024894973205e-05,109
8939379,7,-7.823943906259956e-05,110
8M72643,4,-7.763501662338967e-05,111
8P11834,15,-7.75983132825786e-05,112
8800490,10,-7.757336777558521e-05,113
8N28499,2,-7.751232851660461e-05,114
8730932,3,-7.701122524395032e-05,115
8M31716,6,-7.652612544006843e-05,116
8M72292,2,-7.619570658334851e-05,117
8P26525,9,-7.617957567163103e-05,118
8N14119,4,-7.594231493612824e-05,119
8N73477,11,-7.581875331652554e-05,120
8N72670,4,-7.512251227126399e-05,121
8N14599,11,-7.511210128541279e-05,122
8732621,2,-7.484543777991348e-05,123
8M71158,13,-7.476214955204341e-05,124
8N05106,12,-7.460243796231225e-05,125
8857276,10,-7.458601226062456e-05,126
8681287,7,-7.436480927935918e-05,127
8L89739,10,-7.434258736793709e-05,128
8N73221,12,-7.434243559600873e-05,129
8N14803,9,-7.430193454638356e-05,130
8800059,4,-7.426088313877699e-05,131
8P14852,14,-7.420581334827148e-05,132
8N72938,13,-7.377934502983408e-05,133
8L30920,0,-7.377769088634523e-05,134
8168602,10,-7.37727930300025e-05,135
8L89487,11,-7.346050870182808e-05,136
8800146,9,-7.32952362341166e-05,137
8P26527,9,-7.277229815372266e-05,138
8L48463,10,-7.271381855389336e-05,139
8N05253,13,-7.247741882565606e-05,140
