Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24361691
Array task ID: 15
The job was run on these nodes: idun-05-33
[I 2026-04-29 19:19:22,353] Trial 0 finished with value: 0.14577431575986702 and parameters: {'alpha': 233144.78773166405, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.003473407124083527, 'iw_n_components': 10, 'iw_logistic_c': 4.788440522914161e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 0 with value: 0.14577431575986702.
[I 2026-04-29 19:22:51,385] Trial 1 finished with value: 0.15086371070675075 and parameters: {'alpha': 678446.9694418118, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.013068429331375598, 'iw_n_components': 10, 'iw_logistic_c': 0.08711457855994918, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 1 with value: 0.15086371070675075.
[I 2026-04-29 19:23:28,436] Trial 2 finished with value: 0.13360229003822938 and parameters: {'alpha': 143366.13979665696, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 1 with value: 0.15086371070675075.
[I 2026-04-29 19:27:09,524] Trial 3 finished with value: 0.13463666482194825 and parameters: {'alpha': 58361.61366993588, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0019861124260693325, 'iw_n_components': 20, 'iw_logistic_c': 0.0004456301044046966, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 1 with value: 0.15086371070675075.
[I 2026-04-29 19:30:54,797] Trial 4 finished with value: 0.13948235514231155 and parameters: {'alpha': 250773.322847116, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002976108514822249, 'iw_n_components': 20, 'iw_logistic_c': 4.619061290318921e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 1 with value: 0.15086371070675075.
[I 2026-04-29 19:31:22,432] Trial 5 finished with value: 0.13057309199830108 and parameters: {'alpha': 62532.36213374259, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 1 with value: 0.15086371070675075.
[I 2026-04-29 19:31:50,910] Trial 6 finished with value: 0.13082427747907452 and parameters: {'alpha': 65987.16623129728, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 1 with value: 0.15086371070675075.
[I 2026-04-29 19:35:18,908] Trial 7 finished with value: 0.15401587984500248 and parameters: {'alpha': 258199.7322511972, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.011698400979567373, 'iw_n_components': 10, 'iw_logistic_c': 2.0700004045587807e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 7 with value: 0.15401587984500248.
[I 2026-04-29 19:38:12,938] Trial 8 finished with value: 0.1447608973154591 and parameters: {'alpha': 471111.2729113027, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0028488821422992545, 'iw_n_components': 5, 'iw_logistic_c': 4.32601466983518e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 7 with value: 0.15401587984500248.
[I 2026-04-29 19:42:18,148] Trial 9 finished with value: 0.1573350554519798 and parameters: {'alpha': 647318.353565713, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0018153829433867708, 'iw_n_components': 30, 'iw_logistic_c': 0.00016321259509605548, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 19:42:48,477] Trial 10 finished with value: 0.13431874480843267 and parameters: {'alpha': 997749.7466242271, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 9 with value: 0.1573350554519798.
