Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_mlp_iw
ID of job: 24388830
The job was run on these nodes: idun-11-16
Config path: config/nested_cv_importance_weighted_mlp_uniform_config.json
[I 2026-05-05 17:03:51,954] Trial 17 finished with value: 0.21585564499563184 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.02110667597661109, 'batch_norm': False, 'lr': 2.1378800137654058e-06, 'weight_decay': 0.00011746952886405773, 'epochs': 264, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:04:59,589] Trial 18 finished with value: 0.2084086140541493 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.4918637495099607, 'batch_norm': False, 'lr': 5.034918165142005e-05, 'weight_decay': 1.4066080819923217e-05, 'epochs': 195, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:06:37,089] Trial 19 finished with value: 0.1703424497957318 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.3423958107202608, 'batch_norm': False, 'lr': 1.302294910860255e-06, 'weight_decay': 5.690836360932578e-05, 'epochs': 147, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:07:40,460] Trial 20 finished with value: 0.1957044194339384 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.49720019884855926, 'batch_norm': False, 'lr': 0.0006391401029609942, 'weight_decay': 1.5587772677943032e-07, 'epochs': 89, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:10:12,298] Trial 21 finished with value: 0.1978189683235298 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.0032381689172097834, 'batch_norm': False, 'lr': 2.278630299723864e-06, 'weight_decay': 0.00017227825411246658, 'epochs': 239, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:12:58,962] Trial 22 finished with value: 0.2285486169827562 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.03329713879710783, 'batch_norm': False, 'lr': 4.4656696114418025e-06, 'weight_decay': 0.00015252380547665033, 'epochs': 264, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:15:51,437] Trial 23 finished with value: 0.21109924087419016 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.1208561423357392, 'batch_norm': False, 'lr': 5.32470011916953e-06, 'weight_decay': 0.0003626625640897904, 'epochs': 274, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:17:53,782] Trial 24 finished with value: 0.22232025963249855 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.07383283701909603, 'batch_norm': False, 'lr': 1.2065700781555336e-05, 'weight_decay': 0.0007319693529658588, 'epochs': 189, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:19:54,469] Trial 25 finished with value: 0.21997035085221822 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.0506754174466852, 'batch_norm': False, 'lr': 1.2054364339755185e-05, 'weight_decay': 0.0009107263819896565, 'epochs': 186, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:21:25,191] Trial 26 finished with value: 0.21923605948848673 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.0890397862931701, 'batch_norm': False, 'lr': 1.6017503942875445e-05, 'weight_decay': 9.576275053271104e-05, 'epochs': 135, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:22:26,281] Trial 27 finished with value: 0.20534431545844786 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.1520697399783695, 'batch_norm': False, 'lr': 3.441252537568025e-06, 'weight_decay': 0.00024051970896008085, 'epochs': 85, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:24:44,104] Trial 28 finished with value: 0.21527374658298254 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.022406127047594038, 'batch_norm': False, 'lr': 8.516158557080314e-05, 'weight_decay': 4.6735997002562755e-06, 'epochs': 215, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:26:37,410] Trial 29 finished with value: 0.21325146995803895 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.19242269615351304, 'batch_norm': False, 'lr': 7.278054211725617e-06, 'weight_decay': 2.4245810605286476e-05, 'epochs': 173, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:28:09,215] Trial 30 finished with value: 0.19129669300243415 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.24710713423363673, 'batch_norm': False, 'lr': 0.00019802094314807996, 'weight_decay': 4.089332029039177e-06, 'epochs': 137, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:30:14,644] Trial 31 finished with value: 0.21621985944460492 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.04994270917863107, 'batch_norm': False, 'lr': 1.0612114065113286e-05, 'weight_decay': 0.0008921909958212225, 'epochs': 194, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:32:27,079] Trial 32 finished with value: 0.21406742281662372 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.05225927796715456, 'batch_norm': False, 'lr': 2.113534722348607e-05, 'weight_decay': 0.0003851160328180137, 'epochs': 206, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:33:31,386] Trial 33 finished with value: 0.21788072932078578 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.0944272768411802, 'batch_norm': False, 'lr': 9.644728475068458e-06, 'weight_decay': 0.0002769929833662853, 'epochs': 182, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:35:25,970] Trial 34 finished with value: 0.22062807340131582 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.1400935957431544, 'batch_norm': False, 'lr': 6.980289117316361e-06, 'weight_decay': 0.000955016704611007, 'epochs': 176, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:36:22,318] Trial 35 finished with value: 0.2053994078122965 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.13928274150246509, 'batch_norm': False, 'lr': 5.712527282285506e-06, 'weight_decay': 9.234599657768044e-05, 'epochs': 155, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:37:40,937] Trial 36 finished with value: 0.20603680334750174 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.10428469031566703, 'batch_norm': False, 'lr': 2.964275950871258e-06, 'weight_decay': 3.382259825763543e-05, 'epochs': 115, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:38:25,375] Trial 37 finished with value: 0.20533915863464042 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.17214453915781208, 'batch_norm': False, 'lr': 4.1991787461760016e-05, 'weight_decay': 0.0005529962692028478, 'epochs': 57, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
