Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24351987
Array task ID: 12
The job was run on these nodes: idun-05-18
[I 2026-04-28 16:19:09,665] Trial 0 finished with value: 0.17510702054474428 and parameters: {'alpha': 233144.78773166405, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.010431250548547025, 'iw_n_components': 5, 'iw_logistic_c': 0.024278386754340225, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.17510702054474428.
[I 2026-04-28 16:22:58,635] Trial 1 finished with value: 0.175057295038202 and parameters: {'alpha': 69538.92138947408, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.016575882684432525, 'iw_n_components': 3, 'iw_logistic_c': 0.08711457855994918, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.17510702054474428.
[I 2026-04-28 16:27:36,401] Trial 2 finished with value: 0.18240026013128965 and parameters: {'alpha': 145882.8144740121, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.02132508176927039, 'iw_n_components': 20, 'iw_logistic_c': 7.593207514996604e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 2 with value: 0.18240026013128965.
[I 2026-04-28 16:31:47,603] Trial 3 finished with value: 0.17470387959856834 and parameters: {'alpha': 250773.322847116, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.0025344201278108985, 'iw_n_components': 10, 'iw_logistic_c': 0.0005426420500638965, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 2 with value: 0.18240026013128965.
[I 2026-04-28 16:35:43,346] Trial 4 finished with value: 0.18430173722662926 and parameters: {'alpha': 446012.16977835365, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.04056146617412456, 'iw_n_components': 1, 'iw_logistic_c': 0.016318809798031245, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 4 with value: 0.18430173722662926.
[I 2026-04-28 16:40:11,074] Trial 5 finished with value: 0.17389200268497526 and parameters: {'alpha': 81721.51867877056, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.03936465613829859, 'iw_n_components': 30, 'iw_logistic_c': 0.07026472213126639, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 4 with value: 0.18430173722662926.
[I 2026-04-28 16:44:16,750] Trial 6 finished with value: 0.1874698819228185 and parameters: {'alpha': 171891.01091076114, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0030407243789378874, 'iw_n_components': 2, 'iw_logistic_c': 0.00026825671125139223, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 6 with value: 0.1874698819228185.
[I 2026-04-28 16:48:14,018] Trial 7 finished with value: 0.1830840130619159 and parameters: {'alpha': 63478.43463469358, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.003876317688577816, 'iw_n_components': 1, 'iw_logistic_c': 2.9638123735696538, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 6 with value: 0.1874698819228185.
[I 2026-04-28 16:52:55,742] Trial 8 finished with value: 0.18283074649121603 and parameters: {'alpha': 276996.3899943781, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.015656629950125976, 'iw_n_components': 20, 'iw_logistic_c': 4.238531380010707, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 6 with value: 0.1874698819228185.
[I 2026-04-28 16:56:40,818] Trial 9 finished with value: 0.1843439965083289 and parameters: {'alpha': 488065.6830993011, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.004540379253837699, 'iw_n_components': 3, 'iw_logistic_c': 1.3099285637594641e-05, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 6 with value: 0.1874698819228185.
[I 2026-04-28 17:00:47,456] Trial 10 finished with value: 0.1812158776206155 and parameters: {'alpha': 988115.6472279863, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.005862149711962247, 'iw_n_components': 2, 'iw_logistic_c': 0.00010611446565013758, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 6 with value: 0.1874698819228185.
