Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24361690
Array task ID: 14
The job was run on these nodes: idun-10-07
[I 2026-04-29 20:22:11,647] Trial 15 finished with value: 0.1553990144375004 and parameters: {'alpha': 163030.30089101204, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.007807757809157142, 'iw_n_components': 10, 'iw_logistic_c': 9.86828056874816, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 20:27:29,081] Trial 16 finished with value: 0.16077149665922158 and parameters: {'alpha': 597950.8448256816, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.014740519819478137, 'iw_n_components': 10, 'iw_logistic_c': 0.018788728022097217, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 20:32:48,451] Trial 17 finished with value: 0.15299132231205542 and parameters: {'alpha': 350997.4599868886, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.04905684874138176, 'iw_n_components': 10, 'iw_logistic_c': 0.014400888176584352, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 20:33:46,204] Trial 18 finished with value: 0.1426931581338599 and parameters: {'alpha': 324262.68382601807, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 20:39:41,789] Trial 19 finished with value: 0.15073980640332954 and parameters: {'alpha': 127312.10159566924, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.006959775753761657, 'iw_n_components': 40, 'iw_logistic_c': 0.39309474444734577, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 20:45:55,327] Trial 20 finished with value: 0.15677482674808169 and parameters: {'alpha': 649902.9506018835, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0010201660087804571, 'iw_n_components': 50, 'iw_logistic_c': 6.166049280238664, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 20:51:13,478] Trial 21 finished with value: 0.16214895657229572 and parameters: {'alpha': 283603.85684454656, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.010596640379546263, 'iw_n_components': 10, 'iw_logistic_c': 3.987446967201544e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 20:56:39,446] Trial 22 finished with value: 0.15814501331681782 and parameters: {'alpha': 176015.0055663588, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.007782547075286321, 'iw_n_components': 10, 'iw_logistic_c': 0.0017860415218181457, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 21:01:59,430] Trial 23 finished with value: 0.16313532745150847 and parameters: {'alpha': 364306.5045269106, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.023229163354852745, 'iw_n_components': 10, 'iw_logistic_c': 0.13204572498977893, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 21:06:04,086] Trial 24 finished with value: 0.14272381466228268 and parameters: {'alpha': 381703.32699936186, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.02664167222322247, 'iw_n_components': 1, 'iw_logistic_c': 0.07409986822542651, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 1 with value: 0.16631779751940554.
