Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24351984
Array task ID: 9
The job was run on these nodes: idun-03-17
[I 2026-04-28 17:04:11,060] Trial 13 finished with value: 0.16728965756348205 and parameters: {'alpha': 829243.3857665542, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0074338257991139155, 'iw_n_components': 20, 'iw_logistic_c': 0.6746251449507465, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 10 with value: 0.1691458051254589.
[I 2026-04-28 17:08:00,377] Trial 14 finished with value: 0.166756680760344 and parameters: {'alpha': 604187.7399799703, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.008877896815989559, 'iw_n_components': 20, 'iw_logistic_c': 0.5262666663801944, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 10 with value: 0.1691458051254589.
[I 2026-04-28 17:11:45,755] Trial 15 finished with value: 0.15855336405190418 and parameters: {'alpha': 667351.2877731434, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.005521784902882029, 'iw_n_components': 10, 'iw_logistic_c': 0.005004308789766709, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 10 with value: 0.1691458051254589.
[I 2026-04-28 17:15:06,251] Trial 16 finished with value: 0.15990365381666677 and parameters: {'alpha': 386718.6886170822, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.011512382530423065, 'iw_n_components': 5, 'iw_logistic_c': 0.3705909432090393, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 10 with value: 0.1691458051254589.
[I 2026-04-28 17:18:21,565] Trial 17 finished with value: 0.15733105678740247 and parameters: {'alpha': 783563.0371415005, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.028146534247412754, 'iw_n_components': 2, 'iw_logistic_c': 3.132324278537236e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 10 with value: 0.1691458051254589.
[I 2026-04-28 17:22:11,212] Trial 18 finished with value: 0.15911559184208873 and parameters: {'alpha': 356491.97626682284, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0038983522070964774, 'iw_n_components': 30, 'iw_logistic_c': 1.298225007491155e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 10 with value: 0.1691458051254589.
[I 2026-04-28 17:26:06,201] Trial 19 finished with value: 0.16164376358527746 and parameters: {'alpha': 105294.74113473411, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.012084110663649122, 'iw_n_components': 20, 'iw_logistic_c': 1.0478064100704934, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 10 with value: 0.1691458051254589.
[I 2026-04-28 17:30:01,955] Trial 20 finished with value: 0.16656500800366822 and parameters: {'alpha': 993130.9764024427, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.005694845293992653, 'iw_n_components': 20, 'iw_logistic_c': 0.0025140896593601634, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 10 with value: 0.1691458051254589.
[I 2026-04-28 17:33:59,622] Trial 21 finished with value: 0.16483236608574606 and parameters: {'alpha': 300908.64766634733, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.015295112780937132, 'iw_n_components': 20, 'iw_logistic_c': 9.807608291788723, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 10 with value: 0.1691458051254589.
[I 2026-04-28 17:37:56,029] Trial 22 finished with value: 0.16983523546598167 and parameters: {'alpha': 534505.0239561105, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.007761068984604232, 'iw_n_components': 20, 'iw_logistic_c': 2.69760786363129, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 17:41:47,725] Trial 23 finished with value: 0.16939068986490347 and parameters: {'alpha': 557744.493677032, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.007827564593835691, 'iw_n_components': 20, 'iw_logistic_c': 0.10185379240684972, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 17:45:45,038] Trial 24 finished with value: 0.16729078261954602 and parameters: {'alpha': 555177.1498378278, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.008603474605922251, 'iw_n_components': 20, 'iw_logistic_c': 0.12544776178905692, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 17:49:39,109] Trial 25 finished with value: 0.16746137032990643 and parameters: {'alpha': 720448.787405034, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.002107473569986985, 'iw_n_components': 20, 'iw_logistic_c': 2.24112364443575, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 17:53:00,052] Trial 26 finished with value: 0.1590443908520666 and parameters: {'alpha': 502910.9226162362, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.004640841045165678, 'iw_n_components': 3, 'iw_logistic_c': 0.18366520888027746, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 17:56:00,924] Trial 27 finished with value: 0.1637792076566579 and parameters: {'alpha': 378606.9407539831, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.012603973691126912, 'iw_n_components': 1, 'iw_logistic_c': 0.018819067188966376, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 17:59:49,604] Trial 28 finished with value: 0.1596672406568623 and parameters: {'alpha': 631927.8351448523, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.008306526191328309, 'iw_n_components': 10, 'iw_logistic_c': 1.2017150181390863, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:02:59,730] Trial 29 finished with value: 0.15974666843621066 and parameters: {'alpha': 173713.994900608, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.010101699170596131, 'iw_n_components': 5, 'iw_logistic_c': 0.031810872523376464, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:06:20,288] Trial 30 finished with value: 0.15742353727158015 and parameters: {'alpha': 815865.5248900747, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.005419110269731844, 'iw_n_components': 2, 'iw_logistic_c': 0.004692946757462428, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:10:15,222] Trial 31 finished with value: 0.16840000821839599 and parameters: {'alpha': 838674.570070159, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.006785309382858754, 'iw_n_components': 20, 'iw_logistic_c': 3.7918381741634533, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:14:10,343] Trial 32 finished with value: -1.0 and parameters: {'alpha': 576730.7751121596, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.007042073418595569, 'iw_n_components': 20, 'iw_logistic_c': 0.2748787475717456, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:18:10,748] Trial 33 finished with value: 0.16577341463322975 and parameters: {'alpha': 997850.6308952271, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.00829100295165332, 'iw_n_components': 20, 'iw_logistic_c': 9.293750416539742, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:21:54,592] Trial 34 finished with value: 0.1598702722071673 and parameters: {'alpha': 428815.6570255679, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.018717223056492305, 'iw_n_components': 20, 'iw_logistic_c': 1.6207104412542572, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:26:00,623] Trial 35 finished with value: -1.0 and parameters: {'alpha': 222102.56426570387, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.010269953253623548, 'iw_n_components': 30, 'iw_logistic_c': 0.6851263596335833, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:29:30,663] Trial 36 finished with value: 0.15349578894254007 and parameters: {'alpha': 690747.2053351426, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0033184451259844856, 'iw_n_components': 5, 'iw_logistic_c': 0.08820474335411817, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:33:12,681] Trial 37 finished with value: 0.15740584494776053 and parameters: {'alpha': 320640.80530764343, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.013666778103121877, 'iw_n_components': 20, 'iw_logistic_c': 0.0453266799537878, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:36:38,640] Trial 38 finished with value: 0.15622961684392056 and parameters: {'alpha': 868215.5368109207, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.006020519203124982, 'iw_n_components': 3, 'iw_logistic_c': 3.41722742042794, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:40:29,755] Trial 39 finished with value: 0.16300568600780976 and parameters: {'alpha': 435780.3842836152, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.02436276149601253, 'iw_n_components': 10, 'iw_logistic_c': 0.00012470825296648658, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:43:48,592] Trial 40 finished with value: 0.16939855248195645 and parameters: {'alpha': 209611.2200935219, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.004135074451694896, 'iw_n_components': 1, 'iw_logistic_c': 0.19293313639731566, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:47:02,831] Trial 41 finished with value: 0.16850528640525653 and parameters: {'alpha': 149927.85577984093, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.004862047686401314, 'iw_n_components': 1, 'iw_logistic_c': 0.33144619157771454, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:50:17,139] Trial 42 finished with value: 0.16977671701005184 and parameters: {'alpha': 212629.46612858775, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0027448699070390737, 'iw_n_components': 1, 'iw_logistic_c': 4.521636159339777, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:53:31,135] Trial 43 finished with value: 0.16969979141148914 and parameters: {'alpha': 219157.40611105564, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0033639238504664165, 'iw_n_components': 1, 'iw_logistic_c': 0.010240969702080147, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 22 with value: 0.16983523546598167.
[I 2026-04-28 18:56:43,891] Trial 44 finished with value: 0.16984423458448955 and parameters: {'alpha': 201032.67943835625, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.002673696249712632, 'iw_n_components': 1, 'iw_logistic_c': 0.01010730735106802, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 44 with value: 0.16984423458448955.
[I 2026-04-28 19:00:00,456] Trial 45 finished with value: 0.17000493352485024 and parameters: {'alpha': 228227.70006681996, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0024046263784719404, 'iw_n_components': 1, 'iw_logistic_c': 0.00688001011961799, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 45 with value: 0.17000493352485024.
[I 2026-04-28 19:03:00,898] Trial 46 finished with value: 0.16692008572661213 and parameters: {'alpha': 122882.99144549177, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0026731275357257094, 'iw_n_components': 1, 'iw_logistic_c': 0.0013051976955451214, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 45 with value: 0.17000493352485024.
[I 2026-04-28 19:06:14,535] Trial 47 finished with value: 0.16997585980215166 and parameters: {'alpha': 187656.4833761984, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0020137504007833986, 'iw_n_components': 1, 'iw_logistic_c': 0.009287923524943665, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 45 with value: 0.17000493352485024.
[I 2026-04-28 19:09:28,092] Trial 48 finished with value: 0.17076969739757522 and parameters: {'alpha': 184205.23502973816, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0020869762296605674, 'iw_n_components': 1, 'iw_logistic_c': 0.0006141482816050169, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 48 with value: 0.17076969739757522.
[I 2026-04-28 19:12:43,523] Trial 49 finished with value: 0.17123454764327575 and parameters: {'alpha': 182093.17509621242, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0020677761055219713, 'iw_n_components': 1, 'iw_logistic_c': 0.00025685510099125947, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 49 with value: 0.17123454764327575.
