Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24378209
Array task ID: 10
The job was run on these nodes: idun-04-06
[I 2026-05-04 00:48:32,997] Trial 15 finished with value: 0.21000632558728896 and parameters: {'alpha': 199673.20638675452, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.000500732814904531, 'iw_n_components': 80, 'iw_logistic_c': 0.0002854281900452669, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 11 with value: 0.21121186267253048.
[I 2026-05-04 00:51:11,973] Trial 16 finished with value: 0.20104606611045323 and parameters: {'alpha': 986293.714554698, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.03337712720521347, 'iw_n_components': 60, 'iw_logistic_c': 2.153476778099544e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 11 with value: 0.21121186267253048.
[I 2026-05-04 00:53:51,809] Trial 17 finished with value: 0.20166476983049786 and parameters: {'alpha': 842924.1577883721, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.011662229064942534, 'iw_n_components': 50, 'iw_logistic_c': 3.140174151489524e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 11 with value: 0.21121186267253048.
[I 2026-05-04 00:54:21,235] Trial 18 finished with value: 0.193511731569686 and parameters: {'alpha': 2521581.234133619, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 11 with value: 0.21121186267253048.
[I 2026-05-04 00:57:08,405] Trial 19 finished with value: 0.21350723385352516 and parameters: {'alpha': 230859.70631081375, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0036291071249008526, 'iw_n_components': 60, 'iw_logistic_c': 0.0764372286181806, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:00:00,583] Trial 20 finished with value: 0.20824840441647932 and parameters: {'alpha': 214174.1546724269, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.003300627593071683, 'iw_n_components': 80, 'iw_logistic_c': 0.049050106652462726, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:02:47,276] Trial 21 finished with value: 0.2115381159901621 and parameters: {'alpha': 403127.46701903665, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0005666900246251518, 'iw_n_components': 60, 'iw_logistic_c': 0.02356297210305131, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:05:34,158] Trial 22 finished with value: 0.21250868386620456 and parameters: {'alpha': 451475.01624114945, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.003872818903594243, 'iw_n_components': 60, 'iw_logistic_c': 0.07143587384289887, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:08:21,360] Trial 23 finished with value: 0.2105401088262872 and parameters: {'alpha': 426766.4979288892, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0037994117915156078, 'iw_n_components': 60, 'iw_logistic_c': 0.13204572498977882, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:11:07,771] Trial 24 finished with value: 0.203200876427493 and parameters: {'alpha': 235576.2598179052, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.008631463896819883, 'iw_n_components': 60, 'iw_logistic_c': 0.43921743996336143, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:13:54,301] Trial 25 finished with value: 0.2011768804430644 and parameters: {'alpha': 143236.71337658362, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.002579865558082789, 'iw_n_components': 60, 'iw_logistic_c': 0.01817676217808676, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:16:46,706] Trial 26 finished with value: 0.21103475128756966 and parameters: {'alpha': 502027.0695818389, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0013020968338940339, 'iw_n_components': 60, 'iw_logistic_c': 0.8982204466171486, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:17:18,942] Trial 27 finished with value: 0.20143283573852813 and parameters: {'alpha': 706075.8293152417, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 19 with value: 0.21350723385352516.
