analysis,method,selection_method,order_seed,n_individuals,target_island,repeat,trait,n_components,selection_n_components,weighted_fit_used,fit_time_seconds,corr_eval,mse_adj,target_island_name,repeat_seed,bpcrr_prior_mode,bpcrr_va_apriori,avg_grm_obj,pca_dist_obj
full_baseline,full_source_unweighted,none,-2,5515,0,0,thr_wing,1000,,False,3159.9032035420023,0.13795058563692544,6426.894518729692,Nesøy,2076391374,default,,,
full_baseline,full_source_unweighted,none,-2,5541,1,0,thr_wing,1000,,False,4178.491323882998,0.24577378383544365,6304.736659420712,Myken,2041129560,default,,,
full_baseline,full_source_unweighted,none,-2,5347,2,0,thr_wing,1000,,False,3916.8001063830015,0.2665967258251964,6229.655460803572,Træna,691795168,default,,,
full_baseline,full_source_unweighted,none,-2,5442,3,0,thr_wing,1000,,False,3240.571734085999,0.33718721702909016,6268.381602653085,Selvær,1712667889,default,,,
full_baseline,full_source_unweighted,none,-2,5080,4,0,thr_wing,1000,,False,3563.2812539760052,0.10321856242170308,6422.212429884124,Gjerøy,31823479,default,,,
full_baseline,full_source_unweighted,none,-2,4578,5,0,thr_wing,1000,,False,2901.342669357997,0.148690569628649,6387.314089572288,Hestmannøy,639053116,default,,,
full_baseline,full_source_unweighted,none,-2,5284,6,0,thr_wing,1000,,False,3675.5817481160047,0.32178375332309267,6303.886473598142,Indre Kvarøy,159331124,default,,,
full_baseline,full_source_unweighted,none,-2,5377,7,0,thr_wing,1000,,False,3079.2453404090047,0.3943540872837817,6360.822705370367,Onøy og Lurøy,324992130,default,,,
full_baseline,full_source_unweighted,none,-2,5482,8,0,thr_wing,1000,,False,3883.211818679003,0.21029443452765775,6298.107400648785,Lovund,904772756,default,,,
full_baseline,full_source_unweighted,none,-2,5473,9,0,thr_wing,1000,,False,3725.166310430999,0.12449255601704245,6315.248674393992,Sleneset,698402219,default,,,
full_baseline,full_source_unweighted,none,-2,5460,10,0,thr_wing,1000,,False,3433.5463857379946,0.06204900634063142,6409.747621573752,Aldra,859124446,default,,,
full_baseline,full_source_unweighted,none,-2,5052,11,0,thr_wing,1000,,False,3377.1595449779998,0.14348962282505598,6441.755288772533,Leka,1584512352,default,,,
full_baseline,full_source_unweighted,none,-2,5236,12,0,thr_wing,1000,,False,3476.6222886110045,0.0668092753143682,6488.579186888726,Vega,1695995065,default,,,
full_baseline,full_source_unweighted,none,-2,5050,13,0,thr_wing,1000,,False,3750.356276231003,0.09338218203961085,6483.772473264279,Vikna,33537373,default,,,
full_baseline,full_source_unweighted,none,-2,4945,14,0,thr_wing,1000,,False,5882.842749551011,0.12090561271389469,6413.633874562144,Lauvøya,631883636,default,,,
