trait,target_island,target_island_name,repeat,split_seed,source_island,source_island_name,n_island,phi,phi_per_individual,v_full
thr_tarsus,0,Nesøy,3,3014,5,Hestmannøy,1063,0.2065291533513588,0.0001942889495309,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,6,Indre Kvarøy,348,0.0021200722585414,6.092161662475287e-06,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,7,Onøy og Lurøy,257,-0.075025354158642,-0.0002919274480881,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,8,Lovund,152,0.0619312679318442,0.0004074425521831,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,9,Sleneset,163,0.0161240227404884,9.892038491097178e-05,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,10,Aldra,173,-0.0099230603858179,-5.735873055386069e-05,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,11,Leka,583,0.0666119734544024,0.0001142572443471,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,12,Vega,396,0.0174141609083176,4.397515380888283e-05,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,13,Vikna,583,0.0328277174636306,5.630826323092727e-05,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,14,Lauvøya,688,0.0955555924336545,0.0001388889424907,0.5310343555151433
thr_tarsus,0,Nesøy,4,4014,1,Myken,92,0.0679008035526773,0.0007380522125291,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,2,Træna,286,0.1393626845591787,0.0004872821138432,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,3,Selvær,194,0.0988871977181827,0.0005097278232896,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,4,Gjerøy,555,-0.05963782907221,-0.0001074555478778,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,5,Hestmannøy,1063,-0.1392627239260547,-0.0001310091476256,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,6,Indre Kvarøy,348,0.0173977496979238,4.999353361472356e-05,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,7,Onøy og Lurøy,257,-0.034668141319301,-0.0001348954915147,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,8,Lovund,152,0.1300204484344615,0.0008553976870688,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,9,Sleneset,163,-0.0530599729874226,-0.0003255213066713,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,10,Aldra,173,0.0026550508603342,1.5347114799619654e-05,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,11,Leka,583,0.0592383775613098,0.0001016095670005,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,12,Vega,396,-0.0680229084338925,-0.0001717750212977,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,13,Vikna,583,0.0591260494856231,0.0001014168944864,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,14,Lauvøya,688,0.1434019167393655,0.0002084330185165,0.3633387028701763
thr_tarsus,0,Nesøy,5,5014,1,Myken,92,0.0507385358036342,0.0005515058239525,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,2,Træna,286,0.0106012409073943,3.706727589998007e-05,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,3,Selvær,194,-0.026864716812174,-0.0001384779217122,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,4,Gjerøy,555,0.1404892047846997,0.0002531337023147,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,5,Hestmannøy,1063,0.0604850643164428,5.690034272478156e-05,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,6,Indre Kvarøy,348,0.0397410224705959,0.0001141983404327,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,7,Onøy og Lurøy,257,0.0111863572493004,4.352668190389261e-05,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,8,Lovund,152,0.0530969419939203,0.0003493219868021,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,9,Sleneset,163,-0.0084207314990002,-5.166092944171901e-05,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,10,Aldra,173,-0.0073536667183948,-4.250674403696416e-05,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,11,Leka,583,0.055841171023406,9.578245458560206e-05,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,12,Vega,396,0.0554918436775906,0.0001401309183777,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,13,Vikna,583,-0.0044325862280652,-7.6030638560295024e-06,0.5126254699187466
thr_tarsus,0,Nesøy,5,5014,14,Lauvøya,688,0.0820257889493965,0.0001192235304497,0.5126254699187466
thr_tarsus,0,Nesøy,6,6014,1,Myken,92,0.0078893219532229,8.575349949155325e-05,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,2,Træna,286,0.1343030744632853,0.000469591169452,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,3,Selvær,194,0.0234742817864313,0.0001210014525073,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,4,Gjerøy,555,0.0329714941668889,5.940809759799802e-05,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,5,Hestmannøy,1063,-0.0040554407879199,-3.815090110931232e-06,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,6,Indre Kvarøy,348,-0.0645905343834654,-0.0001856049838605,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,7,Onøy og Lurøy,257,-0.0230801278219266,-8.980594483239922e-05,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,8,Lovund,152,0.121695462166959,0.000800628040572,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,9,Sleneset,163,0.0192880570546555,0.0001183316383721,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,10,Aldra,173,0.0475559831030436,0.0002748900757401,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,11,Leka,583,0.0024143630427969,4.141274515946655e-06,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,12,Vega,396,0.0696089301186509,0.0001757801265622,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,13,Vikna,583,-0.0121007312528523,-2.0755971274189196e-05,0.4303391347983697
thr_tarsus,0,Nesøy,6,6014,14,Lauvøya,688,0.0749650011885994,0.0001089607575415,0.4303391347983697
thr_tarsus,0,Nesøy,7,7014,1,Myken,92,-0.0265927615090255,-0.0002890517555328,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,2,Træna,286,0.1164244918808109,0.0004070786429398,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,3,Selvær,194,-0.0207663381700683,-0.000107042980258,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,4,Gjerøy,555,-0.039700901669866,-7.153315616192072e-05,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,5,Hestmannøy,1063,0.0046843020050135,4.406681095967544e-06,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,6,Indre Kvarøy,348,0.1056252514561215,0.0003035208375175,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,7,Onøy og Lurøy,257,-0.0646256212154375,-0.0002514615611495,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,8,Lovund,152,0.0855532128856623,0.000562850084774,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,9,Sleneset,163,0.0358110885535635,0.0002196999297764,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,10,Aldra,173,0.0695419163270056,0.0004019763949537,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,11,Leka,583,0.0631467227859978,0.0001083134181578,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,12,Vega,396,-0.0422761105624937,-0.0001067578549557,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,13,Vikna,583,0.0499420303925792,8.566386002157667e-05,0.3945159213383093
thr_tarsus,0,Nesøy,7,7014,14,Lauvøya,688,0.0577486381784459,8.393697409657835e-05,0.3945159213383093
thr_tarsus,0,Nesøy,8,8014,1,Myken,92,0.0588970559265797,0.0006401853905063,0.5686310609238683
thr_tarsus,0,Nesøy,8,8014,2,Træna,286,0.1097358027334294,0.000383691617949,0.5686310609238683
thr_tarsus,0,Nesøy,8,8014,3,Selvær,194,0.0542221443983241,0.000279495589682,0.5686310609238683
thr_tarsus,0,Nesøy,8,8014,4,Gjerøy,555,-0.0292924275149318,-5.27791486755528e-05,0.5686310609238683
thr_tarsus,0,Nesøy,8,8014,5,Hestmannøy,1063,0.1188844309023788,0.0001118385991555,0.5686310609238683
thr_tarsus,0,Nesøy,8,8014,6,Indre Kvarøy,348,0.0867779110129386,0.0002493618132555,0.5686310609238683
thr_tarsus,0,Nesøy,8,8014,7,Onøy og Lurøy,257,-0.0651290733652269,-0.0002534205189308,0.5686310609238683
thr_tarsus,0,Nesøy,8,8014,8,Lovund,152,0.1554407750484941,0.0010226366779506,0.5686310609238683
thr_tarsus,0,Nesøy,8,8014,9,Sleneset,163,0.0017572300140578,1.0780552233483436e-05,0.5686310609238683
thr_tarsus,0,Nesøy,8,8014,10,Aldra,173,0.0047990764534314,2.774032632041272e-05,0.5686310609238683
thr_tarsus,0,Nesøy,8,8014,11,Leka,583,0.0416942639791133,7.151674782009143e-05,0.5686310609238683
