target_island,target_island_name,v_full,n_permutations,n_truncated,n_utility_evals,cache_hit_rate,eps_trunc,use_truncation,min_prefix_islands,note,cap_per_island,n_train_seeds_per_eval,trait,repeat,split_seed
3,Selvær,0.5870703870618902,50,0,554,0.20970042796005706,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,3,3014
3,Selvær,0.07852487862405588,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,4,4014
3,Selvær,0.19489131388380337,50,0,556,0.20684736091298145,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,5,5014
3,Selvær,0.23343739228457575,50,0,545,0.2225392296718973,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,6,6014
3,Selvær,0.19538320989061803,50,0,548,0.21825962910128388,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,7,7014
3,Selvær,0.11078865139274151,50,0,542,0.2268188302425107,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,8,8014
3,Selvær,0.7193769484628865,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,9,9014
4,Gjerøy,0.24414540545184235,50,0,546,0.2211126961483595,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,0,14
4,Gjerøy,0.404949293290163,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,1,1014
4,Gjerøy,0.32564483733973604,50,0,554,0.20970042796005706,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,2,2014
4,Gjerøy,-0.030372067864751964,50,0,554,0.20970042796005706,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,3,3014
4,Gjerøy,0.393494461734137,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_tarsus,4,4014
