trait,fold,method,selection_method,lambda_label,lambda_div,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_fit,alpha,pearson_r,mse_adj,avg_grm_target_obj,avg_grm_train_train_obj,objective_obj,selection_time_seconds,fit_time_seconds
thr_wing,1,full_train_pc_ridge,full_train,,,-1,-1,5069,5069,564,4500,4500,40673.818606964225,0.2953513467993177,0.8857983350753784,-0.00017864209540893064,2.5462848618705812e-05,,0.0,0.5307395048439503
thr_wing,1,random_pc_ridge,random,,,0,100014,500,5069,564,4500,4500,40673.818606964225,0.17773209683699362,1.0186715126037598,-0.00020463120447006996,,,0.0,0.036019991151988506
thr_wing,1,random_pc_ridge,random,,,0,100014,1000,5069,564,4500,4500,40673.818606964225,0.2295895058487105,1.0003852844238281,-0.00017720472018318737,,,0.0,0.06328981718979776
thr_wing,1,random_pc_ridge,random,,,0,100014,1500,5069,564,4500,4500,40673.818606964225,0.21083828658031586,0.9974676966667175,-0.00017551862420734642,,,0.0,0.09281851188279688
thr_wing,1,random_pc_ridge,random,,,0,100014,2000,5069,564,4500,4500,40673.818606964225,0.2644221052648473,0.9552527666091919,-0.00016587321007289807,,,0.0,0.1364933701697737
thr_wing,1,random_pc_ridge,random,,,0,100014,2500,5069,564,4500,4500,40673.818606964225,0.27017512875380967,0.9383118748664856,-0.00016882580359701898,,,0.0,0.19825681415386498
thr_wing,1,random_pc_ridge,random,,,0,100014,3000,5069,564,4500,4500,40673.818606964225,0.29962751510958413,0.9201614856719971,-0.00017575762650630042,,,0.0,0.2505016739014536
thr_wing,1,random_pc_ridge,random,,,0,100014,3500,5069,564,4500,4500,40673.818606964225,0.28387351382525033,0.9206910729408264,-0.00017058129110289507,,,0.0,0.3124840890523046
thr_wing,1,random_pc_ridge,random,,,0,100014,4000,5069,564,4500,4500,40673.818606964225,0.2841632079974087,0.9094982743263245,-0.00017358398822458893,,,0.0,0.3932461701333523
thr_wing,1,random_pc_ridge,random,,,0,100014,4500,5069,564,4500,4500,40673.818606964225,0.2987302138225201,0.8987215757369995,-0.00018178498826285875,,,0.0,0.49929915298707783
thr_wing,1,random_pc_ridge,random,,,1,100015,500,5069,564,4500,4500,40673.818606964225,0.1931391081724805,1.0068696737289429,-0.00011079368015223947,,,0.0,0.0358979138545692
thr_wing,1,random_pc_ridge,random,,,1,100015,1000,5069,564,4500,4500,40673.818606964225,0.20958915459280475,0.9755714535713196,-0.00014993435910433818,,,0.0,0.06249158992432058
thr_wing,1,random_pc_ridge,random,,,1,100015,1500,5069,564,4500,4500,40673.818606964225,0.27340566298275926,0.929089367389679,-0.00015913015515233738,,,0.0,0.10922816698439419
thr_wing,1,random_pc_ridge,random,,,1,100015,2000,5069,564,4500,4500,40673.818606964225,0.2577005645625061,0.9275200963020325,-0.0001689509649541388,,,0.0,0.13474177615717053
thr_wing,1,random_pc_ridge,random,,,1,100015,2500,5069,564,4500,4500,40673.818606964225,0.2759712941925255,0.8959452509880066,-0.00016488720342043713,,,0.0,0.192663756897673
thr_wing,1,random_pc_ridge,random,,,1,100015,3000,5069,564,4500,4500,40673.818606964225,0.27202646689208226,0.9002577066421509,-0.0001757244844145901,,,0.0,0.2485349380876869
thr_wing,1,random_pc_ridge,random,,,1,100015,3500,5069,564,4500,4500,40673.818606964225,0.28432243365710425,0.8897979855537415,-0.00017564647723372463,,,0.0,0.31602202891372144
thr_wing,1,random_pc_ridge,random,,,1,100015,4000,5069,564,4500,4500,40673.818606964225,0.27595276191071855,0.893364429473877,-0.00017201999566874174,,,0.0,0.39300033007748425
thr_wing,1,random_pc_ridge,random,,,1,100015,4500,5069,564,4500,4500,40673.818606964225,0.28859037794644643,0.884258508682251,-0.0001751198965568993,,,0.0,0.49950216617435217
thr_wing,1,random_pc_ridge,random,,,2,100016,500,5069,564,4500,4500,40673.818606964225,0.2591394043751722,0.9808709025382996,-0.0001752171438371712,,,0.0,0.03658759803511202
thr_wing,1,random_pc_ridge,random,,,2,100016,1000,5069,564,4500,4500,40673.818606964225,0.2531748890979371,0.9607208371162415,-0.00017008658677660965,,,0.0,0.06437111296691
thr_wing,1,random_pc_ridge,random,,,2,100016,1500,5069,564,4500,4500,40673.818606964225,0.25493405975392136,0.9333258271217346,-0.00016227747412429753,,,0.0,0.10839095688425004
thr_wing,1,random_pc_ridge,random,,,2,100016,2000,5069,564,4500,4500,40673.818606964225,0.25272227910985845,0.929746150970459,-0.00017636792847017287,,,0.0,0.13659723801538348
thr_wing,1,random_pc_ridge,random,,,2,100016,2500,5069,564,4500,4500,40673.818606964225,0.2457632240404769,0.9283780455589294,-0.00017375551774740253,,,0.0,0.1926123769953847
thr_wing,1,random_pc_ridge,random,,,2,100016,3000,5069,564,4500,4500,40673.818606964225,0.2544117196542521,0.9188113212585449,-0.00018154961964706384,,,0.0,0.2598349240142852
thr_wing,1,random_pc_ridge,random,,,2,100016,3500,5069,564,4500,4500,40673.818606964225,0.26726620803563883,0.9099613428115845,-0.00018034054487152366,,,0.0,0.3058612779714167
thr_wing,1,random_pc_ridge,random,,,2,100016,4000,5069,564,4500,4500,40673.818606964225,0.2950707728459586,0.8914563655853271,-0.00018138016917140998,,,0.0,0.39648632099851966
thr_wing,1,random_pc_ridge,random,,,2,100016,4500,5069,564,4500,4500,40673.818606964225,0.2910879797056764,0.8921815156936646,-0.00017621266773415177,,,0.0,0.4945030580274761
thr_wing,1,random_pc_ridge,random,,,3,100017,500,5069,564,4500,4500,40673.818606964225,0.13100569688474675,1.0418623685836792,-0.0001604744519621708,,,0.0,0.03589467820711434
thr_wing,1,random_pc_ridge,random,,,3,100017,1000,5069,564,4500,4500,40673.818606964225,0.19034451250855594,1.0192581415176392,-0.00016155979538924565,,,0.0,0.06341368611901999
thr_wing,1,random_pc_ridge,random,,,3,100017,1500,5069,564,4500,4500,40673.818606964225,0.2313034098599921,0.985721230506897,-0.00015906454584318035,,,0.0,0.1113695721141994
