analysis,method,weight_scheme,order_seed,weighted_fit_used,n_individuals,corr_eval,mse_adj,delta_ld_obj,target_island,target_island_name,repeat,repeat_seed,trait
ranked_subset,delta_ld_island_topk,none,-1,False,2440,0.3095769772250037,1.66856849193573,0.1543815955628166,1,Myken,0,1314136692,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5405,0.15644057610891102,1.2109628915786743,0.15776218906360312,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,2837,0.27742638390189683,1.6877018213272095,0.15490263814075628,1,Myken,0,1314136692,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3395,0.28362965909210264,1.6713157892227173,0.15541520906515408,1,Myken,0,1314136692,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3589,0.27446259483182417,1.6737682819366455,0.15666048718262282,1,Myken,0,1314136692,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4172,0.29488152636114645,1.664254069328308,0.15724249393521839,1,Myken,0,1314136692,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4528,0.31855798235565513,1.6539591550827026,0.1610551867345172,1,Myken,0,1314136692,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4686,0.32556849476023814,1.6459994316101074,0.16363021180097953,1,Myken,0,1314136692,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4945,0.3318820295015279,1.6400285959243774,0.16614285864968428,1,Myken,0,1314136692,body_mass
full_baseline,full_source_unweighted,none,-2,False,5503,0.21865713179424323,0.8971801400184631,,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,1078,0.05964919569535652,0.9291147589683533,0.10264295321569057,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,1370,0.1949204377543759,0.9026467204093933,0.10614320827667226,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,1856,0.19650993241579942,0.901441752910614,0.10910917024760157,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,2440,0.21030223615763993,0.8982544541358948,0.11053507993772589,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5111,0.33719906992015414,1.6335347890853882,0.1686797493915961,1,Myken,0,1314136692,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3023,0.2110996228918146,0.897958517074585,0.11503426514437125,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5313,0.3252441202880089,1.6383417844772339,0.1690213463301735,1,Myken,0,1314136692,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3581,0.1588283351107874,0.9119085669517517,0.11614401069676633,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3978,0.13669014650713818,0.9205750226974487,0.11683987022248847,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5486,0.3373180971090537,1.6274867057800293,0.19003665635517508,1,Myken,0,1314136692,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4136,0.17769014981579523,0.9086198210716248,0.12306567653903007,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4492,0.20533277060891064,0.9009906053543091,0.12520656626006263,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5605,0.3372728211240049,1.6275830268859863,0.1927063351978624,1,Myken,0,1314136692,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4751,0.19989150531380387,0.9059528708457947,0.13031983706350905,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4917,0.20477625956211098,0.904499351978302,0.13072976306388315,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5119,0.21113360575241172,0.9021384716033936,0.1334118576741326,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5211,0.20112850717772984,0.9030528664588928,0.15666048718262282,3,Selvær,0,2041121371,body_mass
full_baseline,full_source_unweighted,none,-2,False,5405,0.15644061889055955,1.2109627723693848,,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,1078,0.06054984444153536,1.2364966869354248,0.09241475341751419,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5384,0.21262248701049835,0.9006295800209045,0.15933348549494872,3,Selvær,0,2041121371,body_mass
