permutation_index,source_island,phi_running,rank_running,source_island_name,target_island
8,12,-0.016845716122055706,9,Southern 2,4
8,13,-0.02579745018379553,14,Southern 3,4
8,14,-0.0187323544304189,10,Southern 4,4
8,15,-0.043448594446349915,15,Southern 5,4
9,0,0.11145925779550349,3,Nesøy,4
9,1,-0.020422230284228744,11,Myken,4
9,2,0.03026542808741821,4,Træna,4
9,3,0.008080316714252196,7,Selvær,4
9,5,0.12812687484925492,1,Hestmannøy,4
9,6,0.11327908316359402,2,Indre Kvarøy,4
9,7,-0.027317700422246023,14,Onøy og Lurøy,4
9,8,0.015265384946587532,6,Lovund,4
9,9,-0.000837583018363784,8,Sleneset,4
9,10,-0.0234306095765722,12,Aldra,4
9,11,0.01834447149081162,5,Southern 1,4
9,12,-0.01647791133053284,9,Southern 2,4
9,13,-0.024761546812111776,13,Southern 3,4
9,14,-0.017292649217392347,10,Southern 4,4
9,15,-0.039880908194913106,15,Southern 5,4
10,0,0.10222954552994565,3,Nesøy,4
10,1,-0.020458323368554188,11,Myken,4
10,2,0.03244243047800453,4,Træna,4
10,3,0.005221726712240219,7,Selvær,4
10,5,0.13481075062822956,1,Hestmannøy,4
10,6,0.10755003519547232,2,Indre Kvarøy,4
10,7,-0.027366974960543845,13,Onøy og Lurøy,4
10,8,0.025591423086564834,5,Lovund,4
10,9,-0.0007188047348468771,8,Sleneset,4
10,10,-0.028777678821017644,14,Aldra,4
10,11,0.01723113927711327,6,Southern 1,4
10,12,-0.015960074595758416,9,Southern 2,4
10,13,-0.023715332934734854,12,Southern 3,4
10,14,-0.016797009484419305,10,Southern 4,4
10,15,-0.036883173816634085,15,Southern 5,4
11,0,0.09424832508905866,3,Nesøy,4
11,1,-0.020909891908072555,11,Myken,4
11,2,0.030838308821730265,5,Træna,4
11,3,0.0028828803469576943,7,Selvær,4
11,5,0.1384527697284714,1,Hestmannøy,4
11,6,0.10373257095668649,2,Indre Kvarøy,4
11,7,-0.02661693951278429,13,Onøy og Lurøy,4
11,8,0.034039999746546264,4,Lovund,4
11,9,-0.00089275099818872,8,Sleneset,4
11,10,-0.02677484620989877,14,Aldra,4
11,11,0.015411686375423539,6,Southern 1,4
11,12,-0.01571519831658834,9,Southern 2,4
11,13,-0.023375253432689466,12,Southern 3,4
11,14,-0.01582719243627007,10,Southern 4,4
11,15,-0.035094790059320924,15,Southern 5,4
12,0,0.08764340008701348,3,Nesøy,4
12,1,-0.020767693423906046,11,Myken,4
12,2,0.02974980411990737,5,Træna,4
12,3,0.0030648187261152295,7,Selvær,4
12,5,0.14695720874250562,1,Hestmannøy,4
12,6,0.10071809049421498,2,Indre Kvarøy,4
12,7,-0.025006880346454232,13,Onøy og Lurøy,4
12,8,0.03387649229302553,4,Lovund,4
12,9,-0.0008891511357586833,8,Sleneset,4
12,10,-0.022489603254782095,12,Aldra,4
12,11,0.014737348334982933,6,Southern 1,4
12,12,-0.01602281240688157,10,Southern 2,4
12,13,-0.026602553305605483,14,Southern 3,4
12,14,-0.015270083265879572,9,Southern 4,4
12,15,-0.035298707467436276,15,Southern 5,4
13,0,0.09408051308933274,3,Nesøy,4
13,1,-0.019675271959139342,10,Myken,4
13,2,0.030965544924906944,5,Træna,4
13,3,0.0035611728162422652,7,Selvær,4
13,5,0.14456448790567117,1,Hestmannøy,4
13,6,0.09781883158889261,2,Indre Kvarøy,4
13,7,-0.023981672779292692,13,Onøy og Lurøy,4
13,8,0.03148729953319522,4,Lovund,4
13,9,0.00023018173918520261,8,Sleneset,4
13,10,-0.02196323287676994,12,Aldra,4
13,11,0.014115650897653702,6,Southern 1,4
13,12,-0.020276354338608044,11,Southern 2,4
13,13,-0.02543952397768811,14,Southern 3,4
13,14,-0.01488237096753432,9,Southern 4,4
13,15,-0.03620557740498623,15,Southern 5,4
14,0,0.08852582577689258,3,Nesøy,4
14,1,-0.019686969608354168,11,Myken,4
14,2,0.02999680912827763,5,Træna,4
14,3,0.00397286296469384,7,Selvær,4
14,5,0.14971880140477353,1,Hestmannøy,4
14,6,0.09507572464717749,2,Indre Kvarøy,4
14,7,-0.02306733695305593,13,Onøy og Lurøy,4
