n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
14,1,356,0.0486012975238097,0.8145418167114258,shapley_mean,-1,1,356,9,Sleneset,0,241518388,10,0.05
13,2,475,0.0867477241518384,0.8099324107170105,shapley_mean,-1,2,475,9,Sleneset,0,241518388,10,0.05
12,3,567,0.1321585729790732,0.8039384484291077,shapley_mean,-1,3,567,9,Sleneset,0,241518388,10,0.05
11,4,964,0.1136506296537026,0.8088740706443787,shapley_mean,-1,4,964,9,Sleneset,0,241518388,10,0.05
10,5,1122,0.1795149855582564,0.7895504832267761,shapley_mean,-1,5,1122,9,Sleneset,0,241518388,10,0.05
9,6,1608,0.2058462457821208,0.782394289970398,shapley_mean,-1,6,1608,9,Sleneset,0,241518388,10,0.05
8,7,2191,0.226219914831488,0.7747624516487122,shapley_mean,-1,7,2191,9,Sleneset,0,241518388,10,0.05
7,8,2450,0.2461892753699562,0.7708920836448669,shapley_mean,-1,8,2450,9,Sleneset,0,241518388,10,0.05
6,9,2652,0.2447605098258851,0.7719849944114685,shapley_mean,-1,9,2652,9,Sleneset,0,241518388,10,0.05
5,10,3210,0.2111979748504164,0.7781651616096497,shapley_mean,-1,10,3210,9,Sleneset,0,241518388,10,0.05
4,11,4288,0.1956039569023788,0.7789431214332581,shapley_mean,-1,11,4288,9,Sleneset,0,241518388,10,0.05
3,12,4872,0.1983191457390946,0.777228832244873,shapley_mean,-1,12,4872,9,Sleneset,0,241518388,10,0.05
2,13,5164,0.1655874757303769,0.7846655249595642,shapley_mean,-1,13,5164,9,Sleneset,0,241518388,10,0.05
1,14,5358,0.1815827977442064,0.7806774377822876,shapley_mean,-1,14,5358,9,Sleneset,0,241518388,10,0.05
0,15,5531,0.1799284002233615,0.780636727809906,shapley_mean,-1,15,5531,9,Sleneset,0,241518388,10,0.05
14,1,356,0.0602636452496202,0.8223593235015869,random_individual,0,1,356,9,Sleneset,0,241518388,10,0.05
13,2,475,0.0844479678480614,0.8165149092674255,random_individual,0,2,475,9,Sleneset,0,241518388,10,0.05
12,3,567,0.098283044309843,0.8162285685539246,random_individual,0,3,567,9,Sleneset,0,241518388,10,0.05
11,4,964,0.104221470646437,0.8067388534545898,random_individual,0,4,964,9,Sleneset,0,241518388,10,0.05
10,5,1122,0.0835480509066919,0.8096973299980164,random_individual,0,5,1122,9,Sleneset,0,241518388,10,0.05
9,6,1608,0.1066276530272864,0.8053602576255798,random_individual,0,6,1608,9,Sleneset,0,241518388,10,0.05
8,7,2191,0.1260376546800471,0.7990191578865051,random_individual,0,7,2191,9,Sleneset,0,241518388,10,0.05
7,8,2450,0.1165964682940017,0.8016984462738037,random_individual,0,8,2450,9,Sleneset,0,241518388,10,0.05
6,9,2652,0.1507397731270355,0.7930612564086914,random_individual,0,9,2652,9,Sleneset,0,241518388,10,0.05
5,10,3210,0.1798867584884685,0.7863568067550659,random_individual,0,10,3210,9,Sleneset,0,241518388,10,0.05
4,11,4288,0.153804791930585,0.7906155586242676,random_individual,0,11,4288,9,Sleneset,0,241518388,10,0.05
3,12,4872,0.1601974169856549,0.7876586318016052,random_individual,0,12,4872,9,Sleneset,0,241518388,10,0.05
2,13,5164,0.1689014815020036,0.7828164100646973,random_individual,0,13,5164,9,Sleneset,0,241518388,10,0.05
1,14,5358,0.1681904420981502,0.7819604873657227,random_individual,0,14,5358,9,Sleneset,0,241518388,10,0.05
0,15,5531,0.1799284002233615,0.780636727809906,random_individual,0,15,5531,9,Sleneset,0,241518388,10,0.05
14,1,356,0.1382170673125325,0.8078331351280212,random_individual,1,1,356,9,Sleneset,0,241518388,10,0.05
13,2,475,0.1135098067900032,0.8112930655479431,random_individual,1,2,475,9,Sleneset,0,241518388,10,0.05
12,3,567,0.094995114178245,0.8137781620025635,random_individual,1,3,567,9,Sleneset,0,241518388,10,0.05
11,4,964,0.1134894838453934,0.821265697479248,random_individual,1,4,964,9,Sleneset,0,241518388,10,0.05
10,5,1122,0.0741020977406569,0.8180742263793945,random_individual,1,5,1122,9,Sleneset,0,241518388,10,0.05
9,6,1608,0.1371702536843895,0.803764283657074,random_individual,1,6,1608,9,Sleneset,0,241518388,10,0.05
8,7,2191,0.1611263857620345,0.7909530997276306,random_individual,1,7,2191,9,Sleneset,0,241518388,10,0.05
7,8,2450,0.198334121693559,0.780207633972168,random_individual,1,8,2450,9,Sleneset,0,241518388,10,0.05
6,9,2652,0.2004137658577575,0.7797912955284119,random_individual,1,9,2652,9,Sleneset,0,241518388,10,0.05
5,10,3210,0.2133185498044356,0.776339054107666,random_individual,1,10,3210,9,Sleneset,0,241518388,10,0.05
4,11,4288,0.1707501721266884,0.7856003046035767,random_individual,1,11,4288,9,Sleneset,0,241518388,10,0.05
3,12,4872,0.1396587438253151,0.7918736338615417,random_individual,1,12,4872,9,Sleneset,0,241518388,10,0.05
2,13,5164,0.1857836800215213,0.7785051465034485,random_individual,1,13,5164,9,Sleneset,0,241518388,10,0.05
1,14,5358,0.185236639132854,0.7796570658683777,random_individual,1,14,5358,9,Sleneset,0,241518388,10,0.05
0,15,5531,0.1799284002233615,0.780636727809906,random_individual,1,15,5531,9,Sleneset,0,241518388,10,0.05
14,1,356,-0.0208038670968182,0.8290746212005615,random_individual,2,1,356,9,Sleneset,0,241518388,10,0.05
13,2,475,-0.0593232623209807,0.8357906937599182,random_individual,2,2,475,9,Sleneset,0,241518388,10,0.05
12,3,567,-0.1060795188582864,0.8408858180046082,random_individual,2,3,567,9,Sleneset,0,241518388,10,0.05
11,4,964,-0.0569347625799834,0.8382164239883423,random_individual,2,4,964,9,Sleneset,0,241518388,10,0.05
10,5,1122,-0.0412583425235692,0.8337123394012451,random_individual,2,5,1122,9,Sleneset,0,241518388,10,0.05
9,6,1608,0.0641989530809347,0.8161687850952148,random_individual,2,6,1608,9,Sleneset,0,241518388,10,0.05
8,7,2191,0.1152155359876913,0.8053475618362427,random_individual,2,7,2191,9,Sleneset,0,241518388,10,0.05
7,8,2450,0.1110955208125803,0.8041072487831116,random_individual,2,8,2450,9,Sleneset,0,241518388,10,0.05
6,9,2652,0.1232015965285856,0.7991361618041992,random_individual,2,9,2652,9,Sleneset,0,241518388,10,0.05
5,10,3210,0.1264741680095351,0.7990782260894775,random_individual,2,10,3210,9,Sleneset,0,241518388,10,0.05
4,11,4288,0.1253737875092105,0.7964300513267517,random_individual,2,11,4288,9,Sleneset,0,241518388,10,0.05
3,12,4872,0.1409608092074413,0.7932485938072205,random_individual,2,12,4872,9,Sleneset,0,241518388,10,0.05
2,13,5164,0.150697629162272,0.788516104221344,random_individual,2,13,5164,9,Sleneset,0,241518388,10,0.05
1,14,5358,0.170480373828179,0.7831572890281677,random_individual,2,14,5358,9,Sleneset,0,241518388,10,0.05
0,15,5531,0.1799284002233615,0.780636727809906,random_individual,2,15,5531,9,Sleneset,0,241518388,10,0.05
14,1,356,0.2250122662655378,0.8136235475540161,random_individual,3,1,356,9,Sleneset,0,241518388,10,0.05
13,2,475,0.2671085094423478,0.8084525465965271,random_individual,3,2,475,9,Sleneset,0,241518388,10,0.05
12,3,567,0.3025837949674462,0.8066295981407166,random_individual,3,3,567,9,Sleneset,0,241518388,10,0.05
11,4,964,0.2448043458370727,0.7921985983848572,random_individual,3,4,964,9,Sleneset,0,241518388,10,0.05
10,5,1122,0.257294440531532,0.7885147333145142,random_individual,3,5,1122,9,Sleneset,0,241518388,10,0.05
9,6,1608,0.1792872084373581,0.7924114465713501,random_individual,3,6,1608,9,Sleneset,0,241518388,10,0.05
8,7,2191,0.2072804312516124,0.7793015837669373,random_individual,3,7,2191,9,Sleneset,0,241518388,10,0.05
7,8,2450,0.2008817457436224,0.779609739780426,random_individual,3,8,2450,9,Sleneset,0,241518388,10,0.05
6,9,2652,0.1841069458189451,0.779087483882904,random_individual,3,9,2652,9,Sleneset,0,241518388,10,0.05
5,10,3210,0.1712513635443997,0.7828382849693298,random_individual,3,10,3210,9,Sleneset,0,241518388,10,0.05
4,11,4288,0.1783674180832617,0.7818354368209839,random_individual,3,11,4288,9,Sleneset,0,241518388,10,0.05
3,12,4872,0.1799022196868187,0.781328022480011,random_individual,3,12,4872,9,Sleneset,0,241518388,10,0.05
2,13,5164,0.1827823837130424,0.7795345783233643,random_individual,3,13,5164,9,Sleneset,0,241518388,10,0.05
1,14,5358,0.1908246203763466,0.7763999104499817,random_individual,3,14,5358,9,Sleneset,0,241518388,10,0.05
0,15,5531,0.1799284002233615,0.780636727809906,random_individual,3,15,5531,9,Sleneset,0,241518388,10,0.05
14,1,356,0.0677919679822737,0.8087381720542908,random_individual,4,1,356,9,Sleneset,0,241518388,10,0.05
13,2,475,0.0652080107000701,0.8110324144363403,random_individual,4,2,475,9,Sleneset,0,241518388,10,0.05
12,3,567,0.0439893015548233,0.8133098483085632,random_individual,4,3,567,9,Sleneset,0,241518388,10,0.05
11,4,964,0.0134733844477398,0.8238422274589539,random_individual,4,4,964,9,Sleneset,0,241518388,10,0.05
