n_permutations,cal_fraction,method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
10,0.05,random_individual,0,0.16216391956601073,0.03408972791097763,0.9600892066955566,0.0874466849774437,50
10,0.05,random_individual,1,0.1609715060544569,0.040043205424927106,0.960663628578186,0.08701291122470409,50
10,0.05,random_individual,2,0.15763260670393014,0.04059434395667692,0.9626782083511353,0.08820153827969487,50
10,0.05,random_individual,3,0.15156898932743407,0.047825882304952744,0.9649516773223877,0.08814493925082953,50
10,0.05,random_individual,4,0.15059131166298245,0.051344893618028443,0.9655908954143524,0.08762748296165564,50
10,0.05,random_individual,5,0.14514626306575046,0.058690583429186614,0.9688040089607238,0.09044912238420227,50
10,0.05,random_individual,6,0.13354281228206014,0.05969807043015428,0.9729308521747589,0.09236274005549545,50
10,0.05,random_individual,7,0.12785507691737907,0.06223581462304547,0.9761363995075226,0.09205923455056934,50
10,0.05,random_individual,8,0.12142776625874131,0.06699589047449855,0.9787546122074127,0.09249961844593435,50
10,0.05,random_individual,9,0.10998750955633624,0.07266650863537769,0.982645274400711,0.0905083940306037,50
10,0.05,random_individual,10,0.09301678693927246,0.08274792747813857,0.9878223299980163,0.0905549235839052,50
10,0.05,random_individual,11,0.07800925783830541,0.09032537323623374,0.9928296864032745,0.0897346487804571,50
10,0.05,random_individual,12,0.07818325032802231,0.09883147492740446,0.9946236264705658,0.08862905686931809,50
10,0.05,random_individual,13,0.070454619961163,0.09925227850814047,0.9989130640029907,0.0914010905448105,50
10,0.05,random_individual,14,0.039228468103333136,0.09553001634067923,1.0067514300346374,0.09369889981493315,50
10,0.05,shapley_mean,0,0.1621639195660107,0.035572576173595015,0.9600892066955566,0.09125047494106776,10
10,0.05,shapley_mean,1,0.13766257085754668,0.045274195507847746,0.9698336303234101,0.09610871507756072,10
10,0.05,shapley_mean,2,0.13849588210311978,0.04339209906127641,0.9700439393520355,0.09503282705853204,10
10,0.05,shapley_mean,3,0.1286955913306499,0.05309815802336681,0.9748436331748962,0.09535435534530673,10
10,0.05,shapley_mean,4,0.12426480595926462,0.06501897512011373,0.976543766260147,0.09358390973813709,10
10,0.05,shapley_mean,5,0.1249100674239294,0.07033206045522376,0.9766141235828399,0.09355597608701746,10
10,0.05,shapley_mean,6,0.12404545473441966,0.07205220882284026,0.9787324607372284,0.09769785071833811,10
10,0.05,shapley_mean,7,0.12637307770427345,0.06819737327107897,0.9789267301559448,0.09803207899962486,10
10,0.05,shapley_mean,8,0.11241620756532941,0.061892092988051615,0.9835319459438324,0.09766400742050001,10
10,0.05,shapley_mean,9,0.09810214433895359,0.06197291966156605,0.9877999901771546,0.09639757821846918,10
10,0.05,shapley_mean,10,0.08974969798358011,0.07383250245419076,0.9903707265853882,0.09194990448958264,10
10,0.05,shapley_mean,11,0.07600702689897643,0.06366487636713652,0.9938036203384399,0.09093636785438974,10
10,0.05,shapley_mean,12,0.07982740255020312,0.056404917883938484,0.9930382549762726,0.09732495305910413,10
10,0.05,shapley_mean,13,0.08931472878667422,0.037689981172480874,0.9922790765762329,0.09460990285427862,10
10,0.05,shapley_mean,14,0.07574557151359315,0.05608830197525647,1.0006826937198638,0.09403082502666486,10
10,0.1,random_individual,0,0.14039335393188787,0.04063605697762702,0.9634826481342316,0.07549345801948965,50
10,0.1,random_individual,1,0.13741357222488548,0.04174026446660988,0.9646923351287842,0.07577037298193881,50
10,0.1,random_individual,2,0.1319855818892994,0.04246518744779258,0.9666743099689483,0.07451631504218006,50
10,0.1,random_individual,3,0.12940714899269368,0.04912750786993484,0.9678175461292267,0.07458584391381555,50
10,0.1,random_individual,4,0.12461103737693321,0.05227957761780645,0.9696216428279877,0.07521863105838973,50
10,0.1,random_individual,5,0.11999112805212477,0.05053107380410984,0.9716328084468842,0.07683147774013892,50
10,0.1,random_individual,6,0.11361083521038826,0.050084433616729505,0.9738828098773956,0.079672140467842,50
10,0.1,random_individual,7,0.10312148431985028,0.053282033126003304,0.9778056585788727,0.08191817726837569,50
10,0.1,random_individual,8,0.09442314027765765,0.06885950516547965,0.980899977684021,0.08063810505289562,50
10,0.1,random_individual,9,0.09290039856797605,0.08367092563193426,0.981734836101532,0.08097222081292729,50
10,0.1,random_individual,10,0.08282712738511683,0.09728340420369282,0.985251282453537,0.08068308668954446,50
10,0.1,random_individual,11,0.07826552378179662,0.10343291265433116,0.9867697155475617,0.080206728866825,50
10,0.1,random_individual,12,0.06903317332401321,0.10603515362848742,0.9900402045249939,0.07996650585756387,50
10,0.1,random_individual,13,0.052024233407177566,0.09484066722358012,0.9938324129581452,0.08090533936565329,50
10,0.1,random_individual,14,0.03946730427823692,0.09280569236820457,1.004186977148056,0.08485139725446933,50
10,0.1,shapley_mean,0,0.14039335393188787,0.04240366001178002,0.9634826481342316,0.07877730186111592,10
10,0.1,shapley_mean,1,0.12223524926979872,0.038993692974545906,0.9691660881042481,0.08056282130548725,10
10,0.1,shapley_mean,2,0.10931906447393788,0.048141320813241475,0.9740346074104309,0.0849221241405667,10
10,0.1,shapley_mean,3,0.10202258613551196,0.043902724344764936,0.9770828247070312,0.08236896708943553,10
10,0.1,shapley_mean,4,0.10097356160577933,0.03466714794847368,0.9781806409358978,0.08503176253715712,10
10,0.1,shapley_mean,5,0.11680367085195595,0.05123749530735572,0.974191027879715,0.08194252257984108,10
10,0.1,shapley_mean,6,0.11225460048048497,0.05687365988882984,0.9753014504909515,0.0780516855350764,10
10,0.1,shapley_mean,7,0.11993973529299443,0.07417949637784592,0.9735272049903869,0.0796622677869062,10
10,0.1,shapley_mean,8,0.10906570996253784,0.07107650554948892,0.9770680725574493,0.0796899053998621,10
10,0.1,shapley_mean,9,0.09903781295753758,0.08735829634862438,0.9788468956947327,0.08362427170653543,10
10,0.1,shapley_mean,10,0.10533960447410606,0.08279467340519711,0.9789408326148987,0.0819052699619679,10
10,0.1,shapley_mean,11,0.09429201025166652,0.06917858384648169,0.9809571266174316,0.0870221997180426,10
10,0.1,shapley_mean,12,0.10916019875721177,0.07843342056893088,0.9793560028076171,0.08884515266197976,10
10,0.1,shapley_mean,13,0.10557279721648163,0.0425095024905682,0.981007170677185,0.08821678077709592,10
10,0.1,shapley_mean,14,0.08503848697943435,0.05612490370925281,0.990177983045578,0.08992527996972241,10
10,0.15,random_individual,0,0.16441455986082373,0.03380944651096708,1.0219094157218933,0.046279978592564386,50
10,0.15,random_individual,1,0.16255961430321134,0.03630097666474401,1.0231476414203644,0.04643374272869094,50
10,0.15,random_individual,2,0.1565976436023221,0.041456753144339324,1.0264743614196776,0.047760303956297386,50
10,0.15,random_individual,3,0.150277287376771,0.03969113364068262,1.0295236575603486,0.046698993090058614,50
10,0.15,random_individual,4,0.14972574739319466,0.045015133244156895,1.0307920169830322,0.04867765204854534,50
10,0.15,random_individual,5,0.14556815462470407,0.046806483301180694,1.0333550548553467,0.0494869621144718,50
10,0.15,random_individual,6,0.13799647659693776,0.04900173350054691,1.0369330489635467,0.048674525016719386,50
10,0.15,random_individual,7,0.12475437730338589,0.06029908449386019,1.0411190235614776,0.049583147624959925,50
10,0.15,random_individual,8,0.1271934194986843,0.06748054860005119,1.0420181846618652,0.049443447770512655,50
10,0.15,random_individual,9,0.11041470551757651,0.06816784094615777,1.0476719748973846,0.04683385398929842,50
10,0.15,random_individual,10,0.09076643123440328,0.07773213927412409,1.0534429156780243,0.048079189498945005,50
10,0.15,random_individual,11,0.07475640574030609,0.0811103692392573,1.0576222825050354,0.04670458448124306,50
10,0.15,random_individual,12,0.062839013236299,0.08437028985837498,1.0619003009796142,0.0453573011018902,50
10,0.15,random_individual,13,0.0520262929410012,0.09501921384895201,1.0641496098041534,0.04689830004355836,50
10,0.15,random_individual,14,0.04232455245050651,0.08466324451801803,1.0714994430541993,0.04915334777252771,50
10,0.15,shapley_mean,0,0.16441455986082376,0.03528010298407722,1.0219094157218933,0.04829308312743089,10
10,0.15,shapley_mean,1,0.15933887185997747,0.03410095070451633,1.0244035840034484,0.048465858739682406,10
10,0.15,shapley_mean,2,0.1553878537240062,0.04866211504200178,1.026992267370224,0.051344206065591244,10
10,0.15,shapley_mean,3,0.15217560082084786,0.06047896082878381,1.0297402262687683,0.05252324425452214,10
10,0.15,shapley_mean,4,0.126528216050821,0.04579202082609339,1.0396310269832612,0.049721541718935225,10
10,0.15,shapley_mean,5,0.13574190014034795,0.06337185381062918,1.0387262105941772,0.047287967036703835,10
10,0.15,shapley_mean,6,0.13026998940739962,0.06376216905693242,1.0405825316905974,0.05046580358567093,10
10,0.15,shapley_mean,7,0.12364900264269754,0.07352476591022805,1.0434307038784028,0.056139845804741365,10
10,0.15,shapley_mean,8,0.11679213392628499,0.063052416982305,1.0449773848056794,0.05552855080689374,10
10,0.15,shapley_mean,9,0.11889416747166244,0.053206572597222085,1.04436953663826,0.05162210700694811,10
10,0.15,shapley_mean,10,0.11610061787447556,0.03858701532537064,1.0472457587718964,0.05109271744014935,10
10,0.15,shapley_mean,11,0.09787828532248732,0.06380625943794814,1.048347717523575,0.055972174059407055,10
10,0.15,shapley_mean,12,0.0754994760779836,0.08850937955229218,1.053471839427948,0.055399053163747373,10
10,0.15,shapley_mean,13,0.06037686228601963,0.10845194577919083,1.057100886106491,0.05499543785946774,10
10,0.15,shapley_mean,14,0.06776744594115597,0.10132798916037485,1.0619625091552733,0.04433917496863631,10
10,0.2,random_individual,0,0.1710149089099307,0.035619075022065856,0.9753442704677582,0.04937950795605177,50
10,0.2,random_individual,1,0.16658936628408608,0.04157029115261195,0.9774015569686889,0.049793981668782315,50
10,0.2,random_individual,2,0.1646549353932475,0.04417703400113185,0.9794885385036468,0.051142654059050545,50
10,0.2,random_individual,3,0.16092022032687417,0.04425398515561926,0.9813078248500824,0.05041657763942223,50
10,0.2,random_individual,4,0.15612535868646168,0.04774089489751927,0.9837267851829529,0.049523419802629566,50
10,0.2,random_individual,5,0.13856747957265692,0.047777801192341804,0.9899210166931153,0.052302784935393004,50
10,0.2,random_individual,6,0.12526926214982456,0.0560333830056621,0.9946014225482941,0.05505251099179955,50
10,0.2,random_individual,7,0.11139467409785579,0.05435825408755516,0.9994153666496277,0.05440429351030696,50
10,0.2,random_individual,8,0.10054369480603631,0.054807581658778054,1.0034238767623902,0.05356157717008587,50
10,0.2,random_individual,9,0.0918478585311936,0.05911042010679176,1.0065682578086852,0.0525905912459173,50
10,0.2,random_individual,10,0.10076839162402086,0.060262695609788475,1.0057411193847656,0.05342382667217362,50
10,0.2,random_individual,11,0.09332035589624077,0.06838956821724804,1.0106023478507995,0.05644563179160058,50
10,0.2,random_individual,12,0.06655695738291946,0.07454245497864707,1.01825843334198,0.05653095794356974,50
10,0.2,random_individual,13,0.047136377866091345,0.07523376330119254,1.0228729891777038,0.057299811099292816,50
10,0.2,random_individual,14,0.042414879495960955,0.0738535874122314,1.0256643092632294,0.056921482667011025,50
10,0.2,shapley_mean,0,0.1710149089099307,0.037168447421001914,0.9753442704677582,0.05152743702643759,10
10,0.2,shapley_mean,1,0.15748634926168292,0.044334215858858876,0.9807894408702851,0.056297339117577644,10
10,0.2,shapley_mean,2,0.1542869016361925,0.04910665240686654,0.9827690839767456,0.05770109734268258,10
