target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
8,2,Træna,0.11670299462974071,0.00039966778982787913,292,1,3
8,9,Sleneset,0.08867859949357808,0.0005342084306842053,166,2,2
8,5,Hestmannøy,0.07811450093984604,7.246243129855847e-05,1078,3,9
8,14,Southern 4,0.07725621573626995,0.000158963406864753,486,4,6
8,7,Onøy og Lurøy,0.07711065843701363,0.0002977245499498596,259,5,4
8,1,Myken,0.06868283372372389,0.0007465525404752596,92,6,1
8,6,Indre Kvarøy,0.05789987538941205,0.00016264009940846082,356,7,5
8,11,Southern 1,0.05047985002398491,8.658636367750414e-05,583,8,8
8,12,Southern 2,0.0283640231192112,7.144590206350427e-05,397,9,10
8,10,Aldra,0.015574184348806738,9.002418698732218e-05,173,10,7
8,13,Southern 3,0.0014977328293025493,2.5646110090797075e-06,584,11,11
8,3,Selvær,-0.00045927301049232484,-2.367386652022293e-06,194,12,12
8,0,Nesøy,-0.04271162886172533,-0.0003589212509388683,119,13,15
8,15,Southern 5,-0.06411486304365098,-0.00031740031209728206,202,14,14
8,4,Gjerøy,-0.10416052021086215,-0.00018666759894419741,558,15,13
