trait,target_island,target_island_name,analysis,method,weight_scheme,n_components,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,0,Nesøy,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5578,0.3040438736542474,,4.199910768813226,1
body_mass,1,Myken,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5605,0.1885526557498337,,5.684333166384303,1
body_mass,2,Træna,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5405,0.2406596753578523,,4.783621503674807,1
body_mass,3,Selvær,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5503,0.2019338037077968,,3.5528312684070524,1
body_mass,4,Gjerøy,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5139,0.0907928483935712,,3.9634087265803566,1
body_mass,5,Hestmannøy,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,4619,0.1392584658324871,,4.53691474890281,1
body_mass,6,Indre Kvarøy,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5341,0.2514824847033224,,4.118613384036057,1
body_mass,7,Onøy og Lurøy,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5438,0.2123472061431137,,3.909276566805942,1
body_mass,8,Lovund,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5539,0.3921790083044188,,3.4537721815943105,1
body_mass,9,Sleneset,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5531,0.1739387008607943,,3.790883236857401,1
body_mass,10,Aldra,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5524,0.1493619057453911,,3.4525268384224,1
body_mass,11,Southern 1,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5114,0.1321960003872409,,3.0389559168082587,1
body_mass,12,Southern 2,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5300,0.0426587033041069,,3.5727903962120315,1
body_mass,13,Southern 3,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5113,0.1603440037301723,,3.137083894048818,1
body_mass,14,Southern 4,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5211,0.0404313934118616,,3.049224396573876,1
body_mass,15,Southern 5,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5495,0.1093451736488955,,2.9891303750108773,1
