ringnr,island,score,rank
8887370,5,-5.901692884435761e-05,0
8747224,5,-3.18293978125439e-05,1
8981657,2,-2.892873703785881e-05,2
8M72707,6,-2.5994198040280025e-05,3
8L89399,6,-2.342495599805261e-05,4
8816949,4,-2.263574606331531e-05,5
8981214,12,-2.2544588546224986e-05,6
8N42716,4,-2.218358213212923e-05,7
8L64587,12,-2.1443227751660743e-05,8
8887342,5,-2.133826342287648e-05,9
8M71865,5,-2.1122660882610944e-05,10
8816954,4,-2.0857155050180154e-05,11
8L89654,5,-2.0459703364394954e-05,12
8M71867,5,-1.989808652069769e-05,13
8N05299,13,-1.975072905224806e-05,14
8794352,1,-1.9706214970938163e-05,15
8668476,5,-1.9421315755607793e-05,16
8981156,12,-1.9411364974075695e-05,17
8981031,4,-1.8756067220238037e-05,18
8681028,5,-1.8701491399042425e-05,19
8P11894,14,-1.865213948804012e-05,20
8681038,5,-1.844785811044858e-05,21
8N42715,4,-1.8311533040105132e-05,22
8573608,7,-1.7619094705878524e-05,23
8N73406,4,-1.7265788756049005e-05,24
8N13927,5,-1.7263582776649855e-05,25
8N14902,6,-1.6972172261375817e-05,26
8943897,5,-1.6838430838106433e-05,27
8N42989,14,-1.6593651025686995e-05,28
8934077,5,-1.6465650105601526e-05,29
8P11750,7,-1.6461237009934848e-05,30
8939184,1,-1.629862185836828e-05,31
8N73409,4,-1.5563513443339616e-05,32
8730486,5,-1.5309763284676592e-05,33
8N05846,5,-1.5199726021819515e-05,34
8N42729,5,-1.510465358478541e-05,35
8730417,4,-1.4872631709295092e-05,36
8681396,7,-1.4868588777972036e-05,37
8P11538,15,-1.4864231843603193e-05,38
8M72580,11,-1.4755979691472021e-05,39
8681371,5,-1.4692459672005498e-05,40
8747735,7,-1.4670262089566677e-05,41
8N05682,15,-1.4667662981082685e-05,42
8P14856,14,-1.447964905310073e-05,43
8800171,10,-1.4225462336980854e-05,44
8L48651,5,-1.4127219401416369e-05,45
8681454,5,-1.4111720474829781e-05,46
8681069,9,-1.4088225952946232e-05,47
8N05534,5,-1.4003590649735997e-05,48
8N72678,11,-1.3983554708829615e-05,49
8800077,5,-1.3970261989015853e-05,50
8981604,10,-1.3869555118617427e-05,51
8N05726,5,-1.37912654736283e-05,52
8N42706,4,-1.3729288525610173e-05,53
8981962,2,-1.3727936220675474e-05,54
8N87978,13,-1.3631424508275813e-05,55
8747732,7,-1.3627506632474251e-05,56
8934059,5,-1.3599412795883836e-05,57
8M31824,12,-1.3346668765734648e-05,58
8800066,4,-1.3328789464139845e-05,59
8N73460,11,-1.307948673456849e-05,60
8L19729,4,-1.2871942317360663e-05,61
8N13423,9,-1.2720678455480083e-05,62
8981399,12,-1.2650328699237434e-05,63
8N28864,4,-1.2609650980266451e-05,64
8N73678,13,-1.2571270190164796e-05,65
8P14847,14,-1.2454532225092407e-05,66
8M71492,13,-1.2439413694664836e-05,67
