n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
1000,0.1414034958233408,1.466158390045166,pevmean_ga,-1,18264.197487848272,4,Gjerøy,2,1056172817,body_mass
4000,0.11344494556051656,1.4712023735046387,pevmean_ga,-1,17263.308563887393,4,Gjerøy,2,1056172817,body_mass
1000,-0.026032508532097404,1.496140956878662,random_individual,0,,4,Gjerøy,2,1056172817,body_mass
4000,0.06602803189647029,1.4838101863861084,random_individual,0,,4,Gjerøy,2,1056172817,body_mass
1000,-0.037080598944059386,1.503170371055603,random_individual,1,,4,Gjerøy,2,1056172817,body_mass
4000,0.09370714818914518,1.4766900539398193,random_individual,1,,4,Gjerøy,2,1056172817,body_mass
1000,0.06767606966630833,1.480974793434143,random_individual,2,,4,Gjerøy,2,1056172817,body_mass
4000,0.10624392461262105,1.472776174545288,random_individual,2,,4,Gjerøy,2,1056172817,body_mass
1000,0.048503785969585246,1.4968500137329102,random_individual,3,,4,Gjerøy,2,1056172817,body_mass
4000,0.023639293840195693,1.4961493015289307,random_individual,3,,4,Gjerøy,2,1056172817,body_mass
1000,0.07587832821778653,1.4822449684143066,random_individual,4,,4,Gjerøy,2,1056172817,body_mass
4000,0.09597293484898017,1.473307490348816,random_individual,4,,4,Gjerøy,2,1056172817,body_mass
