trait,target_island,repeat,repeat_seed,n_individuals,source_code,source_name,n_selected_from_island,frac_selected_from_island,best_pev_reconstructed,ga_generations
body_mass,3,2,1562338001,500,0,Nesøy,15,0.03,18702.773799664374,100
body_mass,3,2,1562338001,500,1,Myken,22,0.044,18702.773799664374,100
body_mass,3,2,1562338001,500,2,Træna,65,0.13,18702.773799664374,100
body_mass,3,2,1562338001,500,4,Gjerøy,44,0.088,18702.773799664374,100
body_mass,3,2,1562338001,500,5,Hestmannøy,85,0.17,18702.773799664374,100
body_mass,3,2,1562338001,500,6,Indre Kvarøy,23,0.046,18702.773799664374,100
body_mass,3,2,1562338001,500,7,Onøy og Lurøy,20,0.04,18702.773799664374,100
body_mass,3,2,1562338001,500,8,Lovund,16,0.032,18702.773799664374,100
body_mass,3,2,1562338001,500,9,Sleneset,25,0.05,18702.773799664374,100
body_mass,3,2,1562338001,500,10,Aldra,10,0.02,18702.773799664374,100
body_mass,3,2,1562338001,500,11,Southern 1,41,0.082,18702.773799664374,100
body_mass,3,2,1562338001,500,12,Southern 2,34,0.068,18702.773799664374,100
body_mass,3,2,1562338001,500,13,Southern 3,50,0.1,18702.773799664374,100
body_mass,3,2,1562338001,500,14,Southern 4,36,0.072,18702.773799664374,100
body_mass,3,2,1562338001,500,15,Southern 5,14,0.028,18702.773799664374,100
body_mass,3,3,980813718,500,0,Nesøy,10,0.02,18720.95839837749,100
body_mass,3,3,980813718,500,1,Myken,14,0.028,18720.95839837749,100
body_mass,3,3,980813718,500,2,Træna,66,0.132,18720.95839837749,100
body_mass,3,3,980813718,500,4,Gjerøy,38,0.076,18720.95839837749,100
body_mass,3,3,980813718,500,5,Hestmannøy,86,0.172,18720.95839837749,100
body_mass,3,3,980813718,500,6,Indre Kvarøy,36,0.072,18720.95839837749,100
body_mass,3,3,980813718,500,7,Onøy og Lurøy,21,0.042,18720.95839837749,100
body_mass,3,3,980813718,500,8,Lovund,20,0.04,18720.95839837749,100
body_mass,3,3,980813718,500,9,Sleneset,14,0.028,18720.95839837749,100
body_mass,3,3,980813718,500,10,Aldra,15,0.03,18720.95839837749,100
body_mass,3,3,980813718,500,11,Southern 1,40,0.08,18720.95839837749,100
body_mass,3,3,980813718,500,12,Southern 2,36,0.072,18720.95839837749,100
body_mass,3,3,980813718,500,13,Southern 3,49,0.098,18720.95839837749,100
body_mass,3,3,980813718,500,14,Southern 4,42,0.084,18720.95839837749,100
body_mass,3,3,980813718,500,15,Southern 5,13,0.026,18720.95839837749,100
body_mass,3,4,1849893988,500,0,Nesøy,9,0.018,18717.327399959657,100
body_mass,3,4,1849893988,500,1,Myken,19,0.038,18717.327399959657,100
body_mass,3,4,1849893988,500,2,Træna,58,0.116,18717.327399959657,100
body_mass,3,4,1849893988,500,4,Gjerøy,45,0.09,18717.327399959657,100
body_mass,3,4,1849893988,500,5,Hestmannøy,83,0.166,18717.327399959657,100
body_mass,3,4,1849893988,500,6,Indre Kvarøy,39,0.078,18717.327399959657,100
body_mass,3,4,1849893988,500,7,Onøy og Lurøy,16,0.032,18717.327399959657,100
body_mass,3,4,1849893988,500,8,Lovund,21,0.042,18717.327399959657,100
body_mass,3,4,1849893988,500,9,Sleneset,19,0.038,18717.327399959657,100
body_mass,3,4,1849893988,500,10,Aldra,16,0.032,18717.327399959657,100
body_mass,3,4,1849893988,500,11,Southern 1,49,0.098,18717.327399959657,100
body_mass,3,4,1849893988,500,12,Southern 2,33,0.066,18717.327399959657,100
body_mass,3,4,1849893988,500,13,Southern 3,45,0.09,18717.327399959657,100
body_mass,3,4,1849893988,500,14,Southern 4,34,0.068,18717.327399959657,100
body_mass,3,4,1849893988,500,15,Southern 5,14,0.028,18717.327399959657,100
