n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
1000,0.08478846701904694,0.9237242341041565,random_individual,2,,3,Selvær,3,980813718,body_mass
2000,0.13579705861882352,0.9138519167900085,random_individual,2,,3,Selvær,3,980813718,body_mass
500,0.09416637319872279,0.9206417202949524,random_individual,3,,3,Selvær,3,980813718,body_mass
1000,0.18970357832562637,0.9092121124267578,random_individual,3,,3,Selvær,3,980813718,body_mass
2000,0.17744132497809167,0.9004485011100769,random_individual,3,,3,Selvær,3,980813718,body_mass
500,0.019896620846666158,0.9354707598686218,random_individual,4,,3,Selvær,3,980813718,body_mass
1000,0.07915867466097942,0.9167221188545227,random_individual,4,,3,Selvær,3,980813718,body_mass
2000,0.16034031431067838,0.8995952606201172,random_individual,4,,3,Selvær,3,980813718,body_mass
500,0.185710884279366,0.9130909442901611,pevmean_ga,-1,18717.327399959657,3,Selvær,4,1849893988,body_mass
1000,0.12899482911716895,0.911788284778595,pevmean_ga,-1,18291.699174682024,3,Selvær,4,1849893988,body_mass
2000,0.19944008473416938,0.908440351486206,pevmean_ga,-1,17731.72577799355,3,Selvær,4,1849893988,body_mass
500,0.08203152037382258,0.9576579332351685,random_individual,0,,3,Selvær,4,1849893988,body_mass
1000,0.05410740339904986,0.935722291469574,random_individual,0,,3,Selvær,4,1849893988,body_mass
2000,0.08265906883030835,0.9271075129508972,random_individual,0,,3,Selvær,4,1849893988,body_mass
500,0.08355813244000732,0.9176040887832642,random_individual,1,,3,Selvær,4,1849893988,body_mass
1000,0.20761244284260286,0.897220253944397,random_individual,1,,3,Selvær,4,1849893988,body_mass
2000,0.21676008092747995,0.8879777789115906,random_individual,1,,3,Selvær,4,1849893988,body_mass
500,0.0947983227748232,0.915631115436554,random_individual,2,,3,Selvær,4,1849893988,body_mass
1000,0.055075862555819755,0.9316115379333496,random_individual,2,,3,Selvær,4,1849893988,body_mass
2000,0.11472341736039961,0.9202503561973572,random_individual,2,,3,Selvær,4,1849893988,body_mass
500,0.07714928462084669,0.9197070002555847,random_individual,3,,3,Selvær,4,1849893988,body_mass
1000,0.21117070568251067,0.8985418677330017,random_individual,3,,3,Selvær,4,1849893988,body_mass
2000,0.2435170272284555,0.8904448747634888,random_individual,3,,3,Selvær,4,1849893988,body_mass
500,0.1196077725936703,0.919545590877533,random_individual,4,,3,Selvær,4,1849893988,body_mass
1000,0.17138020404764728,0.9072285890579224,random_individual,4,,3,Selvær,4,1849893988,body_mass
2000,0.2234309531001911,0.9007681608200073,random_individual,4,,3,Selvær,4,1849893988,body_mass
