trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05194,8N05194,13,Southern 3,5150,-0.009579153721433345,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05195,8N05195,13,Southern 3,4024,-0.0068364702756103035,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05196,8N05196,13,Southern 3,3558,-0.0055559967110034095,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05197,8N05197,13,Southern 3,4444,-0.007777273206898972,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05198,8N05198,13,Southern 3,3448,-0.005210980767855658,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05199,8N05199,13,Southern 3,4543,-0.008006900762377775,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05200,8N05200,13,Southern 3,4284,-0.0074308795936714415,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05201,8N05201,12,Southern 2,2896,-0.003282829013007963,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05202,8N05202,12,Southern 2,3399,-0.005090462835622866,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05203,8N05203,12,Southern 2,1792,0.00016998794439016727,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05204,8N05204,12,Southern 2,4601,-0.008139378910950961,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05205,8N05205,12,Southern 2,2934,-0.0034049043468160965,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05206,8N05206,12,Southern 2,2775,-0.0028796341093460997,1.0
