analysis,method,weight_scheme,order_seed,weighted_fit_used,n_individuals,corr_eval,mse_adj,avg_grm_obj,target_island,target_island_name,repeat,repeat_seed,trait
full_baseline,full_source_unweighted,none,-2,False,5503,0.21865713179424323,0.8971801400184631,-0.001113041352838955,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,50,0.091253769317686,1.1815017461776733,0.0381014587940612,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,100,0.16730411511068155,0.9720353484153748,0.033711740603371516,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,250,0.20547184751763825,0.9341071844100952,0.0276329701654479,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,500,0.2457546351328268,0.8940232992172241,0.020689837735773008,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,1000,0.25043836071521486,0.8752200603485107,0.013050891419706563,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,1500,0.22133647103796178,0.8885254859924316,0.009399199681244808,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,2000,0.211666417736256,0.8917002081871033,0.0071217226901461326,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,2500,0.18527683192023464,0.9044005274772644,0.005457414161476687,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,3000,0.1886712884931961,0.9034407138824463,0.004084326479322406,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,3500,0.19742872115081297,0.9004911184310913,0.002847641469193051,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,4000,0.19982349076748146,0.901512086391449,0.0017256817665211436,3,Selvær,0,1879982273,body_mass
ranked_subset,avggrm_topk,none,-1,False,4500,0.21003093535435052,0.9005352854728699,0.0007173595132853856,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,50,-0.02107761608125429,0.9224882125854492,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,100,-0.006349000062361068,0.9437578916549683,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,250,-0.04928883013030542,0.9343684911727905,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,500,-0.03642153074288905,0.9291537404060364,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,1000,0.08649463024760416,0.9161248803138733,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,1500,0.08862550053748776,0.9182736873626709,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,2000,0.12936035359407186,0.9120082259178162,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,2500,0.09920013559763745,0.9247172474861145,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,3000,0.16408191209186437,0.9125351905822754,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,3500,0.18105640175783363,0.9065463542938232,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,4000,0.17048446985807947,0.9096415638923645,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,0,False,4500,0.1981575543013278,0.9036059975624084,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,50,0.11070198431854841,0.9379828572273254,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,100,0.11254061137269049,0.9190720915794373,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,250,0.050745508844466776,0.9213171601295471,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,500,0.0639948159116821,0.9172734022140503,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,1000,0.1123712021469799,0.9118994474411011,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,1500,0.10628793501501058,0.9127996563911438,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,2000,0.13398801424987045,0.9087734222412109,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,2500,0.1287935889900931,0.9149754047393799,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,3000,0.14771311785487548,0.9121996760368347,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,3500,0.1819493370946449,0.9063064455986023,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,4000,0.17778095360538468,0.9067432880401611,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,1,False,4500,0.1860809704767731,0.902651309967041,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,2,False,50,-0.01042990771392072,0.9243353009223938,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,2,False,100,-0.080199283774836,0.9286813139915466,,3,Selvær,0,1879982273,body_mass
ranked_subset,random_individual,none,2,False,250,0.03172409247843436,0.9206387400627136,,3,Selvær,0,1879982273,body_mass
