trait,snp_experiment,pearson_r_mean,pearson_r_std_across_repeats,n_repeats,n_folds_total,n_features_fit,fit_time_total_s
body_mass,all_snps,0.18609620186379014,,1,15,65344,101.79762480001955
body_mass,random_20k_snps,0.16003532245088664,0.0062122842013786215,5,75,20000,211.76038009997865
thr_tarsus,all_snps,0.2551087721887058,,1,15,65344,99.72576369998569
thr_tarsus,random_20k_snps,0.23713908099471848,0.006780430523904799,5,75,20000,261.6094178999774
thr_wing,all_snps,0.19722503600692187,,1,15,65344,116.24821409999277
thr_wing,random_20k_snps,0.17202807947034315,0.00510193985880779,5,75,20000,267.679385200041
