trait,target_island,target_island_name,analysis,method,weight_scheme,n_components,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,7,Onøy og Lurøy,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5438,0.2123472061431137,,3.909276566805942,1
body_mass,7,Onøy og Lurøy,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5438,0.2116239090923078,,3.911373906587264,1
body_mass,7,Onøy og Lurøy,weighted_full,bpcrr_weight_uniform,uniform,500,5438,0.163913292020907,,3.994943294813769,1
body_mass,8,Lovund,full_baseline,full_source_unweighted,none,500,5539,0.363404148408738,,3.5358626766187813,1
body_mass,8,Lovund,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5539,0.3919193469968361,,3.4543024479394537,1
body_mass,8,Lovund,weighted_full,bpcrr_weight_exp_beta_1p0,exp_beta_1p0,500,5539,0.3934581885147215,,3.448753163980148,1
body_mass,8,Lovund,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5539,0.3921790083044188,,3.4537721815943105,1
body_mass,8,Lovund,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5539,0.3918339894557418,,3.454653568816387,1
body_mass,8,Lovund,weighted_full,bpcrr_weight_uniform,uniform,500,5539,0.3917402211038366,,3.455423271510629,1
body_mass,9,Sleneset,full_baseline,full_source_unweighted,none,500,5531,0.1741406127100818,,3.791889984203303,1
body_mass,9,Sleneset,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5531,0.1746847958824855,,3.79490522394802,1
body_mass,9,Sleneset,weighted_full,bpcrr_weight_exp_beta_1p0,exp_beta_1p0,500,5531,0.1727822684484153,,3.796792940540509,1
body_mass,9,Sleneset,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5531,0.1739387008607943,,3.790883236857401,1
body_mass,9,Sleneset,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5531,0.1743053654177982,,3.794847385654643,1
body_mass,9,Sleneset,weighted_full,bpcrr_weight_uniform,uniform,500,5531,0.1743898949687921,,3.795052330503177,1
body_mass,10,Aldra,full_baseline,full_source_unweighted,none,500,5524,0.150871263840597,,3.4466782606803457,1
body_mass,10,Aldra,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5524,0.1618306067643427,,3.4160053561856745,1
body_mass,10,Aldra,weighted_full,bpcrr_weight_exp_beta_1p0,exp_beta_1p0,500,5524,0.1517314268727422,,3.4508449969256185,1
body_mass,10,Aldra,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5524,0.1493619057453911,,3.4525268384224,1
body_mass,10,Aldra,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5524,0.1463771117051235,,3.4619334545062577,1
body_mass,10,Aldra,weighted_full,bpcrr_weight_uniform,uniform,500,5524,0.1518035543258601,,3.4449975950223983,1
body_mass,11,Southern 1,full_baseline,full_source_unweighted,none,500,5114,0.1285087780518805,,3.0416954990985663,1
body_mass,11,Southern 1,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5114,0.1281807715818368,,3.040624803459514,1
body_mass,11,Southern 1,weighted_full,bpcrr_weight_exp_beta_1p0,exp_beta_1p0,500,5114,0.1327744713693828,,3.039965832998153,1
body_mass,11,Southern 1,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5114,0.1321960003872409,,3.0389559168082587,1
body_mass,11,Southern 1,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5114,0.1309891495902383,,3.0374650829980503,1
body_mass,11,Southern 1,weighted_full,bpcrr_weight_uniform,uniform,500,5114,0.1232689023170917,,3.040916211046637,1
body_mass,12,Southern 2,full_baseline,full_source_unweighted,none,500,5300,0.0428472641648618,,3.5708030082646487,1
body_mass,12,Southern 2,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5300,0.0440818416077217,,3.56693742545985,1
body_mass,12,Southern 2,weighted_full,bpcrr_weight_exp_beta_1p0,exp_beta_1p0,500,5300,0.0454770931892315,,3.5674782791502544,1
body_mass,12,Southern 2,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5300,0.0426587033041069,,3.5727903962120315,1
body_mass,12,Southern 2,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5300,0.043533912835221,,3.5688924397000807,1
body_mass,12,Southern 2,weighted_full,bpcrr_weight_uniform,uniform,500,5300,0.0428260989021401,,3.5709552736024484,1
body_mass,13,Southern 3,full_baseline,full_source_unweighted,none,500,5113,0.1511334363524106,,3.1465206136347823,1
body_mass,13,Southern 3,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5113,0.157777599585945,,3.137822321657348,1
body_mass,13,Southern 3,weighted_full,bpcrr_weight_exp_beta_1p0,exp_beta_1p0,500,5113,0.1644125351230627,,3.151106780382737,1
body_mass,13,Southern 3,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5113,0.1603440037301723,,3.137083894048818,1
body_mass,13,Southern 3,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5113,0.1595280425171016,,3.1357352338558524,1
body_mass,13,Southern 3,weighted_full,bpcrr_weight_uniform,uniform,500,5113,0.1502738657471799,,3.154571180637107,1
body_mass,14,Southern 4,full_baseline,full_source_unweighted,none,500,5211,0.0336281741316005,,3.036347809098112,1
body_mass,14,Southern 4,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5211,0.035439893946716,,3.049077169328779,1
body_mass,14,Southern 4,weighted_full,bpcrr_weight_exp_beta_1p0,exp_beta_1p0,500,5211,0.0385910629803354,,3.063349843103096,1
body_mass,14,Southern 4,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5211,0.0404313934118616,,3.049224396573876,1
body_mass,14,Southern 4,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5211,0.0415135675092431,,3.0408613809874985,1
body_mass,14,Southern 4,weighted_full,bpcrr_weight_uniform,uniform,500,5211,0.0313561769730302,,3.038578847582921,1
body_mass,15,Southern 5,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5495,0.1074778218517918,,2.990415235814367,1
body_mass,15,Southern 5,weighted_full,bpcrr_weight_exp_beta_1p0,exp_beta_1p0,500,5495,0.1075602670975578,,2.9909446374841275,1
body_mass,15,Southern 5,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5495,0.1093451736488955,,2.9891303750108773,1
body_mass,15,Southern 5,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5495,0.1081965252261394,,2.9908027580877325,1
