target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
3,1,Myken,0.16227269616274362,0.0017638336539428654,92,1,1
3,8,Lovund,0.04030453767839041,0.0002651614320946737,152,2,2
3,7,Onøy og Lurøy,0.03381511424542497,0.00013157632002110884,257,3,3
3,11,Southern 1,0.02074949494608816,3.559090042210662e-05,583,4,8
3,13,Southern 3,0.018727492053568547,3.2122627879191336e-05,583,5,9
3,4,Gjerøy,0.016428209098981066,2.9600376754920838e-05,555,6,10
3,2,Træna,0.011487941487925672,4.016762758015969e-05,286,7,6
3,0,Nesøy,0.009866700131901357,8.433077035813125e-05,117,8,4
3,9,Sleneset,0.006909296052154671,4.2388319338372214e-05,163,9,5
3,10,Aldra,0.006610724407290975,3.8212279810930495e-05,173,10,7
3,6,Indre Kvarøy,0.005232815082248757,1.5036824948990681e-05,348,11,11
3,15,Southern 5,0.0021353116879237275,1.0570849940216473e-05,202,12,12
3,12,Southern 2,-0.007472270571711137,-1.886937013058368e-05,396,13,14
3,5,Hestmannøy,-0.019275620054314598,-1.8133226767934712e-05,1063,14,13
3,14,Southern 4,-0.027148262683617114,-5.586062280579653e-05,486,15,15
