alpha,removal_fraction,cv_mse_mean,cv_mse_std,cv_time_mean_s,cv_time_std_s,n_trials
10000.0,0.0,1.2638261106279163,0.0015414526190405022,51.025771219749004,0.31305796204327,3
50000.0,0.0,1.1849515742725796,0.0011443018083992919,51.007304713285215,0.2790090520008865,3
100000.0,0.0,1.1839979860517713,0.0010266551145889792,51.016618113964796,0.2841086636701497,3
500000.0,0.0,1.200496816635132,0.00026305725929599876,51.02788974026529,0.28699272589675356,3
1000000.0,0.0,1.206450837188297,0.0001301252264308084,51.001937611959875,0.27524317665880876,3
10000.0,0.25,1.257168217500051,0.0351299475680682,34.29405611939728,0.3283839568720222,3
50000.0,0.25,1.1846852593951755,0.02290823649788772,34.06395355441297,0.21535280071630725,3
100000.0,0.25,1.1801689227422079,0.01999952426519658,34.21994818405559,0.23002019350744915,3
500000.0,0.25,1.189432019657559,0.017357853467719505,34.082339828368276,0.19667049145016846,3
1000000.0,0.25,1.1934681269857619,0.017065673090692332,34.0772004010311,0.20293496741809744,3
10000.0,0.5,1.2534299770991009,0.06303883757409325,20.594877281226218,0.13414302855649765,3
50000.0,0.5,1.1994301623768278,0.045787652144911845,20.597714426073555,0.1256415892765907,3
100000.0,0.5,1.1983537938859727,0.04398700278027651,20.596905615956832,0.11575950441288976,3
500000.0,0.5,1.2093042929967244,0.04376147097213995,20.786221090471372,0.24529296348117674,3
1000000.0,0.5,1.2129048215018379,0.04378695781332683,20.678225614363328,0.14023578193411496,3
10000.0,0.75,1.2203759021229212,0.04241953150315242,9.6621349529208,0.036049945183475776,3
50000.0,0.75,1.1886242535379197,0.037151652215090814,9.656691258617988,0.030211728101397432,3
100000.0,0.75,1.189854872226715,0.03467348169414108,9.66446146935535,0.03856621300589043,3
500000.0,0.75,1.1982725103696188,0.03126435834204613,9.653664543991908,0.04148689308295456,3
1000000.0,0.75,1.2003307978312174,0.030674154932433185,9.659240351601815,0.03511179512502932,3
