target_island,target_island_name,repeat,seed,removal_fraction,n_source_train,n_test,fit_time_seconds,model,alpha_best,alpha_cv_mse_best,corr_eval,mse_adj
5,Hestmannøy,0,10,0.0,4619,1078,259.47432055394165,ridge,100000.0,1.1843547900517781,0.14817720651626587,1.575709342956543
5,Hestmannøy,0,10,0.25,3464,1078,173.82034652098082,ridge,100000.0,1.182781442006429,0.14150018990039825,1.5813612937927246
5,Hestmannøy,0,10,0.5,2310,1078,105.23078142199665,ridge,50000.0,1.1467304706573487,0.1182524710893631,1.587300419807434
5,Hestmannøy,0,10,0.75,1155,1078,49.140674585010856,ridge,100000.0,1.1916987895965576,0.10136860609054565,1.6033132076263428
5,Hestmannøy,1,1010,0.0,4619,1078,259.0806787270121,ridge,100000.0,1.1828405340512593,0.14576919376850128,1.5769808292388916
5,Hestmannøy,1,1010,0.25,3464,1078,173.08106772205792,ridge,100000.0,1.158991527557373,0.09760498255491257,1.5966174602508545
5,Hestmannøy,1,1010,0.5,2310,1078,103.92037070193328,ridge,100000.0,1.2291048407554626,0.19380247592926025,1.569409728050232
5,Hestmannøy,1,1010,0.75,1155,1078,48.81238254113123,ridge,50000.0,1.2227492014567056,0.08274776488542557,1.607051968574524
5,Hestmannøy,2,2010,0.0,4619,1078,256.71916102501564,ridge,100000.0,1.1847986340522767,0.13441161811351776,1.5803182125091553
5,Hestmannøy,2,2010,0.25,3464,1078,172.06546542001888,ridge,100000.0,1.1987337986628215,0.17744123935699463,1.569442629814148
5,Hestmannøy,2,2010,0.5,2310,1078,104.81360815209337,ridge,100000.0,1.2179873585700989,0.13926421105861664,1.5873064994812012
5,Hestmannøy,2,2010,0.75,1155,1078,49.120337915141135,ridge,50000.0,1.1490482012430827,0.10773145407438278,1.5940613746643066
