trait,method,target_island,target_island_name,repeat,repeat_seed,n_train_size,n_train,n_pcs,n_pcs_requested,alpha,pearson_r,mse_adj,fit_time_seconds,n_test
thr_wing,random_pc_ridge,0,Nesøy,7,21,2000,2000,4500,4500,32010.23,0.14290582449845218,6438.4912109375,0.14033026299875928,118
thr_wing,random_pc_ridge,0,Nesøy,8,22,2000,2000,4500,4500,32010.23,0.16161773985527447,6433.154296875,0.21952467099981732,118
thr_wing,random_pc_ridge,0,Nesøy,9,23,2000,2000,4500,4500,32010.23,0.038496600569104006,6454.283203125,0.14456488900032127,118
thr_wing,random_pc_ridge,0,Nesøy,0,744452614,2500,2500,4500,4500,32010.23,0.1696793602531232,6469.451171875,0.15813155700016068,118
thr_wing,random_pc_ridge,0,Nesøy,1,154263954,2500,2500,4500,4500,32010.23,0.16661135671661825,6461.822265625,0.25939554599972325,118
thr_wing,random_pc_ridge,0,Nesøy,2,1378078444,2500,2500,4500,4500,32010.23,0.21036711362378502,6446.63525390625,0.17313852199731627,118
thr_wing,random_pc_ridge,0,Nesøy,3,1181729346,2500,2500,4500,4500,32010.23,0.120194550379994,6440.6572265625,0.15413404100036132,118
thr_wing,random_pc_ridge,0,Nesøy,4,555131593,2500,2500,4500,4500,32010.23,0.18175128383174008,6453.6943359375,0.1524178590007068,118
thr_wing,random_pc_ridge,0,Nesøy,5,19,2500,2500,4500,4500,32010.23,0.11297103890841993,6451.76708984375,0.16098223500011954,118
thr_wing,random_pc_ridge,0,Nesøy,6,20,2500,2500,4500,4500,32010.23,0.12326176754810109,6442.59033203125,0.15941709699836792,118
thr_wing,random_pc_ridge,0,Nesøy,7,21,2500,2500,4500,4500,32010.23,0.10368545207688698,6442.84375,0.15177126200069324,118
thr_wing,random_pc_ridge,0,Nesøy,8,22,2500,2500,4500,4500,32010.23,0.16792992164760323,6449.51171875,0.15966504799871473,118
thr_wing,random_pc_ridge,0,Nesøy,9,23,2500,2500,4500,4500,32010.23,0.177159445708254,6437.71435546875,0.15348978800102486,118
thr_wing,random_pc_ridge,0,Nesøy,0,744452614,3000,3000,4500,4500,32010.23,0.17423316965979257,6451.25341796875,0.21902997700090054,118
thr_wing,random_pc_ridge,0,Nesøy,1,154263954,3000,3000,4500,4500,32010.23,0.05310360063165498,6459.8857421875,0.28660614299951703,118
thr_wing,random_pc_ridge,0,Nesøy,2,1378078444,3000,3000,4500,4500,32010.23,0.11065535359341022,6448.73681640625,0.2207087560018408,118
thr_wing,random_pc_ridge,0,Nesøy,3,1181729346,3000,3000,4500,4500,32010.23,0.1503934809974736,6445.49462890625,0.20870897299755597,118
thr_wing,random_pc_ridge,0,Nesøy,4,555131593,3000,3000,4500,4500,32010.23,0.17673438971017852,6421.6787109375,0.2105770259986457,118
thr_wing,random_pc_ridge,0,Nesøy,5,19,3000,3000,4500,4500,32010.23,0.1530250565873558,6452.888671875,0.2185758720006561,118
thr_wing,random_pc_ridge,0,Nesøy,6,20,3000,3000,4500,4500,32010.23,0.16521410805252337,6448.35888671875,0.20746411700019962,118
thr_wing,random_pc_ridge,0,Nesøy,7,21,3000,3000,4500,4500,32010.23,0.1867760466956204,6437.03125,0.2107523470003798,118
thr_wing,random_pc_ridge,0,Nesøy,8,22,3000,3000,4500,4500,32010.23,0.11203616861749371,6435.8974609375,0.20976330200210214,118
thr_wing,random_pc_ridge,0,Nesøy,9,23,3000,3000,4500,4500,32010.23,0.19207502992295664,6434.76513671875,0.20810990700192633,118
thr_wing,random_pc_ridge,0,Nesøy,0,744452614,3500,3500,4500,4500,32010.23,0.13641327229910577,6451.15966796875,0.2706597079995845,118
