n_permutations,n_cal_samples,best_n_removed,best_n_islands,best_corr_mean,corr_baseline,avg_gain_over_baseline,n_runs
10,10,3,12,0.23976996073267326,0.23198434652749933,0.00778561420517393,10
10,20,8,7,0.20980947711991846,0.20380866947095794,0.006000807648960521,10
10,40,8,7,0.18428440448915598,0.13173385833764537,0.05255054615151061,10
10,80,7,8,0.27437139288243517,0.24223628505464778,0.03213510782778739,10
10,150,6,9,0.29954497335977753,0.24014997010123823,0.0593950032585393,10
20,10,5,10,0.254007624041309,0.23198434652749933,0.02202327751380967,10
20,20,8,7,0.21101800545063024,0.20380866947095794,0.007209335979672299,10
20,40,8,7,0.1916340552098474,0.13173385833764537,0.05990019687220202,10
20,80,3,12,0.27368113650159714,0.24223628505464778,0.03144485144694936,10
20,150,6,9,0.3014739664629552,0.24014997010123823,0.06132399636171698,10
40,10,1,14,0.24437831530213697,0.23198434652749933,0.012393968774637637,10
40,20,0,15,0.20380866947095794,0.20380866947095794,0.0,10
40,40,10,5,0.1828324082937129,0.13173385833764537,0.051098549956067524,10
40,80,8,7,0.271794027210146,0.24223628505464778,0.029557742155498223,10
40,150,7,8,0.29161459609683854,0.24014997010123823,0.05146462599560031,10
80,10,1,14,0.24437831530213697,0.23198434652749933,0.012393968774637637,10
80,20,12,3,0.22018168934560772,0.20380866947095794,0.016373019874649786,10
80,40,8,7,0.18306150367749013,0.13173385833764537,0.05132764533984477,10
80,80,4,11,0.26827338030351255,0.24223628505464778,0.026037095248864772,10
80,150,11,4,0.2901016114126648,0.24014997010123823,0.04995164131142654,10
150,10,10,5,0.2386218350807602,0.23198434652749933,0.0066374885532608785,10
150,20,12,3,0.22018168934560772,0.20380866947095794,0.016373019874649786,10
150,40,7,8,0.17581569505855885,0.13173385833764537,0.04408183672091348,10
150,80,4,11,0.26827338030351255,0.24223628505464778,0.026037095248864772,10
150,150,6,9,0.28970128051377503,0.24014997010123823,0.0495513104125368,10
