trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,6,pevmean_ga,50,0.051054747969137,,1.6361286640167236,1
body_mass,6,pevmean_ga,100,0.0884015882022602,,1.5845656394958496,1
body_mass,6,pevmean_ga,250,0.1863573620324867,,1.5742472410202026,1
body_mass,6,pevmean_ga,500,0.1538760739835894,,1.5668034553527832,1
body_mass,6,pevmean_ga,2000,0.2732737207201339,,1.5228209495544434,1
body_mass,6,pevmean_ga,3500,0.2739470161481512,,1.5059109926223757,1
body_mass,6,pevmean_ga,5341,0.3187686315930153,,1.4793694019317627,1
body_mass,6,random_individual,50,0.02723934404300114,0.03332763283159174,1.6448262929916382,5
body_mass,6,random_individual,100,0.05517606481774344,0.04593073773264752,1.6257309198379517,5
body_mass,6,random_individual,250,0.065386724401819,0.06978014474061603,1.593625020980835,5
body_mass,6,random_individual,500,0.10064460582333372,0.06275337004183121,1.5837818384170532,5
body_mass,6,random_individual,2000,0.23329076850036587,0.0630116448988873,1.5382317304611206,5
body_mass,6,random_individual,3500,0.2865952958414201,0.018034366407843134,1.5054481983184815,5
body_mass,6,random_individual,5341,0.3187686315930153,,1.4793694019317627,1
