n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
1500,0.2377891404790917,1.5423436164855957,pevmean_ga,-1,17583.35184708405,6,Indre Kvarøy,2,441296936,body_mass
2500,0.27832706979356836,1.5238173007965088,pevmean_ga,-1,17169.409860628784,6,Indre Kvarøy,2,441296936,body_mass
3000,0.2598352094713386,1.5181349515914917,pevmean_ga,-1,17003.197060549253,6,Indre Kvarøy,2,441296936,body_mass
1500,0.2329167485886064,1.5544824600219727,random_individual,0,,6,Indre Kvarøy,2,441296936,body_mass
2500,0.26810014151710054,1.5269919633865356,random_individual,0,,6,Indre Kvarøy,2,441296936,body_mass
3000,0.2757197112833786,1.5151714086532593,random_individual,0,,6,Indre Kvarøy,2,441296936,body_mass
1500,0.26755624340069084,1.5343677997589111,random_individual,1,,6,Indre Kvarøy,2,441296936,body_mass
2500,0.24927707946172523,1.525738000869751,random_individual,1,,6,Indre Kvarøy,2,441296936,body_mass
3000,0.2521637369816669,1.518632411956787,random_individual,1,,6,Indre Kvarøy,2,441296936,body_mass
1500,0.28040797664014716,1.5376453399658203,random_individual,2,,6,Indre Kvarøy,2,441296936,body_mass
2500,0.2889521018674716,1.5188202857971191,random_individual,2,,6,Indre Kvarøy,2,441296936,body_mass
3000,0.3001283639704795,1.5111836194992065,random_individual,2,,6,Indre Kvarøy,2,441296936,body_mass
1500,0.2579346010324891,1.5398060083389282,random_individual,3,,6,Indre Kvarøy,2,441296936,body_mass
2500,0.2848336513217207,1.5227949619293213,random_individual,3,,6,Indre Kvarøy,2,441296936,body_mass
3000,0.2780025705079514,1.5189836025238037,random_individual,3,,6,Indre Kvarøy,2,441296936,body_mass
1500,0.206382397925184,1.5517005920410156,random_individual,4,,6,Indre Kvarøy,2,441296936,body_mass
2500,0.22315379339767613,1.5323971509933472,random_individual,4,,6,Indre Kvarøy,2,441296936,body_mass
3000,0.24720858197524276,1.521852970123291,random_individual,4,,6,Indre Kvarøy,2,441296936,body_mass
