trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,n_components,alpha,ringnr,ringnumber,source_island,source_island_name,rank,pca_dist,weight
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732602,8732602,7,Onøy og Lurøy,1105,35.4558219909668,1.133770548084779
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732600,8732600,7,Onøy og Lurøy,1826,51.05718231201172,0.9964701894197033
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732605,8732605,9,Sleneset,1575,45.53892135620117,1.0430213700480984
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732610,8732610,9,Sleneset,1811,50.77853012084961,0.9987701143405304
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732615,8732615,9,Sleneset,764,28.329627990722656,1.2026300093777136
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732620,8732620,7,Onøy og Lurøy,1219,37.996070861816406,1.1101898108714772
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732621,8732621,2,Træna,375,19.251821517944336,1.2964377883863871
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732625,8732625,9,Sleneset,2344,65.69400024414062,0.8828141074345515
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732626,8732626,9,Sleneset,2642,77.96307373046875,0.7975949007028144
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732637,8732637,5,Hestmannøy,337,18.11233901977539,1.3087185038389508
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732641,8732641,5,Hestmannøy,635,25.69608497619629,1.229122632526377
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732644,8732644,5,Hestmannøy,423,21.02668571472168,1.277538409368423
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732646,8732646,5,Hestmannøy,127,12.897797584533691,1.366418637904381
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732647,8732647,5,Hestmannøy,254,15.978948593139648,1.332024520851086
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732648,8732648,5,Hestmannøy,2139,59.09403991699219,0.932363220885322
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732649,8732649,5,Hestmannøy,1382,41.34127426147461,1.079883152509177
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732650,8732650,5,Hestmannøy,1777,49.95330810546875,1.005613018501691
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732651,8732651,5,Hestmannøy,951,32.20091247558594,1.164719084732341
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732653,8732653,5,Hestmannøy,2284,63.62309646606445,0.8980711745203903
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732654,8732654,5,Hestmannøy,1123,35.72785568237305,1.13122155956957
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732656,8732656,5,Hestmannøy,1383,41.36406326293945,1.0796796594943545
