k,c90,diversity,rule_satisfied,trait,target_island,target_island_name,repeat,repeat_seed,n_components,c90_full,diversity_full,c90_limit,diversity_limit,selected_k,selected_row,triggered_early
50,29.574370698926657,10.531945675317179,False,body_mass,0,Nesøy,0,461311978,10,11.925846518820398,81.26439342347469,12.522138844761418,73.13795408112722,3326,False,False
200,24.236011481090543,13.461112439298839,False,body_mass,0,Nesøy,0,461311978,10,11.925846518820398,81.26439342347469,12.522138844761418,73.13795408112722,3326,False,False
500,23.755672540510574,20.046546932851975,False,body_mass,0,Nesøy,0,461311978,10,11.925846518820398,81.26439342347469,12.522138844761418,73.13795408112722,3326,False,False
3326,11.925846518820398,81.26439342347469,True,body_mass,0,Nesøy,0,461311978,10,11.925846518820398,81.26439342347469,12.522138844761418,73.13795408112722,3326,True,False
