n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,92,-0.0017615009532610268,1.4516984224319458,shapley_mean,-1,1,92,4
13,2,211,0.03580499440105647,1.4568064212799072,shapley_mean,-1,2,211,4
12,3,470,-0.02280731578455205,1.4594016075134277,shapley_mean,-1,3,470,4
11,4,826,0.04837818272175114,1.4519548416137695,shapley_mean,-1,4,826,4
10,5,1118,0.04565305529525897,1.452970027923584,shapley_mean,-1,5,1118,4
9,6,1515,0.03984289717088695,1.4512221813201904,shapley_mean,-1,6,1515,4
8,7,2001,0.03472483245687913,1.451670527458191,shapley_mean,-1,7,2001,4
7,8,2584,0.06809377444927066,1.44394052028656,shapley_mean,-1,8,2584,4
6,9,2742,0.08232121707768966,1.4418387413024902,shapley_mean,-1,9,2742,4
5,10,3820,0.12500776369557953,1.4271910190582275,shapley_mean,-1,10,3820,4
4,11,3993,0.10884424255368771,1.4288091659545898,shapley_mean,-1,11,3993,4
3,12,4159,0.10176842842341072,1.4326581954956055,shapley_mean,-1,12,4159,4
2,13,4743,0.08101317111345392,1.4388298988342285,shapley_mean,-1,13,4743,4
1,14,4945,0.08047999907126609,1.4390724897384644,shapley_mean,-1,14,4945,4
0,15,5139,0.0684294472585308,1.4438421726226807,shapley_mean,-1,15,5139,4
