method,n_train_size,n_individuals,corr_eval_cal,corr_eval_test,mse_adj_test,pevmean_obj,fitness,target_island,target_island_name,n_cal_samples,repeat,repeat_seed,trait,order_seed,ga_generations,ga_elapsed_sec
all_individuals,5503,5503,0.141914215341506,0.22967511232948112,0.892913281917572,16597.565144808566,2.5788518143104852e-05,3,Selvær,25,4,782924072,body_mass,-2,0,0.0
calibration_ga,500,500,0.9974659226928652,-0.056698146017242594,0.9413827657699585,,0.0019949318453857303,3,Selvær,25,4,782924072,body_mass,-1,100,320.7710324008949
pevmean_ga,500,500,-0.26556645055554684,0.2367227892688427,0.9000512957572937,18717.327399959657,-0.0005311329011110936,3,Selvær,25,4,782924072,body_mass,-1,100,28.802133123856038
random,500,500,-0.0006962481786214583,0.2002992372365725,0.9064871072769165,,-1.3924963572429166e-06,3,Selvær,25,4,782924072,body_mass,0,0,0.0
random,500,500,0.11880611881869475,0.14897141985825696,0.927769660949707,,0.0002376122376373895,3,Selvær,25,4,782924072,body_mass,1,0,0.0
random,500,500,-0.07361179162452737,0.0917184582772402,0.9238619208335876,,-0.00014722358324905475,3,Selvær,25,4,782924072,body_mass,2,0,0.0
random,500,500,-0.0736513931469474,0.1784174542364522,0.910302996635437,,-0.0001473027862938948,3,Selvær,25,4,782924072,body_mass,3,0,0.0
random,500,500,-0.03766556401461946,0.18719976176521202,0.9155518412590027,,-7.533112802923892e-05,3,Selvær,25,4,782924072,body_mass,4,0,0.0
calibration_ga,1000,1000,0.9853934146696283,0.10620138919753218,0.9148125052452087,,0.0009853934146696283,3,Selvær,25,4,782924072,body_mass,-1,100,727.1867712070234
pevmean_ga,1000,1000,-0.13775016244347565,0.15904563421814075,0.9083921909332275,18291.699174682024,-0.00013775016244347565,3,Selvær,25,4,782924072,body_mass,-1,100,114.787011499051
random,1000,1000,0.05916062818560977,0.16808556992255227,0.9127401113510132,,5.916062818560977e-05,3,Selvær,25,4,782924072,body_mass,0,0,0.0
random,1000,1000,0.10738596433930546,0.17178379027810803,0.9112354516983032,,0.00010738596433930546,3,Selvær,25,4,782924072,body_mass,1,0,0.0
random,1000,1000,-0.22046000321076137,0.005099304881840323,0.9294714331626892,,-0.00022046000321076137,3,Selvær,25,4,782924072,body_mass,2,0,0.0
random,1000,1000,-0.26719280077062263,0.20016499608369662,0.8985373377799988,,-0.00026719280077062263,3,Selvær,25,4,782924072,body_mass,3,0,0.0
random,1000,1000,0.04377098231731711,0.1251547257636336,0.9160181283950806,,4.377098231731711e-05,3,Selvær,25,4,782924072,body_mass,4,0,0.0
calibration_ga,2000,2000,0.969104231196281,0.10300882938150559,0.9211597442626953,,0.0004845521155981405,3,Selvær,25,4,782924072,body_mass,-1,100,1438.7465103168506
pevmean_ga,2000,2000,0.2812016412919355,0.19157769465105245,0.9125157594680786,17731.72577799355,0.00014060082064596774,3,Selvær,25,4,782924072,body_mass,-1,100,330.2565702800639
random,2000,2000,0.019858486529135036,0.12443507233750344,0.9181053638458252,,9.929243264567518e-06,3,Selvær,25,4,782924072,body_mass,0,0,0.0
random,2000,2000,0.05185751309366198,0.21480550986631292,0.8968580961227417,,2.592875654683099e-05,3,Selvær,25,4,782924072,body_mass,1,0,0.0
random,2000,2000,0.12322912867095304,0.24421235716376555,0.8931321501731873,,6.161456433547651e-05,3,Selvær,25,4,782924072,body_mass,2,0,0.0
random,2000,2000,0.225139624352541,0.19059871655179583,0.903610348701477,,0.0001125698121762705,3,Selvær,25,4,782924072,body_mass,3,0,0.0
random,2000,2000,0.11729627119346865,0.2331369504429995,0.8918628692626953,,5.8648135596734326e-05,3,Selvær,25,4,782924072,body_mass,4,0,0.0
calibration_ga,3000,3000,0.9336372092057822,0.0736431310113907,0.9343491196632385,,0.0003112124030685941,3,Selvær,25,4,782924072,body_mass,-1,100,2155.4385409611277
pevmean_ga,3000,3000,0.23339805094743887,0.24189882693983442,0.8859862089157104,17312.205783842808,7.779935031581296e-05,3,Selvær,25,4,782924072,body_mass,-1,100,692.5615838759113
random,3000,3000,0.1504922947633475,0.2309973440721707,0.893344521522522,,5.016409825444916e-05,3,Selvær,25,4,782924072,body_mass,0,0,0.0
random,3000,3000,0.13293088186217306,0.17536840755142213,0.9109840393066406,,4.4310293954057684e-05,3,Selvær,25,4,782924072,body_mass,1,0,0.0
