target_island,method,removal_fraction,cal_fraction,corr_eval,mse_adj,n_train_remaining,seed,epochs_trained
0,tracin,0.0,0.2,-0.0016553137684240937,1.3567100763320923,5578,10,37
0,tracin,0.1,0.2,-0.05205797404050827,1.3632131814956665,5021,10,31
0,tracin,0.2,0.2,-0.08113521337509155,1.4083603620529175,4463,10,32
0,tracin,0.3,0.2,-0.047378528863191605,1.4560117721557617,3905,10,31
0,tracin,0.4,0.2,-0.02515103481709957,1.5342258214950562,3347,10,32
0,tracin,0.5,0.2,-0.01342881377786398,1.660954475402832,2789,10,36
0,tracin,0.0,0.2,-0.011410647071897984,1.3611407279968262,5578,11,44
0,tracin,0.1,0.2,-0.04163866862654686,1.370671272277832,5021,11,42
0,tracin,0.2,0.2,-0.037244703620672226,1.3947833776474,4463,11,33
0,tracin,0.3,0.2,-0.0616256520152092,1.4517892599105835,3905,11,34
0,tracin,0.4,0.2,0.004098271485418081,1.5561832189559937,3347,11,32
0,tracin,0.5,0.2,-0.003314845496788621,1.6765133142471313,2789,11,32
0,tracin,0.0,0.2,0.257832795381546,1.2949391603469849,5578,12,45
0,tracin,0.1,0.2,0.15910682082176208,1.325738787651062,5021,12,40
0,tracin,0.2,0.2,0.11990871280431747,1.367787480354309,4463,12,34
0,tracin,0.3,0.2,0.09740743786096573,1.4486274719238281,3905,12,31
0,tracin,0.4,0.2,0.06749121099710464,1.5137559175491333,3347,12,31
0,tracin,0.5,0.2,0.18259499967098236,1.5620676279067993,2789,12,57
0,random,0.0,0.2,0.2508901357650757,1.3384307622909546,5578,10,32
0,random,0.1,0.2,0.181486114859581,1.333225131034851,5021,10,42
0,random,0.2,0.2,0.191488116979599,1.3240431547164917,4463,10,42
0,random,0.3,0.2,0.07687506079673767,1.3599843978881836,3905,10,32
0,random,0.4,0.2,0.14299823343753815,1.3432835340499878,3347,10,38
0,random,0.5,0.2,-0.14097167551517487,1.3791335821151733,2789,10,41
0,random,0.0,0.2,0.13268744945526123,1.3248029947280884,5578,11,44
0,random,0.1,0.2,0.1650059074163437,1.3350239992141724,5021,11,41
0,random,0.2,0.2,0.05667443573474884,1.3587146997451782,4463,11,33
0,random,0.3,0.2,-0.10205783694982529,1.3696414232254028,3905,11,43
0,random,0.4,0.2,-0.20172937214374542,1.3714202642440796,3347,11,34
0,random,0.5,0.2,-0.0017169705824926496,1.3846436738967896,2789,11,57
0,random,0.0,0.2,-0.03681723773479462,1.3673286437988281,5578,12,34
0,random,0.1,0.2,0.04959050565958023,1.3604170083999634,5021,12,38
0,random,0.2,0.2,0.1714124083518982,1.3221884965896606,4463,12,48
0,random,0.3,0.2,0.1069137379527092,1.3352254629135132,3905,12,55
0,random,0.4,0.2,0.20104233920574188,1.3262349367141724,3347,12,49
0,random,0.5,0.2,0.12338293343782425,1.333309531211853,2789,12,52
