trait,n_pcs,alpha,pearson_r_mean,pearson_r_std,n_folds
body_mass,2500,89093.2,0.19116928915640685,0.11824171350149974,15
thr_tarsus,3500,156026.34,0.2533646171333893,0.08431671023994075,15
thr_wing,4500,32010.23,0.20333319155398352,0.101914758980806,15
