target_island,target_island_name,repeat,seed,removal_fraction,n_source_train,n_test,fit_time_seconds,model,epochs_trained,corr_eval,mse_adj,alpha_best
0,Nesøy,0,10,0.0,5578,119,193.79096028301865,mlp,150.0,0.16583359241485596,1.44436514377594,
0,Nesøy,0,10,0.0,5578,119,121.34628062299453,ridge,,0.1832190304994583,1.3099086284637451,100000.0
0,Nesøy,0,10,0.25,4184,119,121.88821947504766,mlp,150.0,0.24673523008823395,1.3427969217300415,
0,Nesøy,0,10,0.25,4184,119,77.93919781385921,ridge,,0.23122796416282654,1.2774760723114014,100000.0
0,Nesøy,0,10,0.5,2789,119,79.55826679687016,mlp,150.0,0.13975785672664642,1.520029067993164,
0,Nesøy,0,10,0.5,2789,119,47.02603162685409,ridge,,0.18099407851696014,1.2993175983428955,100000.0
0,Nesøy,0,10,0.75,1394,119,37.86658477294259,mlp,150.0,0.18775595724582672,1.4853726625442505,
0,Nesøy,0,10,0.75,1394,119,21.04183709481731,ridge,,0.2385290414094925,1.3170117139816284,50000.0
0,Nesøy,1,1010,0.0,5578,119,167.17158488580026,mlp,150.0,0.2008916586637497,1.4654771089553833,
0,Nesøy,1,1010,0.0,5578,119,120.73670649388805,ridge,,0.21902769804000854,1.2903565168380737,100000.0
0,Nesøy,1,1010,0.25,4184,119,123.16243065311573,mlp,150.0,0.14445459842681885,1.4677889347076416,
0,Nesøy,1,1010,0.25,4184,119,80.1994616240263,ridge,,0.15266762673854828,1.2997726202011108,100000.0
0,Nesøy,1,1010,0.5,2789,119,81.05363874998875,mlp,150.0,0.30198779702186584,1.2523871660232544,
0,Nesøy,1,1010,0.5,2789,119,47.2899724249728,ridge,,0.2907191216945648,1.23798668384552,100000.0
0,Nesøy,1,1010,0.75,1394,119,37.717032415093854,mlp,150.0,0.14874687790870667,1.3247500658035278,
0,Nesøy,1,1010,0.75,1394,119,20.621590323979035,ridge,,0.08158791810274124,1.345932126045227,100000.0
0,Nesøy,2,2010,0.0,5578,119,165.09529665810987,mlp,150.0,0.20754387974739075,1.5206701755523682,
0,Nesøy,2,2010,0.0,5578,119,119.93551532714628,ridge,,0.20624911785125732,1.2986220121383667,100000.0
0,Nesøy,2,2010,0.25,4184,119,123.15243235300295,mlp,150.0,0.2603873312473297,1.3376460075378418,
0,Nesøy,2,2010,0.25,4184,119,78.13905064295977,ridge,,0.22636331617832184,1.2607630491256714,100000.0
0,Nesøy,2,2010,0.5,2789,119,79.48128749406897,mlp,150.0,0.0654863640666008,1.4791604280471802,
0,Nesøy,2,2010,0.5,2789,119,48.09628587705083,ridge,,0.12200342863798141,1.3021314144134521,100000.0
0,Nesøy,2,2010,0.75,1394,119,37.36230219202116,mlp,150.0,0.06579986214637756,1.3685622215270996,
0,Nesøy,2,2010,0.75,1394,119,20.276712134946138,ridge,,0.0933246985077858,1.3078906536102295,100000.0
