trait,target_island,target_island_name,repeat,split_seed,n_islands,n_individuals,corr_eval,mse_adj,method,order_seed
thr_wing,0,Nesøy,1,1014,2,348,-0.06065316348393464,1.1685588359832764,random_individual,1
thr_wing,0,Nesøy,1,1014,3,634,-0.0592083159329158,1.1606512069702148,random_individual,1
thr_wing,0,Nesøy,1,1014,4,1031,0.03248060463357524,1.1754556894302368,random_individual,1
thr_wing,0,Nesøy,1,1014,5,1222,0.05046456861572712,1.1704163551330566,random_individual,1
thr_wing,0,Nesøy,1,1014,6,1775,0.049040385275747715,1.202968955039978,random_individual,1
thr_wing,0,Nesøy,1,1014,7,1935,0.026045264387141977,1.2224340438842773,random_individual,1
thr_wing,0,Nesøy,1,1014,8,2518,0.08547668681910582,1.1850972175598145,random_individual,1
thr_wing,0,Nesøy,1,1014,9,3099,0.09938996286398347,1.201940894126892,random_individual,1
thr_wing,0,Nesøy,1,1014,10,4154,0.21351624548393444,1.1425443887710571,random_individual,1
thr_wing,0,Nesøy,1,1014,11,4842,0.25779806568205865,1.1299445629119873,random_individual,1
thr_wing,0,Nesøy,1,1014,12,5191,0.2539021799272619,1.1209986209869385,random_individual,1
thr_wing,0,Nesøy,1,1014,13,5364,0.2393413912225005,1.128421664237976,random_individual,1
thr_wing,0,Nesøy,1,1014,14,5515,0.2393327709826965,1.1411771774291992,random_individual,1
thr_wing,0,Nesøy,1,1014,1,92,0.026859412870599002,1.1583948135375977,random_individual,2
thr_wing,0,Nesøy,1,1014,2,348,0.15599376826939765,1.1016745567321777,random_individual,2
thr_wing,0,Nesøy,1,1014,3,634,0.18786626837952025,1.1043726205825806,random_individual,2
thr_wing,0,Nesøy,1,1014,4,1031,0.1947366922560364,1.0824228525161743,random_individual,2
thr_wing,0,Nesøy,1,1014,5,1222,0.24325032528342863,1.0513145923614502,random_individual,2
thr_wing,0,Nesøy,1,1014,6,1775,0.19534184550988962,1.0923997163772583,random_individual,2
thr_wing,0,Nesøy,1,1014,7,1935,0.17581617770607763,1.098449468612671,random_individual,2
thr_wing,0,Nesøy,1,1014,8,2518,0.20614239668093343,1.093191385269165,random_individual,2
thr_wing,0,Nesøy,1,1014,9,3099,0.18185219805180045,1.127496600151062,random_individual,2
thr_wing,0,Nesøy,1,1014,10,4154,0.14885832262012505,1.169090986251831,random_individual,2
thr_wing,0,Nesøy,1,1014,11,4842,0.19568992868727494,1.1633111238479614,random_individual,2
thr_wing,0,Nesøy,1,1014,12,5191,0.22902827560037206,1.1392830610275269,random_individual,2
thr_wing,0,Nesøy,1,1014,13,5364,0.22472123474055278,1.145033359527588,random_individual,2
thr_wing,0,Nesøy,1,1014,14,5515,0.2393327709826965,1.1411771774291992,random_individual,2
thr_wing,0,Nesøy,2,2014,1,92,0.07351418447215839,1.2464871406555176,random_individual,0
thr_wing,0,Nesøy,2,2014,2,283,0.2191655603986899,1.1933493614196777,random_individual,0
thr_wing,0,Nesøy,2,2014,3,456,0.25187370820784233,1.1759681701660156,random_individual,0
thr_wing,0,Nesøy,2,2014,4,742,0.22925512573657023,1.1890350580215454,random_individual,0
thr_wing,0,Nesøy,2,2014,5,1139,0.1934750506991225,1.1752331256866455,random_individual,0
thr_wing,0,Nesøy,2,2014,6,1720,0.18204785975763116,1.1567944288253784,random_individual,0
thr_wing,0,Nesøy,2,2014,7,2775,0.21659823689888447,1.134135365486145,random_individual,0
thr_wing,0,Nesøy,2,2014,8,3463,0.1289406980293259,1.18794846534729,random_individual,0
thr_wing,0,Nesøy,2,2014,9,4046,0.20688812619402716,1.1394567489624023,random_individual,0
thr_wing,0,Nesøy,2,2014,10,4302,0.20954102656331938,1.1413136720657349,random_individual,0
thr_wing,0,Nesøy,2,2014,11,4462,0.22952273372102058,1.1374802589416504,random_individual,0
thr_wing,0,Nesøy,2,2014,12,5015,0.19478623722345564,1.174233317375183,random_individual,0
thr_wing,0,Nesøy,2,2014,13,5364,0.19366396415379009,1.1729750633239746,random_individual,0
thr_wing,0,Nesøy,2,2014,14,5515,0.1941355836876752,1.1792625188827517,random_individual,0
thr_wing,0,Nesøy,2,2014,1,92,0.14300584711914394,1.217138409614563,random_individual,1
thr_wing,0,Nesøy,2,2014,2,283,0.15542702812298054,1.218342661857605,random_individual,1
thr_wing,0,Nesøy,2,2014,3,456,0.1299259408928725,1.2218409776687622,random_individual,1
thr_wing,0,Nesøy,2,2014,4,742,0.14009732798421629,1.2164695262908936,random_individual,1
thr_wing,0,Nesøy,2,2014,5,1139,-0.012625728128821985,1.2744675874710083,random_individual,1
thr_wing,0,Nesøy,2,2014,6,1720,0.010338545679527925,1.2611991167068481,random_individual,1
thr_wing,0,Nesøy,2,2014,7,2775,-0.02277205837313091,1.2743576765060425,random_individual,1
thr_wing,0,Nesøy,2,2014,8,3463,0.091153526556956,1.2174948453903198,random_individual,1
thr_wing,0,Nesøy,2,2014,9,4046,0.12076166414542272,1.1959116458892822,random_individual,1
thr_wing,0,Nesøy,2,2014,10,4302,0.13343086689610625,1.216393232345581,random_individual,1
thr_wing,0,Nesøy,2,2014,11,4462,0.1564486995200657,1.2097818851470947,random_individual,1
thr_wing,0,Nesøy,2,2014,12,5015,0.1684437075978998,1.2185418605804443,random_individual,1
thr_wing,0,Nesøy,2,2014,13,5364,0.19042824667539635,1.1822164058685303,random_individual,1
thr_wing,0,Nesøy,2,2014,14,5515,0.1941355836876752,1.1792625188827517,random_individual,1
thr_wing,0,Nesøy,2,2014,1,92,0.16175159880744322,1.2290898561477661,random_individual,2
thr_wing,0,Nesøy,2,2014,2,283,0.028190143629808487,1.2390724420547485,random_individual,2
thr_wing,0,Nesøy,2,2014,3,456,0.024455359554876502,1.2368690967559814,random_individual,2
thr_wing,0,Nesøy,2,2014,4,742,-0.010533662155412881,1.242458462715149,random_individual,2
thr_wing,0,Nesøy,2,2014,5,1139,0.05788702470702066,1.2417347431182861,random_individual,2
thr_wing,0,Nesøy,2,2014,6,1720,-0.036504075077512306,1.2828868627548218,random_individual,2
thr_wing,0,Nesøy,2,2014,7,2775,0.17666926676383238,1.187730073928833,random_individual,2
thr_wing,0,Nesøy,2,2014,8,3463,0.18813319040699644,1.1805309057235718,random_individual,2
thr_wing,0,Nesøy,2,2014,9,4046,0.21964757843785682,1.1686863899230957,random_individual,2
thr_wing,0,Nesøy,2,2014,10,4302,0.22178018103191013,1.1683015823364258,random_individual,2
thr_wing,0,Nesøy,2,2014,11,4462,0.22820917918158118,1.1722711324691772,random_individual,2
thr_wing,0,Nesøy,2,2014,12,5015,0.20774957163831018,1.175777554512024,random_individual,2
thr_wing,0,Nesøy,2,2014,13,5364,0.20658015116539633,1.1735858917236328,random_individual,2
thr_wing,0,Nesøy,2,2014,14,5515,0.1941355836876752,1.1792625188827517,random_individual,2
thr_wing,0,Nesøy,3,3014,1,286,0.0862421439085935,1.132521152496338,random_individual,0
thr_wing,0,Nesøy,3,3014,2,477,0.05296511011528172,1.1297101974487305,random_individual,0
thr_wing,0,Nesøy,3,3014,3,1030,0.04158215575375498,1.1129624843597412,random_individual,0
thr_wing,0,Nesøy,3,3014,4,1427,0.09447056866175188,1.1040784120559692,random_individual,0
thr_wing,0,Nesøy,3,3014,5,1587,0.03715299242585533,1.1244056224822998,random_individual,0
thr_wing,0,Nesøy,3,3014,6,1843,0.023589389891401285,1.1399897336959839,random_individual,0
thr_wing,0,Nesøy,3,3014,7,1935,0.05414167862107707,1.1325843334197998,random_individual,0
thr_wing,0,Nesøy,3,3014,8,2623,0.05474709960629994,1.1372003555297852,random_individual,0
thr_wing,0,Nesøy,3,3014,9,3206,0.0877923152738626,1.1232274770736694,random_individual,0
thr_wing,0,Nesøy,3,3014,10,3787,0.0553060851783244,1.1539565324783325,random_individual,0
thr_wing,0,Nesøy,3,3014,11,4842,0.10621693069712822,1.1588127613067627,random_individual,0
thr_wing,0,Nesøy,3,3014,12,5191,0.09283121206810417,1.1784645318984985,random_individual,0
thr_wing,0,Nesøy,3,3014,13,5364,0.12261423857568475,1.1705060005187988,random_individual,0
thr_wing,0,Nesøy,3,3014,14,5515,0.1195175657002963,1.1782796382904053,random_individual,0
thr_wing,0,Nesøy,3,3014,1,286,0.23021919154603382,1.117447853088379,random_individual,1
thr_wing,0,Nesøy,3,3014,2,477,0.20708312452384653,1.0961204767227173,random_individual,1
thr_wing,0,Nesøy,3,3014,3,1030,0.22612223039170307,1.0758273601531982,random_individual,1
thr_wing,0,Nesøy,3,3014,4,1427,0.24295860141675743,1.0859049558639526,random_individual,1
thr_wing,0,Nesøy,3,3014,5,1587,0.21908945315121836,1.0962263345718384,random_individual,1
thr_wing,0,Nesøy,3,3014,6,1843,0.20556509997262737,1.099086046218872,random_individual,1
thr_wing,0,Nesøy,3,3014,7,1935,0.2068015397672455,1.0918030738830566,random_individual,1
thr_wing,0,Nesøy,3,3014,8,2623,0.1262005981342413,1.1209295988082886,random_individual,1
thr_wing,0,Nesøy,3,3014,9,3206,0.15756790675521679,1.1431690454483032,random_individual,1
thr_wing,0,Nesøy,3,3014,10,3787,0.15256590859154232,1.167846918106079,random_individual,1
thr_wing,0,Nesøy,3,3014,11,4842,0.11420476058678479,1.1708465814590454,random_individual,1
thr_wing,0,Nesøy,3,3014,12,5191,0.12518316928657935,1.174744963645935,random_individual,1
thr_wing,0,Nesøy,3,3014,13,5364,0.12492614495730038,1.173222303390503,random_individual,1
thr_wing,0,Nesøy,3,3014,14,5515,0.1195175657002963,1.1782796382904053,random_individual,1
thr_wing,0,Nesøy,3,3014,1,286,0.11492190549798433,1.199679970741272,random_individual,2
thr_wing,0,Nesøy,3,3014,2,477,0.11275752393937419,1.1944671869277954,random_individual,2
thr_wing,0,Nesøy,3,3014,3,1030,0.0670106137748214,1.2077386379241943,random_individual,2
thr_wing,0,Nesøy,3,3014,4,1427,0.07482507024649745,1.1976659297943115,random_individual,2
thr_wing,0,Nesøy,3,3014,5,1587,0.08057042522796941,1.182326316833496,random_individual,2
thr_wing,0,Nesøy,3,3014,6,1843,0.0731237951987279,1.2166062593460083,random_individual,2
thr_wing,0,Nesøy,3,3014,7,1935,0.06712306695963535,1.2083876132965088,random_individual,2
thr_wing,0,Nesøy,3,3014,8,2623,0.049924361250605113,1.1891125440597534,random_individual,2
thr_wing,0,Nesøy,3,3014,9,3206,0.056509498312530694,1.1865851879119873,random_individual,2
thr_wing,0,Nesøy,3,3014,10,3787,0.11265346900875092,1.1607333421707153,random_individual,2
thr_wing,0,Nesøy,3,3014,11,4842,0.05876651479289588,1.1893954277038574,random_individual,2
thr_wing,0,Nesøy,3,3014,12,5191,0.10372193083617115,1.1938064098358154,random_individual,2
thr_wing,0,Nesøy,3,3014,13,5364,0.10211867612051491,1.195082426071167,random_individual,2
thr_wing,0,Nesøy,3,3014,14,5515,0.1195175657002963,1.1782796382904053,random_individual,2
thr_wing,0,Nesøy,4,4014,1,151,-0.03018473572330508,1.3978546857833862,random_individual,0
thr_wing,0,Nesøy,4,4014,2,437,0.11662031347444421,1.359635829925537,random_individual,0
thr_wing,0,Nesøy,4,4014,3,597,0.1293381828345254,1.36944580078125,random_individual,0
thr_wing,0,Nesøy,4,4014,4,1285,0.308604891152534,1.2639472484588623,random_individual,0
thr_wing,0,Nesøy,4,4014,5,1866,0.3668443456431356,1.2474861145019531,random_individual,0
thr_wing,0,Nesøy,4,4014,6,2449,0.23596016602877468,1.2856427431106567,random_individual,0
thr_wing,0,Nesøy,4,4014,7,2798,0.23469110303786253,1.2699612379074097,random_individual,0
thr_wing,0,Nesøy,4,4014,8,3853,0.19263504793720287,1.3302613496780396,random_individual,0
thr_wing,0,Nesøy,4,4014,9,4109,0.19949055896715406,1.3168072700500488,random_individual,0
thr_wing,0,Nesøy,4,4014,10,4282,0.2194905136587403,1.3189761638641357,random_individual,0
thr_wing,0,Nesøy,4,4014,11,4835,0.17855493744968115,1.3401696681976318,random_individual,0
thr_wing,0,Nesøy,4,4014,12,5232,0.20649691831545325,1.3297946453094482,random_individual,0
thr_wing,0,Nesøy,4,4014,13,5423,0.20510051272701776,1.3413300514221191,random_individual,0
thr_wing,0,Nesøy,4,4014,14,5515,0.183882281619034,1.3538943529129028,random_individual,0
thr_wing,0,Nesøy,4,4014,1,151,0.07488631805336622,1.396103024482727,random_individual,1
thr_wing,0,Nesøy,4,4014,2,437,0.018711761754081912,1.4029592275619507,random_individual,1
thr_wing,0,Nesøy,4,4014,3,597,0.11628855590589152,1.3863284587860107,random_individual,1
thr_wing,0,Nesøy,4,4014,4,1285,0.17786922276341188,1.3404310941696167,random_individual,1
thr_wing,0,Nesøy,4,4014,5,1866,0.24584862551883155,1.2929646968841553,random_individual,1
thr_wing,0,Nesøy,4,4014,6,2449,0.2773436803319831,1.2816883325576782,random_individual,1
thr_wing,0,Nesøy,4,4014,7,2798,0.273850877869613,1.300034999847412,random_individual,1
thr_wing,0,Nesøy,4,4014,8,3853,0.22592176058689847,1.3536094427108765,random_individual,1
thr_wing,0,Nesøy,4,4014,9,4109,0.2016021627132883,1.3538020849227905,random_individual,1
thr_wing,0,Nesøy,4,4014,10,4282,0.20664009886876494,1.3418543338775635,random_individual,1
thr_wing,0,Nesøy,4,4014,11,4835,0.1801321292763189,1.3342024087905884,random_individual,1
thr_wing,0,Nesøy,4,4014,12,5232,0.1931484209131922,1.338584542274475,random_individual,1
thr_wing,0,Nesøy,4,4014,13,5423,0.19276305107164263,1.344987392425537,random_individual,1
thr_wing,0,Nesøy,4,4014,14,5515,0.183882281619034,1.3538943529129028,random_individual,1
thr_wing,0,Nesøy,4,4014,1,151,-0.17661720972994965,1.4809194803237915,random_individual,2
thr_wing,0,Nesøy,4,4014,2,437,-0.05185913421835207,1.452452301979065,random_individual,2
thr_wing,0,Nesøy,4,4014,3,597,0.012410043043380312,1.4292882680892944,random_individual,2
thr_wing,0,Nesøy,4,4014,4,1285,-0.04219592382866038,1.4387023448944092,random_individual,2
thr_wing,0,Nesøy,4,4014,5,1866,0.05895993488669044,1.4274663925170898,random_individual,2
thr_wing,0,Nesøy,4,4014,6,2449,0.1303814278619131,1.408034086227417,random_individual,2
thr_wing,0,Nesøy,4,4014,7,2798,0.19128894343583636,1.3737176656723022,random_individual,2
thr_wing,0,Nesøy,4,4014,8,3853,0.22148407819815544,1.3524105548858643,random_individual,2
