target_island,target_island_name,v_full,n_permutations,n_truncated,n_utility_evals,cache_hit_rate,eps_trunc,use_truncation,min_prefix_islands,note,cap_per_island,n_train_seeds_per_eval,trait,repeat,split_seed
3,Selvær,0.5096038007535962,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,4,4014
3,Selvær,0.2550569973960758,50,0,556,0.20684736091298145,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,5,5014
3,Selvær,0.3674037969357897,50,0,545,0.2225392296718973,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,6,6014
3,Selvær,0.4896902426994783,50,0,548,0.21825962910128388,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,7,7014
3,Selvær,0.4077612810541515,50,0,542,0.2268188302425107,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,8,8014
3,Selvær,0.5974117971371979,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,9,9014
4,Gjerøy,0.4250880373083027,50,0,546,0.2211126961483595,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,0,14
4,Gjerøy,0.11632720349401805,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,1,1014
4,Gjerøy,0.2774578576175627,50,0,554,0.20970042796005706,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,2,2014
4,Gjerøy,0.13452108811081973,50,0,554,0.20970042796005706,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,3,3014
4,Gjerøy,0.05729979238613209,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,4,4014
4,Gjerøy,-0.08073369047081323,50,0,556,0.20684736091298145,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,5,5014
4,Gjerøy,0.16542828320085448,50,0,545,0.2225392296718973,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,6,6014
4,Gjerøy,0.22752866350603262,50,0,548,0.21825962910128388,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,7,7014
4,Gjerøy,0.24636844774833147,50,0,542,0.2268188302425107,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,8,8014
4,Gjerøy,-0.05130870527223213,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,9,9014
5,Hestmannøy,0.5388452893053469,50,0,546,0.2211126961483595,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,0,14
5,Hestmannøy,0.13101997624463232,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,1,1014
5,Hestmannøy,0.32315855999340243,50,0,554,0.20970042796005706,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,2,2014
5,Hestmannøy,0.15199975276032834,50,0,554,0.20970042796005706,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,3,3014
5,Hestmannøy,0.3443032666269815,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,4,4014
5,Hestmannøy,0.2694961836038995,50,0,556,0.20684736091298145,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,5,5014
5,Hestmannøy,0.331219430700451,50,0,545,0.2225392296718973,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,6,6014
5,Hestmannøy,0.36120166644318397,50,0,548,0.21825962910128388,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,7,7014
5,Hestmannøy,0.206878007329641,50,0,542,0.2268188302425107,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,8,8014
5,Hestmannøy,0.30205344404922396,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,9,9014
6,Indre Kvarøy,0.3539307759652076,50,0,546,0.2211126961483595,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,0,14
6,Indre Kvarøy,-0.021315242175112766,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,1,1014
6,Indre Kvarøy,0.33492231172646236,50,0,554,0.20970042796005706,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,2,2014
6,Indre Kvarøy,0.39656838583676624,50,0,554,0.20970042796005706,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,3,3014
6,Indre Kvarøy,0.29491267786519826,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,4,4014
6,Indre Kvarøy,0.4593995569615684,50,0,556,0.20684736091298145,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,5,5014
6,Indre Kvarøy,0.5501117834066617,50,0,545,0.2225392296718973,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,6,6014
6,Indre Kvarøy,0.31830278460185274,50,0,548,0.21825962910128388,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,7,7014
6,Indre Kvarøy,0.4009552446038068,50,0,542,0.2268188302425107,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,8,8014
6,Indre Kvarøy,0.37723334687633014,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,9,9014
7,Onøy og Lurøy,0.4902484092846198,50,0,546,0.2211126961483595,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,0,14
7,Onøy og Lurøy,0.4303814922663636,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,1,1014
7,Onøy og Lurøy,0.636651155121662,50,0,554,0.20970042796005706,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,2,2014
7,Onøy og Lurøy,0.01690734483694719,50,0,554,0.20970042796005706,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,3,3014
7,Onøy og Lurøy,0.43213831718948825,50,0,547,0.21968616262482168,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,4,4014
7,Onøy og Lurøy,0.31308316649936674,50,0,556,0.20684736091298145,0.005,False,3,Shapley values computed on cal set; curves evaluated on held-out test set,,1,thr_wing,5,5014
