n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples
6,9,2879,0.1545759386291205,1.315463304519653,random_individual,1,9,2879,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
5,10,3276,0.1513667890846187,1.3165998458862305,random_individual,1,10,3276,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
4,11,3532,0.162104517976473,1.310983419418335,random_individual,1,11,3532,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
3,12,3734,0.1714909415703616,1.306593418121338,random_individual,1,12,3734,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
2,13,4287,0.1544374370107739,1.3120810985565186,random_individual,1,13,4287,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
1,14,4405,0.1558388582345064,1.3118866682052612,random_individual,1,14,4405,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
0,15,4578,0.1589875083416715,1.3126864433288574,random_individual,1,15,4578,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
14,1,151,0.0020184299531496,1.3527559041976929,random_individual,2,1,151,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
13,2,311,0.0446241406157866,1.3411920070648191,random_individual,2,2,311,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
12,3,403,0.0327622524126219,1.3448071479797363,random_individual,2,3,403,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
11,4,689,0.0548725880625981,1.344418168067932,random_individual,2,4,689,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
10,5,1175,0.0901488176646686,1.3355828523635864,random_individual,2,5,1175,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
9,6,1366,0.1057258207719957,1.3328415155410769,random_individual,2,6,1366,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
8,7,1715,0.1667455341146791,1.3179737329483032,random_individual,2,7,1715,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
7,8,2296,0.1855261981402396,1.307702660560608,random_individual,2,8,2296,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
6,9,2879,0.1805832445908983,1.3024954795837402,random_individual,2,9,2879,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
5,10,3276,0.1739737746302506,1.306185960769653,random_individual,2,10,3276,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
4,11,3532,0.1726842650180081,1.3090251684188845,random_individual,2,11,3532,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
3,12,3734,0.1739745036770293,1.3086684942245483,random_individual,2,12,3734,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
2,13,4287,0.169432356191779,1.3083903789520264,random_individual,2,13,4287,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
1,14,4405,0.1687981458809755,1.3077303171157837,random_individual,2,14,4405,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
0,15,4578,0.1589875083416715,1.3126864433288574,random_individual,2,15,4578,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
14,1,151,0.0467109277874917,1.3442034721374512,random_individual,3,1,151,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
13,2,311,0.0711187199861903,1.3431240320205688,random_individual,3,2,311,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
12,3,403,0.0781246024985646,1.337001085281372,random_individual,3,3,403,5,Hestmannøy,0,1860596299,10,wing,0.0094786729857819,10
