target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
9,6,Indre Kvarøy,0.10459619497321454,0.00029380953644161386,356,1,3
9,14,Southern 4,0.09860709488681073,0.00020289525696874636,486,2,5
9,1,Myken,0.06782925610250845,0.0007372745228533527,92,3,1
9,12,Southern 2,0.05975960801585585,0.00015052797988880567,397,4,6
9,5,Hestmannøy,0.05956094307586133,5.525133866035374e-05,1078,5,7
9,3,Selvær,0.058935441973976814,0.0003037909380101898,194,6,2
9,0,Nesøy,0.027715133816131204,0.00023290028416916977,119,7,4
9,8,Lovund,0.007215553908182936,4.5668062710018585e-05,158,8,8
9,15,Southern 5,0.0017177372244379435,8.503649625930414e-06,202,9,9
9,11,Southern 1,-0.011414790423280167,-1.957940038298485e-05,583,10,10
9,4,Gjerøy,-0.015748806374104158,-2.8223667337104224e-05,558,11,11
9,2,Træna,-0.02067192854037284,-7.079427582319466e-05,292,12,12
9,13,Southern 3,-0.0486823109646216,-8.336012151476302e-05,584,13,13
9,10,Aldra,-0.059482443604996736,-0.0003438291537861083,173,14,14
9,7,Onøy og Lurøy,-0.18450561073045502,-0.0007123768754071623,259,15,15
