n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
2000,0.1869490567960212,0.9538580775260925,pevmean_ga,-1,53488.13498850303,3,Selvær,0,261820732,body_mass
3000,0.20037484256366683,0.9260522723197937,pevmean_ga,-1,51602.16298421482,3,Selvær,0,261820732,body_mass
3500,0.022723539289675358,1.398520588874817,pevmean_ga,-1,52770.880888703796,7,Onøy og Lurøy,0,546911525,body_mass
500,0.16971774158382158,0.9457902312278748,pevmean_ga,-1,64009.72623706792,11,Southern 1,0,707858893,body_mass
1500,0.1718520469009814,0.9508318305015564,pevmean_ga,-1,61971.3019847507,11,Southern 1,0,707858893,body_mass
5495,-0.05381223267962969,0.9647695422172546,pevmean_ga,-2,60230.983424185855,15,Southern 5,0,1988484267,body_mass
5495,-0.05381223267962969,0.9647695422172546,random_individual,-2,60230.983424185855,15,Southern 5,0,1988484267,body_mass
3000,0.01986875682211092,0.9154520034790039,pevmean_ga,-1,62000.05902128804,15,Southern 5,0,1988484267,body_mass
4500,-0.07692881956057827,0.9716861248016357,pevmean_ga,-1,60805.03021806051,15,Southern 5,0,1988484267,body_mass
