trait,fold,test_island_code,test_island,test_island_original_label,n_train,n_test,n_features_available,best_n_pcs,best_alpha,mean_inner_pearson_r,pearson_r,outer_pca_cumvar_at_best_r,fit_time_seconds,study_time_seconds,n_trials_completed,inner_top_k_requested,inner_top_k_used,n_inner_folds
thr_tarsus,1,0,Nesøy,20,5533,117,65344,3500,112786.34161889456,0.2826911637332495,0.30240514250234657,0.9265527725219727,0.37639571307227015,364.1606906536035,100,10,10,10
thr_tarsus,2,1,Myken,22,5558,92,65344,5000,150465.52996025747,0.27178274998758034,0.3437082561129884,0.9877876043319702,0.6671318970620632,425.31720532896,100,10,10,10
thr_tarsus,3,2,Træna,23,5364,286,65344,2000,226458.4835198525,0.2778493732697412,0.21633248780496697,0.7877806425094604,0.14540545921772718,235.74750573886558,100,10,10,10
thr_tarsus,4,3,Selvær,24,5456,194,65344,1000,154886.006306203,0.2712496069273718,0.23577195301396392,0.6038804650306702,0.079817408695817,189.03736375598237,100,10,10,10
thr_tarsus,5,4,Gjerøy,26,5095,555,65344,1000,249599.28360996745,0.2751684211149751,0.22704333706439095,0.6038804650306702,0.08136120392009616,97.17997892387211,100,10,10,10
thr_tarsus,6,5,Hestmannøy,27,4587,1063,65344,3000,156723.8229846129,0.2705921170193547,0.22193341605806025,0.8917708992958069,0.27609553886577487,346.0219758339226,100,10,10,10
thr_tarsus,7,6,Indre Kvarøy,28,5302,348,65344,3500,138064.26449912434,0.2660110987763388,0.3544066583698046,0.9265527725219727,0.38355960231274366,294.05217987205833,100,10,10,10
thr_tarsus,8,7,Onøy og Lurøy,33,5393,257,65344,4000,80461.58225149773,0.30354691912694703,0.21319837656673302,0.95331871509552,0.47421330120414495,238.3786956067197,100,10,10,10
thr_tarsus,9,8,Lovund,34,5498,152,65344,5000,110180.82135552034,0.2540670045994539,0.4356437885280031,0.9877876043319702,0.6978073711507022,159.57827330799773,100,10,10,10
thr_tarsus,10,9,Sleneset,35,5487,163,65344,1000,114590.26965859711,0.2812858948060244,0.24959409147131623,0.6038804650306702,0.07871815888211131,96.19379360880703,100,10,10,10
thr_tarsus,11,10,Aldra,38,5477,173,65344,3000,205399.5429268523,0.2828134687394891,0.20649290870024267,0.8917708992958069,0.3061859020963311,194.0524204382673,100,10,10,10
thr_tarsus,12,11,Leka,60,5067,583,65344,4000,156026.34200677826,0.22712023776840873,0.24032267466064217,0.95331871509552,0.4561713398434222,314.6608399976976,100,10,10,10
thr_tarsus,13,12,Vega,61,5254,396,65344,5000,333056.05981689965,0.2580275064224133,0.12451233657134961,0.9877876043319702,0.6877254089340568,209.36973749799654,100,10,10,10
thr_tarsus,14,13,Vikna,63,5067,583,65344,3500,196261.62941162483,0.26169467894729564,0.11452541786220005,0.9265527725219727,0.36419548466801643,215.0918070198968,100,10,10,10
thr_tarsus,15,14,Lauvøya,67,4962,688,65344,1000,239049.36871858966,0.24219016991073333,0.1525226457599387,0.6038804650306702,0.07172849075868726,71.78397101303563,100,10,10,10
