trait,method,n_train_size,pearson_r_mean,pearson_r_std,mse_adj_mean,mse_adj_std,n_evaluations,n_pcs,alpha,fit_time_total_seconds
thr_tarsus,avggrm_diversity_lam0p25,500,0.2170869977912602,0.06654386989022291,380.6964090983073,5.634791539941619,15,3500,156026.34,0.25339999998686835
thr_tarsus,avggrm_diversity_lam0p25,1000,0.22011587448936012,0.07469435241577974,380.249843343099,5.472733012718213,15,3500,156026.34,0.603979999985313
thr_tarsus,avggrm_diversity_lam0p25,1500,0.23416164079328816,0.07302014587817877,380.1665364583333,5.366386399938717,15,3500,156026.34,1.1424451999773737
thr_tarsus,avggrm_diversity_lam0p25,2000,0.23598691798400873,0.08039874256868872,380.2237060546875,5.34732389132295,15,3500,156026.34,1.785139000043273
thr_tarsus,avggrm_diversity_lam0p25,2500,0.24264389299726782,0.08324745708928992,380.2079305013021,5.362590073673373,15,3500,156026.34,2.9189991000457667
thr_tarsus,avggrm_diversity_lam0p25,3000,0.24610941495854247,0.08566794725627778,380.2035420735677,5.386399274939512,15,3500,156026.34,4.252935600001365
thr_tarsus,avggrm_diversity_lam0p25,3500,0.24236868110432577,0.08393608367193658,380.21484375,5.373645349968341,15,3500,156026.34,6.413200400042115
thr_tarsus,avggrm_diversity_lam0p25,4000,0.24712220670986784,0.08204107618702164,380.2226033528646,5.3710645286764205,15,3500,156026.34,6.910072099912213
thr_tarsus,avggrm_diversity_lam0p25,4500,0.25038794391067243,0.08421630011125232,380.2357137044271,5.369552387570832,15,3500,156026.34,7.296771999914199
thr_tarsus,avggrm_diversity_lam0p5,500,0.22106481228905225,0.06734245993907684,380.3114949544271,5.365145677812421,15,3500,156026.34,0.2667939999664668
thr_tarsus,avggrm_diversity_lam0p5,1000,0.2218277787083501,0.072479804666021,380.24615885416665,5.377005570173916,15,3500,156026.34,0.6423718999431003
thr_tarsus,avggrm_diversity_lam0p5,1500,0.2305602669598601,0.07507727083882658,380.180946858724,5.402597173431212,15,3500,156026.34,1.1776665999204852
thr_tarsus,avggrm_diversity_lam0p5,2000,0.23818412661762356,0.0793329074379486,380.2252136230469,5.393607119921612,15,3500,156026.34,1.8809017000021413
thr_tarsus,avggrm_diversity_lam0p5,2500,0.24197127414600866,0.08392655410030268,380.1987263997396,5.3901778907056315,15,3500,156026.34,3.0606638999306597
thr_tarsus,avggrm_diversity_lam0p5,3000,0.24801325328351206,0.08497266010453883,380.19720662434895,5.3960580131683535,15,3500,156026.34,4.415417100040941
thr_tarsus,avggrm_diversity_lam0p5,3500,0.24970152010080848,0.08689216428954066,380.21538899739585,5.389354915369417,15,3500,156026.34,6.431278200034285
thr_tarsus,avggrm_diversity_lam0p5,4000,0.24734273229849302,0.08339507465759664,380.21143798828126,5.379655952253978,15,3500,156026.34,6.8539626999991015
thr_tarsus,avggrm_diversity_lam0p5,4500,0.25035512746699307,0.08162274346580903,380.2317667643229,5.3701156518280415,15,3500,156026.34,7.327739200030919
thr_tarsus,avggrm_diversity_lam1,500,0.23074820707928662,0.074236917026176,380.5080261230469,5.431017050096214,15,3500,156026.34,0.262448299996322
thr_tarsus,avggrm_diversity_lam1,1000,0.22115660515605617,0.07114900667633493,380.256748453776,5.364514962638665,15,3500,156026.34,0.634816999983741
thr_tarsus,avggrm_diversity_lam1,1500,0.23474692131630798,0.06873839506414742,380.3116495768229,5.415008245904853,15,3500,156026.34,1.1723937000206206
thr_tarsus,avggrm_diversity_lam1,2000,0.2389153245715721,0.07436512897596197,380.2425964355469,5.424846004234564,15,3500,156026.34,1.8822748000384308
