target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
14,15,Southern 5,0.11746699356883854,0.0005815197701427651,202,1,1
14,5,Hestmannøy,0.08052093422520719,7.632316040303999e-05,1055,2,4
14,10,Aldra,0.028173170188185128,0.0001628506947293938,173,3,3
14,9,Sleneset,0.027053943170921708,0.00016908714481826068,160,4,2
14,12,Southern 2,0.017786220059822947,4.480156186353387e-05,397,5,5
14,6,Indre Kvarøy,0.015125822838566082,4.334046658614923e-05,349,6,6
14,8,Lovund,0.0006051803912529074,4.007817160615281e-06,151,7,7
14,11,Southern 1,-0.00544061114639636,-9.364218840613356e-06,581,8,8
14,7,Onøy og Lurøy,-0.006087591503910883,-2.3779654312151888e-05,256,9,9
14,2,Træna,-0.011670102284171174,-4.080455344115795e-05,286,10,10
14,0,Nesøy,-0.015241309986458357,-0.00012916364395303693,118,11,13
14,1,Myken,-0.028524027000998087,-0.0003100437717499792,92,12,15
14,3,Selvær,-0.040208954059795035,-0.00021051808408269651,191,13,14
14,13,Southern 3,-0.04154072521868508,-7.12533880251888e-05,583,14,11
14,4,Gjerøy,-0.06409272704356431,-0.00011590004890337126,553,15,12
