trait,fold,method,selection_method,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_selection,n_pcs_fit,alpha,pearson_r,mse_adj,pevmean_obj,ga_generations,ga_cache_size,ga_elapsed_sec,fit_time_seconds
body_mass,8,full_train_pc_ridge,full_train,-1,-1,5128,5128,569,4000,100,4000,62178.10809025701,0.25611733150417554,1.2905642986297607,0.01545784343034029,0,0,0.0,1.2139710981864482
body_mass,8,pevmean_ga_pc_ridge,pevmean_ga,0,8000514,500,5128,569,4000,100,4000,62178.10809025701,0.007147947459853453,1.4177030324935913,0.0413532555103302,300,26345,56.278404649114236,0.025731474859640002
body_mass,8,pevmean_ga_pc_ridge,pevmean_ga,0,8001014,1000,5128,569,4000,100,4000,62178.10809025701,0.11333232352403949,1.3827030658721924,0.03249356523156166,300,26550,69.54921383806504,0.07660572207532823
body_mass,8,pevmean_ga_pc_ridge,pevmean_ga,0,8001514,1500,5128,569,4000,100,4000,62178.10809025701,0.16553801383946717,1.3644018173217773,0.027676567435264587,300,26642,82.05865281191655,0.16123674204573035
body_mass,8,pevmean_ga_pc_ridge,pevmean_ga,0,8002014,2000,5128,569,4000,100,4000,62178.10809025701,0.22002998026789755,1.3315049409866333,0.024410519748926163,300,26647,94.82148512196727,0.2959263890516013
body_mass,8,pevmean_ga_pc_ridge,pevmean_ga,0,8002514,2500,5128,569,4000,100,4000,62178.10809025701,0.21585583154496604,1.3098582029342651,0.02193296328186989,300,26647,105.93892142898403,0.4490012479946017
body_mass,8,pevmean_ga_pc_ridge,pevmean_ga,0,8003014,3000,5128,569,4000,100,4000,62178.10809025701,0.19670457304658046,1.3355082273483276,0.019892601296305656,300,26646,118.72893562191166,0.5582259569782764
body_mass,8,pevmean_ga_pc_ridge,pevmean_ga,0,8003514,3500,5128,569,4000,100,4000,62178.10809025701,0.22863083167702467,1.3041988611221313,0.01840185560286045,300,26616,131.11874433304183,0.7839356709737331
body_mass,8,pevmean_ga_pc_ridge,pevmean_ga,0,8004014,4000,5128,569,4000,100,4000,62178.10809025701,0.24039937324695082,1.3028569221496582,0.01714598573744297,300,26673,143.36486699595116,1.026945390040055
body_mass,8,pevmean_ga_pc_ridge,pevmean_ga,0,8004514,4500,5128,569,4000,100,4000,62178.10809025701,0.2633842163166178,1.2821015119552612,0.016193212941288948,300,26493,147.32848570821807,1.2927231029607356
