n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
14,1,92,0.08189332942309548,0.5831485390663147,shapley_mean,-1,1,92,5
13,2,647,0.15968520825749358,0.5726379752159119,shapley_mean,-1,2,647,5
12,3,810,0.1758349029838129,0.5699397325515747,shapley_mean,-1,3,810,5
11,4,962,0.18059419185241438,0.5687791109085083,shapley_mean,-1,4,962,5
10,5,1310,0.2213955620996535,0.5615898370742798,shapley_mean,-1,5,1310,5
9,6,1596,0.2203314148269736,0.5611161589622498,shapley_mean,-1,6,1596,5
8,7,1769,0.21576498099308905,0.5617028474807739,shapley_mean,-1,7,1769,5
7,8,2352,0.20358492555554059,0.56217360496521,shapley_mean,-1,8,2352,5
6,9,2935,0.20333349264722805,0.5622281432151794,shapley_mean,-1,9,2935,5
5,10,3052,0.20929764574817158,0.5612952709197998,shapley_mean,-1,10,3052,5
4,11,3448,0.2065230153666557,0.5615114569664001,shapley_mean,-1,11,3448,5
3,12,3934,0.20938406126487574,0.5610666275024414,shapley_mean,-1,12,3934,5
2,13,4191,0.21851915868469918,0.5588663816452026,shapley_mean,-1,13,4191,5
1,14,4385,0.2191846950581124,0.5589637160301208,shapley_mean,-1,14,4385,5
0,15,4587,0.22115013507745163,0.5586390495300293,shapley_mean,-1,15,4587,5
14,1,92,0.0938901526453533,0.6366466879844666,random_individual,0,1,92,5
13,2,647,0.0731673276213083,0.5827540159225464,random_individual,0,2,647,5
12,3,810,0.07291786377894534,0.5809341669082642,random_individual,0,3,810,5
11,4,962,0.07981811905203907,0.5793296098709106,random_individual,0,4,962,5
10,5,1310,0.10722973317872413,0.576603353023529,random_individual,0,5,1310,5
9,6,1596,0.11293259839879728,0.5761878490447998,random_individual,0,6,1596,5
8,7,1769,0.13101715316799284,0.5742138624191284,random_individual,0,7,1769,5
7,8,2352,0.15556227622264826,0.5713425874710083,random_individual,0,8,2352,5
6,9,2935,0.18750148969285346,0.5665051937103271,random_individual,0,9,2935,5
5,10,3052,0.19299955910584574,0.5655319094657898,random_individual,0,10,3052,5
4,11,3448,0.19664224334803732,0.5643042922019958,random_individual,0,11,3448,5
3,12,3934,0.20466030773533916,0.5617944598197937,random_individual,0,12,3934,5
2,13,4191,0.208327551846866,0.5610710978507996,random_individual,0,13,4191,5
1,14,4385,0.21553658572102002,0.5598906874656677,random_individual,0,14,4385,5
0,15,4587,0.22115013507745163,0.5586390495300293,random_individual,0,15,4587,5
14,1,92,0.07647383310343844,0.581741988658905,random_individual,1,1,92,5
13,2,647,0.12394735231621662,0.5762835144996643,random_individual,1,2,647,5
12,3,810,0.11296133005384412,0.5767883658409119,random_individual,1,3,810,5
11,4,962,0.12834703475296816,0.5748413801193237,random_individual,1,4,962,5
10,5,1310,0.1725989918401981,0.5702446699142456,random_individual,1,5,1310,5
9,6,1596,0.17714112220910838,0.5683031678199768,random_individual,1,6,1596,5
8,7,1769,0.19099080921519576,0.5663582682609558,random_individual,1,7,1769,5
7,8,2352,0.18199603351582996,0.5657402276992798,random_individual,1,8,2352,5
6,9,2935,0.18183440304911072,0.5655537843704224,random_individual,1,9,2935,5
5,10,3052,0.1893956407007133,0.5644209980964661,random_individual,1,10,3052,5
4,11,3448,0.20370096172820565,0.5623055100440979,random_individual,1,11,3448,5
