trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,n_components,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30760,8L30760,11,Southern 1,2788,-0.008397075635543722,0.9504915944349985
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30761,8L30761,10,Aldra,1696,-0.0005101581433062112,1.0370616773930417
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30762,8L30762,12,Southern 2,2520,-0.006522153667237288,0.9703930835232888
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30763,8L30763,12,Southern 2,2432,-0.005660972311178406,0.9796732839409368
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30764,8L30764,12,Southern 2,2093,-0.002679374149196073,1.0124943218656646
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30765,8L30765,12,Southern 2,2656,-0.007615462465859081,0.9587379858515301
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30766,8L30766,12,Southern 2,3016,-0.009494645983293132,0.9390312988018895
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30767,8L30767,12,Southern 2,2919,-0.009088843008019373,0.9432523068604262
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30768,8L30768,12,Southern 2,2212,-0.0034191152186174383,1.0042501921076448
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30770,8L30770,12,Southern 2,2405,-0.005394948278902691,0.9825578955981626
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30771,8L30771,12,Southern 2,2935,-0.009146746128072198,0.9426488621239147
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30772,8L30772,12,Southern 2,2848,-0.00875373077356378,0.9467523167905472
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30777,8L30777,12,Southern 2,2594,-0.007088250638096803,0.9643406887193313
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30778,8L30778,12,Southern 2,2573,-0.006890775373380058,0.9664476852968156
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30779,8L30779,4,Gjerøy,1017,0.0022343761137184484,1.0690008186985756
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30780,8L30780,4,Gjerøy,1165,0.0016992821161972494,1.0626974723149762
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30781,8L30781,4,Gjerøy,254,0.006720824924382376,1.123343252475451
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30782,8L30782,4,Gjerøy,1874,-0.0013519270746385034,1.0274582675042285
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30807,8L30807,2,Træna,436,0.004978385845384212,1.1019172249473248
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30809,8L30809,3,Selvær,395,0.005165174605001007,1.1041943909326695
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30813,8L30813,9,Sleneset,1933,-0.0016639647492482405,1.0239209895707722
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30819,8L30819,3,Selvær,2071,-0.002514882125427546,1.0143367005056343
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30829,8L30829,3,Selvær,1012,0.0022491518418874664,1.069175404535989
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30832,8L30832,3,Selvær,1941,-0.0017033682630904327,1.0234751758263871
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30848,8L30848,3,Selvær,1650,-0.00032902288196182225,1.0391398853023914
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30851,8L30851,2,Træna,1030,0.0021908704279838377,1.0684869333121543
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30859,8L30859,9,Sleneset,2198,-0.00333393351163733,1.0051960792629027
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30876,8L30876,1,Myken,1373,0.0008559898016322018,1.0528389431232779
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30882,8L30882,4,Gjerøy,976,0.0024060301775540266,1.0710307940797406
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30899,8L30899,11,Southern 1,3243,-0.010303337888930682,0.9306758378561099
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30900,8L30900,11,Southern 1,2716,-0.007982353640180595,0.9548582371397014
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30917,8L30917,2,Træna,2638,-0.0074462883021668425,0.9605322511714633
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30920,8L30920,0,Nesøy,1082,0.0019874338717414,1.0660872347859829
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30922,8L30922,0,Nesøy,110,0.010210260453434242,1.1675120563312413
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30947,8L30947,2,Træna,2868,-0.008858063187232947,0.9456612486314342
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30963,8L30963,2,Træna,2290,-0.004058536520002313,0.9971781966832983
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30972,8L30972,9,Sleneset,2101,-0.002729043867087464,1.0119386585717047
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L30984,8L30984,9,Sleneset,2048,-0.0023368151693371896,1.0163349030758058
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48319,8L48319,4,Gjerøy,205,0.0075754886905151884,1.1340044784958998
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48323,8L48323,4,Gjerøy,443,0.0049593272195887165,1.1016851429600596
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48334,8L48334,6,Indre Kvarøy,584,0.004232230878186213,1.0928675052858763
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48344,8L48344,0,Nesøy,724,0.003470831263906022,1.0837095029555213
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48399,8L48399,0,Nesøy,277,0.006383486537910773,1.1191628747848723
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48415,8L48415,7,Onøy og Lurøy,806,0.0030366758292558922,1.0785219420314527
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48421,8L48421,7,Onøy og Lurøy,50,0.013535880942635886,1.211222621848926
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48425,8L48425,7,Onøy og Lurøy,236,0.007055175365622872,1.1275020106660982
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48435,8L48435,2,Træna,1865,-0.001312904184575469,1.0279014921442853
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48457,8L48457,10,Aldra,1729,-0.0006456532855799703,1.0355098272172603
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48459,8L48459,10,Aldra,2143,-0.003000170936359585,1.00891088664181
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48461,8L48461,10,Aldra,2355,-0.0048582850289326344,0.9884030397015412
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48463,8L48463,10,Aldra,2113,-0.0027733341499001506,1.0114434331055986
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48467,8L48467,10,Aldra,2173,-0.003174411916806678,1.0069698593957095
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48473,8L48473,4,Gjerøy,794,0.003107463098430544,1.0793660551668378
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48474,8L48474,4,Gjerøy,360,0.005455900818449615,1.1077480377282842
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48476,8L48476,4,Gjerøy,803,0.0030585138351355854,1.0787822820869513
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48478,8L48478,4,Gjerøy,1244,0.0013681953933892474,1.0588159357280327
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48479,8L48479,4,Gjerøy,1107,0.0018955034971264294,1.0650046104568163
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48480,8L48480,4,Gjerøy,953,0.002458189036347399,1.0716483863349977
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48501,8L48501,10,Aldra,2493,-0.006247485700090311,0.973343352947289
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48555,8L48555,3,Selvær,648,0.003896671970411143,1.0888219528903174
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48565,8L48565,2,Træna,1978,-0.001887638261806395,1.0213929088945515
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48566,8L48566,7,Onøy og Lurøy,224,0.007218638602910943,1.1295408190019947
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48567,8L48567,7,Onøy og Lurøy,1019,0.002229374473725223,1.0689417271894281
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48568,8L48568,7,Onøy og Lurøy,1254,0.0013361066756376317,1.0584404940848986
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48574,8L48574,3,Selvær,1331,0.0010154949438387075,1.0546966025985611
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48578,8L48578,8,Lovund,1692,-0.0004978132807630258,1.037203180863174
