analysis,method,selection_method,order_seed,weighted_fit_used,n_individuals,corr_eval,mse_adj,target_island,target_island_name,repeat,repeat_seed,trait,n_components,selection_n_components,avg_grm_obj,pca_dist_obj
full_baseline,full_source_unweighted,none,-2,False,5605,0.1674849498757644,5.761599197649175,1,Myken,0,2041129560,body_mass,500,,-0.0011549602703682,
ranked_subset,random_individual,random,0,False,500,0.0682132934606717,5.998543671724098,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,1000,0.0273492793063215,6.298648636390059,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,1500,0.1308190451413381,5.9215235056462845,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,2000,0.1071344118539502,5.938522411174363,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,2500,0.0672834201798909,6.1321442196413765,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,3000,0.1113745812115162,5.940239640871513,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,3500,0.1053229827522872,5.950390673224006,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,4000,0.11829344410732,5.909030305060577,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,0,False,4500,0.152859110278507,5.855932116026439,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,500,0.0397220732643595,5.9726381456540825,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,1000,0.1034663487664153,5.832357930808712,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,1500,0.177563857531998,5.756001413755477,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,2000,0.2776192433544723,5.593714539685277,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,2500,0.2246124343123882,5.669445688220899,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,3000,0.1762107278585944,5.766446362962791,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,3500,0.1688717021377518,5.787853949912778,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,4000,0.1872004347191002,5.718384765166633,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,1,False,4500,0.1760917745687294,5.736374942349999,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,500,0.191439779151311,5.7211994294792605,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,1000,0.2719588282495848,5.453622124322716,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,1500,0.2480986560629887,5.605153279488744,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,2000,0.1677120074595599,5.68931488833652,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,2500,0.1582517596989573,5.695391007469517,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,3000,0.1545951242480232,5.717993945088687,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,3500,0.1802547973310461,5.67728232581612,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,4000,0.198069086526061,5.661272101270445,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,2,False,4500,0.1705039747734396,5.740040232708676,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,500,-0.1060371638961663,6.222739201859632,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,1000,-0.060860277910982,6.181175225733768,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,1500,0.0559261930617097,5.903268817905772,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,2000,0.0929656800502735,5.93738098268955,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,2500,0.0807342812364795,6.001323250452177,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,3000,0.0852991858101718,5.960020078265956,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,3500,0.1792075140328514,5.726483467382155,1,Myken,0,2041129560,body_mass,500,,,
ranked_subset,random_individual,random,3,False,4000,0.1961014892832658,5.685180590879978,1,Myken,0,2041129560,body_mass,500,,,
