n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,396,0.09438721511263284,0.5597224235534668,shapley_mean,-1,14
2,559,0.10236103811156433,0.557475209236145,shapley_mean,-1,14
3,1142,0.13434085231685844,0.5547616481781006,shapley_mean,-1,14
4,1344,0.11512939687650563,0.5558362007141113,shapley_mean,-1,14
5,1461,0.1323356717626456,0.5539658665657043,shapley_mean,-1,14
6,1747,0.1223961281427062,0.5550276637077332,shapley_mean,-1,14
7,2330,0.09276863215068522,0.5576891303062439,shapley_mean,-1,14
8,2587,0.10574571900354292,0.5562961101531982,shapley_mean,-1,14
9,2760,0.10994162003343556,0.5557582974433899,shapley_mean,-1,14
10,2912,0.12102825685204618,0.5544215440750122,shapley_mean,-1,14
11,3467,0.08638679207228485,0.5588982701301575,shapley_mean,-1,14
12,4530,0.10565627391642676,0.5567425489425659,shapley_mean,-1,14
13,4622,0.09684775100174592,0.5580169558525085,shapley_mean,-1,14
14,4816,0.09154753730426293,0.558715283870697,shapley_mean,-1,14
15,5164,0.08920533781741008,0.5590633749961853,shapley_mean,-1,14
1,396,0.11593382390791414,0.5673273801803589,random_individual,0,14
2,559,0.18280505143439724,0.5608522295951843,random_individual,0,14
3,1142,0.14653214899356587,0.5613288879394531,random_individual,0,14
4,1344,0.10577328780610037,0.5598845481872559,random_individual,0,14
5,1461,0.11234952098254715,0.5582046508789062,random_individual,0,14
6,1747,0.09764617033294161,0.5579728484153748,random_individual,0,14
7,2330,0.12222562799403351,0.5554190278053284,random_individual,0,14
8,2587,0.10356363588118127,0.557288646697998,random_individual,0,14
9,2760,0.08616912605752142,0.5587849617004395,random_individual,0,14
10,2912,0.08191001370733454,0.559457004070282,random_individual,0,14
11,3467,0.07266403981174413,0.561223566532135,random_individual,0,14
12,4530,0.0653787634010959,0.5630314350128174,random_individual,0,14
13,4622,0.06598858124061459,0.5629099607467651,random_individual,0,14
14,4816,0.08920404600858467,0.5593825578689575,random_individual,0,14
15,5164,0.08920533781741008,0.5590633749961853,random_individual,0,14
1,396,0.06564707927042346,0.5648354291915894,random_individual,1,14
2,559,0.15378514229921375,0.5565965175628662,random_individual,1,14
3,1142,0.1487091321035447,0.5536493062973022,random_individual,1,14
4,1344,0.11964843954310478,0.5569252967834473,random_individual,1,14
5,1461,0.10674677953331405,0.5578688383102417,random_individual,1,14
6,1747,0.09156471208673206,0.5588263273239136,random_individual,1,14
7,2330,0.12105872681976443,0.5565400123596191,random_individual,1,14
8,2587,0.12926979707678948,0.5555281639099121,random_individual,1,14
9,2760,0.12077327932844416,0.556583046913147,random_individual,1,14
10,2912,0.12125093010390776,0.5560476183891296,random_individual,1,14
11,3467,0.11820058223212748,0.5561821460723877,random_individual,1,14
12,4530,0.11113016493255112,0.5562138557434082,random_individual,1,14
13,4622,0.11199883617606679,0.5560605525970459,random_individual,1,14
14,4816,0.11009966506961599,0.5561701059341431,random_individual,1,14
15,5164,0.08920533781741008,0.5590633749961853,random_individual,1,14
1,396,0.014110413797760499,0.5651255249977112,random_individual,2,14
2,559,0.05912345552005749,0.563750147819519,random_individual,2,14
3,1142,0.08480300065512653,0.5613924264907837,random_individual,2,14
4,1344,0.12262897963659852,0.55622398853302,random_individual,2,14
5,1461,0.12814534584320547,0.555086612701416,random_individual,2,14
6,1747,0.11942544354786924,0.5561558604240417,random_individual,2,14
7,2330,0.09729556454711535,0.5573070049285889,random_individual,2,14
8,2587,0.10047867162336792,0.5565720796585083,random_individual,2,14
9,2760,0.10557665385511643,0.5559868812561035,random_individual,2,14
10,2912,0.09805672380406757,0.5570386052131653,random_individual,2,14
11,3467,0.08577939909435427,0.5587323307991028,random_individual,2,14
12,4530,0.10965027939917078,0.5556516647338867,random_individual,2,14
13,4622,0.11139479220830041,0.5555092692375183,random_individual,2,14
14,4816,0.10944034990517928,0.555985689163208,random_individual,2,14
15,5164,0.08920533781741008,0.5590633749961853,random_individual,2,14
1,396,0.1511752008102339,0.5577283501625061,random_individual,3,14
2,559,0.1454570291864656,0.5603083372116089,random_individual,3,14
3,1142,0.16517782581781634,0.553848922252655,random_individual,3,14
4,1344,0.18238794235157957,0.5508233308792114,random_individual,3,14
5,1461,0.16416722384360943,0.5521205067634583,random_individual,3,14
6,1747,0.17335338011133244,0.5512906312942505,random_individual,3,14
7,2330,0.1492415576970214,0.553188681602478,random_individual,3,14
8,2587,0.1411171497063953,0.5537417531013489,random_individual,3,14
9,2760,0.15014645248080014,0.5527575612068176,random_individual,3,14
10,2912,0.12748818337963802,0.5549182891845703,random_individual,3,14
11,3467,0.15317060456833897,0.5513077974319458,random_individual,3,14
12,4530,0.1087364311715081,0.5567449927330017,random_individual,3,14
13,4622,0.10512133207043758,0.5569697022438049,random_individual,3,14
14,4816,0.09739846655539734,0.5579723119735718,random_individual,3,14
15,5164,0.08920533781741008,0.5590633749961853,random_individual,3,14
1,396,0.03942491667887648,0.561648964881897,random_individual,4,14
2,559,0.03490225512840337,0.5627159476280212,random_individual,4,14
3,1142,0.11416191852442216,0.5565026998519897,random_individual,4,14
4,1344,0.07874608670284428,0.5595501661300659,random_individual,4,14
5,1461,0.07902566835621308,0.5597043633460999,random_individual,4,14
6,1747,0.11624910854371275,0.5573945045471191,random_individual,4,14
7,2330,0.08966177434916972,0.5596816539764404,random_individual,4,14
8,2587,0.10456283928791231,0.5555270910263062,random_individual,4,14
9,2760,0.09576096948331386,0.5565944314002991,random_individual,4,14
10,2912,0.10049361719816577,0.5564320683479309,random_individual,4,14
11,3467,0.10142153161199148,0.5565717220306396,random_individual,4,14
12,4530,0.10179561157058872,0.5569478273391724,random_individual,4,14
13,4622,0.09314108049699925,0.5582663416862488,random_individual,4,14
14,4816,0.09605037231052672,0.5580571889877319,random_individual,4,14
15,5164,0.08920533781741008,0.5590633749961853,random_individual,4,14
