trait,target_island,method,n_train_size,n_cal_samples,corr_test_mean,corr_test_std,corr_cal_mean,mse_test_mean,n_rows
body_mass,3,all_individuals,5503,25,0.2190470270433011,,0.2387004083495123,0.7793815732002258,1
body_mass,3,all_individuals,5503,50,0.1835464059999177,,0.306850743627125,0.838283896446228,1
body_mass,3,all_individuals,5503,100,0.2258422095763242,,0.2108321955295112,0.9136141538619996,1
body_mass,3,calibration_ga,500,25,0.1435962225675117,,0.9943693123906776,0.7890095710754395,1
body_mass,3,calibration_ga,500,50,0.1307063679048242,,0.8745533794919612,0.8491678833961487,1
body_mass,3,calibration_ga,500,100,-0.0020349110809457,,0.7760421966681115,0.946664035320282,1
body_mass,3,calibration_ga,1000,25,0.054886101630738,,0.993020787924621,0.8007882833480835,1
body_mass,3,calibration_ga,1000,50,0.0497096223761516,,0.9399459718486408,0.854407548904419,1
body_mass,3,calibration_ga,1000,100,0.1813256367159904,,0.7419837015493151,0.9260058403015136,1
body_mass,3,calibration_ga,2000,25,0.1232903760370375,,0.9852906447286952,0.792962908744812,1
body_mass,3,calibration_ga,2000,50,0.0224089745087153,,0.8948211350866376,0.8622474670410156,1
body_mass,3,calibration_ga,2000,100,0.1762949934921983,,0.7348917297489567,0.9211838245391846,1
body_mass,3,calibration_ga,3000,25,0.1839597506425127,,0.9803621404455324,0.7800913453102112,1
body_mass,3,calibration_ga,3000,50,0.0234759299139038,,0.8766646591137732,0.8614051938056946,1
body_mass,3,calibration_ga,3000,100,0.1975859367433267,,0.6603833536416348,0.9141717553138732,1
body_mass,3,calibration_ga,4000,25,0.2136853203849577,,0.9468435801561206,0.7755963802337646,1
body_mass,3,calibration_ga,4000,50,0.0742895380006302,,0.79794076328628,0.8562625050544739,1
body_mass,3,calibration_ga,4000,100,0.2688193398272011,,0.5141415622171442,0.8989652991294861,1
body_mass,3,pevmean_ga,500,25,0.2375488586400525,,-0.2054325722691221,0.776000440120697,1
body_mass,3,pevmean_ga,500,50,0.2010204128168664,,0.1069528416324654,0.841343104839325,1
body_mass,3,pevmean_ga,500,100,0.1191755872488599,,0.22216893497724,0.9396398067474364,1
body_mass,3,pevmean_ga,1000,25,0.2500244995581338,,0.1886976903966356,0.7646632194519043,1
body_mass,3,pevmean_ga,1000,50,0.2785544019169521,,0.1539923899553619,0.808788537979126,1
body_mass,3,pevmean_ga,1000,100,0.1819454898228232,,0.2960746822980523,0.9175925850868224,1
body_mass,3,pevmean_ga,2000,25,0.2615402147369143,,0.1407727327928714,0.7682018280029297,1
body_mass,3,pevmean_ga,2000,50,0.2459108848156842,,0.2363692463088156,0.830283522605896,1
body_mass,3,pevmean_ga,2000,100,0.1902597407528174,,0.2906164438844016,0.932208776473999,1
body_mass,3,pevmean_ga,3000,25,0.2078052241385899,,0.1861873304911145,0.7783864736557007,1
body_mass,3,pevmean_ga,3000,50,0.1909372812706699,,0.2280137146261349,0.8320515155792236,1
body_mass,3,pevmean_ga,3000,100,0.1838424668999382,,0.2205420444995278,0.928501307964325,1
body_mass,3,pevmean_ga,4000,25,0.2123389305222045,,0.228023363384068,0.7838038802146912,1
body_mass,3,pevmean_ga,4000,50,0.1743489198957213,,0.2909493572825044,0.8407819867134094,1
body_mass,3,pevmean_ga,4000,100,0.2386099319684163,,0.1805143041409418,0.9069523215293884,1
body_mass,3,random,500,25,0.09927951349010766,0.053228406767440666,0.14356068983032644,0.7937114000320434,5
body_mass,3,random,500,50,0.10156352296858748,0.082715878351533,0.19167784703029284,0.8547277569770813,5
body_mass,3,random,500,100,-0.007535937834755179,0.11780238228351742,0.06846076224761946,0.9462133765220642,5
body_mass,3,random,1000,25,0.0742789803489426,0.036043939867305766,0.006597377788412418,0.7949715971946716,5
body_mass,3,random,1000,50,0.027526944506117118,0.0687581971745988,0.20095571367703907,0.8590638518333436,5
body_mass,3,random,1000,100,0.09539531892953473,0.03776440121383096,0.10179225551865316,0.9367969632148743,5
body_mass,3,random,2000,25,0.1791736579570366,0.040519937243505215,0.05576301676410746,0.7792695879936218,5
body_mass,3,random,2000,50,0.15315293212617287,0.05366018780852577,0.23572606857262418,0.8392085433006287,5
body_mass,3,random,2000,100,0.17459495233809683,0.048587466275540094,0.1181525138605936,0.9239637017250061,5
body_mass,3,random,3000,25,0.19866994018600914,0.034149356518010356,0.08934940347708734,0.774563193321228,5
body_mass,3,random,3000,50,0.128532445734157,0.04681045617892629,0.30411914407438767,0.8473123550415039,5
body_mass,3,random,3000,100,0.175032179368756,0.05289873714994918,0.15955851534397153,0.9263262987136841,5
body_mass,3,random,4000,25,0.20564240118244181,0.02813416293968144,0.22035658283069756,0.7800882935523987,5
body_mass,3,random,4000,50,0.1766615764345089,0.011047899643970282,0.26327209193905504,0.8372282385826111,5
body_mass,3,random,4000,100,0.20169426602054394,0.020653896858206722,0.20425163178285072,0.9161498069763183,5
