trait,trait_label,mean_r,sd_r,median_n_pcs,median_alpha,median_ess,median_ess_ratio,min_ess_ratio,median_top10_weight_share,modal_weight_scheme
body_mass,Body mass,0.18445225698398454,0.09785627442143166,2500.0,174014.29822887466,5074.131174457075,0.9578911427119147,0.7771192502871999,0.14887877849601114,exponential
thr_tarsus,Tarsus length,0.2437004283049191,0.08859016387966111,2000.0,136493.1446772981,4843.760995102036,0.932719814822051,0.642693872239985,0.14726234616742387,exponential
thr_wing,Wing length,0.1982386196972604,0.11195555055782933,4000.0,110571.43779071631,3775.4138526443803,0.7185911781552808,0.26503087622723764,0.23440738941497263,exponential
