trait,trait_label,fold,test_island_code,test_island,pearson_r,mean_inner_r,alpha,log10_alpha,n_pcs,num_snps,weight_scheme,weight_clip_max,weight_beta,inner_validation_top_k_used,inner_validation_n_samples,top_inner_avg_grm,n_train,n_test,kish_ess,ess_ratio,ess_loss_pct,max_weight,p95_weight,p99_weight,weight_cv,top10_weight_share,top20_weight_share,avg_grm_mean,avg_grm_sd,avg_grm_p95
body_mass,Body mass,1,0,Nesøy,0.24777856609622276,0.21979449939130022,151254.046154996,5.179707001171012,2500,2500,exponential,20.0,1.8985537458664257,10,3326,0.006709758384866434,5578,119,5366.215496138707,0.9620321793005928,3.7967820699407184,4.984598697670602,1.204441272180658,1.5444637295572547,0.1986611912817724,0.133757187961191,0.24536041103133518,-0.0012997164876513844,0.007798381025548841,0.008851163176672922
body_mass,Body mass,2,1,Myken,0.3110062488990608,0.20130344984489054,946316.5388110757,5.976036430339061,2500,2500,exponential,20.0,3.0569727251997962,10,3353,0.021172577363718248,5605,92,4773.243893460409,0.851604619707477,14.839538029252298,12.897448408862509,1.5158466160409754,2.7445736410414785,0.41743723605303523,0.18177700530033486,0.2969700887869995,-0.0011549602703682994,0.010022863807110437,0.01642718825398405
body_mass,Body mass,3,2,Træna,0.1803187094194085,0.2115998521913598,118674.12929087426,5.0743560539943084,2500,2500,exponential,10.0,0.5590229176077356,10,3377,0.01955742013566733,5405,292,5372.646962424274,0.9940142391164244,0.5985760883575608,1.5804653744659092,1.139989357738056,1.33322264847453,0.07760029622511007,0.1181061715271072,0.22366471900904378,-0.001574253647153556,0.008398106853235176,0.014094923219019203
body_mass,Body mass,4,3,Selvær,0.20713787604422085,0.2071138500166385,144189.78883664033,5.158934505813904,2000,2000,linear,,,10,3475,0.021172577363718248,5503,194,5273.985320946985,0.958383667262763,4.161633273723697,2.2321777086035324,1.470685285844866,1.765660649221297,0.20838295949018468,0.1498997699649662,0.2638724349517222,-0.001113041352838955,0.008657127435654704,0.018441256712682562
body_mass,Body mass,5,4,Gjerøy,0.10408512595865221,0.22254022900259315,366955.1107030359,5.564612940638103,1000,1000,linear,5.0,,10,2887,0.004662839239021407,5139,558,4922.602582396529,0.9578911427119147,4.210885728808533,2.528092650169179,1.3277916440362456,1.5095540341941998,0.2096663087211713,0.13763672824027315,0.2598399194583625,-0.0036667255796769163,0.007840646774660488,0.00859131679369906
body_mass,Body mass,6,5,Hestmannøy,0.16654060222737604,0.1955279618837979,80816.35739208916,4.907499271741787,1000,1000,exponential,20.0,2.295757100096922,10,2367,0.004662839239021405,4619,1078,3930.040340554688,0.8508422473597507,14.915775264024933,4.883199758085241,1.6414631095380152,2.3109652051514207,0.41869559576069476,0.1828892530807805,0.32090041673767095,-0.0040973080180038545,0.007250923991823479,0.0070842181527806395
body_mass,Body mass,7,6,Indre Kvarøy,0.2465437060780385,0.21027035693385132,318341.3823347046,5.502893097783522,2500,2500,exponential,10.0,2.2877365814187325,10,3089,0.004430847037161113,5341,356,4935.908097594911,0.9241542964978302,7.584570350216979,6.622241705999512,1.3282205847660122,2.0384841277798955,0.2864793011123584,0.15261270940411445,0.26749171099133423,-0.002539627952297367,0.008690311772908452,0.010185173309442143
body_mass,Body mass,8,7,Onøy og Lurøy,-0.019505068415889986,0.25588613754918554,79431.68878382196,4.899993796109737,2500,2500,linear,,,10,3186,0.009088772220621457,5438,259,5295.559955556387,0.973806538351671,2.619346164832903,2.7364180722696725,1.246989190341124,1.4929914425656758,0.16400613933519212,0.1304858481834863,0.2446115797089858,-0.0019440042733724185,0.007413031601246238,0.009219838010744424
body_mass,Body mass,9,8,Lovund,0.3917586958919526,0.18214269100554725,174014.29822887466,5.240584934413522,2500,2500,linear,10.0,,10,3511,0.02253442554417144,5539,158,5305.803765570052,0.957899217470672,4.210078252932803,2.152937429378142,1.443379877408317,1.7655372362688333,0.20964532141627298,0.14887877849601114,0.2670218657248207,-0.0007632773359394645,0.008232656162035156,0.016648005945790096
body_mass,Body mass,10,9,Sleneset,0.14645803211608927,0.2058280732755604,235905.30941036655,5.372737715458193,1500,1500,exponential,,1.6934897046906698,10,3503,0.022534425544171444,5531,166,5210.596184825535,0.9420712682743689,5.792873172563107,4.223370087218688,1.3335300031617807,2.13117261922705,0.24797341944833506,0.1528536532960782,0.26235080582774206,-0.0015718369968423813,0.010092260394841918,0.015980591660874434
