trait,target_island,target_island_name,analysis,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
wing,2,Træna,ranked_subset,avggrm_topk,50,0.1874261179177656,,1.277955174446106,1
wing,2,Træna,ranked_subset,avggrm_topk,100,0.2292375798370552,,1.2157223224639893,1
wing,2,Træna,ranked_subset,avggrm_topk,250,0.2505993372385677,,1.1930996179580688,1
wing,2,Træna,ranked_subset,avggrm_topk,500,0.2979142428233567,,1.1722743511199951,1
wing,2,Træna,ranked_subset,avggrm_topk,1000,0.325953552870575,,1.1541128158569336,1
wing,2,Træna,ranked_subset,avggrm_topk,1500,0.3122543327570928,,1.14702570438385,1
wing,2,Træna,ranked_subset,avggrm_topk,2000,0.2938079090900953,,1.1477118730545044,1
wing,2,Træna,ranked_subset,avggrm_topk,2500,0.2793675692678103,,1.1494022607803345,1
wing,2,Træna,ranked_subset,avggrm_topk,3000,0.2783003427653574,,1.1445724964141846,1
wing,2,Træna,ranked_subset,avggrm_topk,3500,0.2843510667833848,,1.1400660276412964,1
wing,2,Træna,ranked_subset,avggrm_topk,4000,0.2743910628002792,,1.1410356760025024,1
wing,2,Træna,ranked_subset,avggrm_topk,4500,0.2794411309913078,,1.1396592855453491,1
wing,2,Træna,ranked_subset,random_individual,50,0.06336922064895145,0.05163768138615261,1.2681734919548036,10
wing,2,Træna,ranked_subset,random_individual,100,0.10522301864325687,0.06169134972144862,1.2546629309654236,10
wing,2,Træna,ranked_subset,random_individual,250,0.10049184382938026,0.05937311719576474,1.2503408670425415,10
wing,2,Træna,ranked_subset,random_individual,500,0.13232320197332237,0.06378612516635275,1.239504623413086,10
wing,2,Træna,ranked_subset,random_individual,1000,0.19111715438840277,0.047871637363236325,1.223055124282837,10
wing,2,Træna,ranked_subset,random_individual,1500,0.19658077530028187,0.03726793692693976,1.2141194224357605,10
wing,2,Træna,ranked_subset,random_individual,2000,0.23040879417194712,0.026889226342401318,1.1948126673698425,10
wing,2,Træna,ranked_subset,random_individual,2500,0.23251562533661882,0.02715643997897058,1.186100995540619,10
wing,2,Træna,ranked_subset,random_individual,3000,0.2412773987706962,0.016527879743479943,1.1782832264900207,10
wing,2,Træna,ranked_subset,random_individual,3500,0.25593324469387396,0.01957319317061795,1.168386733531952,10
wing,2,Træna,ranked_subset,random_individual,4000,0.2677307678276419,0.01994396011458177,1.1570278763771058,10
wing,2,Træna,ranked_subset,random_individual,4500,0.2746095139526318,0.0074910781736447435,1.1494147419929504,10
wing,2,Træna,weighted_full,avggrm_weight_exponential,5347,0.3031483187607515,,1.1083139181137085,1
wing,2,Træna,weighted_full,avggrm_weight_linear,5347,0.304733818820937,,1.1072731018066406,1
wing,2,Træna,weighted_full,avggrm_weight_minmax,5347,0.3079845619982599,,1.0990912914276123,1
wing,2,Træna,weighted_full,avggrm_weight_top-heavy,5347,0.3171277375332979,,1.1046652793884275,1
wing,2,Træna,weighted_full,avggrm_weight_uniform,5347,0.2813939100215424,,1.138403296470642,1
wing,3,Selvær,full_baseline,full_source_unweighted,5442,0.3087944280625718,,1.1360397338867188,1
wing,3,Selvær,ranked_subset,avggrm_topk,50,0.2162036256614572,,1.2419536113739014,1
wing,3,Selvær,ranked_subset,avggrm_topk,100,0.3096655907842503,,1.2149901390075684,1
wing,3,Selvær,ranked_subset,avggrm_topk,250,0.3070189731495646,,1.1807034015655518,1
wing,3,Selvær,ranked_subset,avggrm_topk,500,0.3671723108340975,,1.1434545516967771,1
wing,3,Selvær,ranked_subset,avggrm_topk,1000,0.3518684148024846,,1.1283875703811646,1
wing,3,Selvær,ranked_subset,avggrm_topk,1500,0.3295500489536305,,1.123839020729065,1
wing,3,Selvær,ranked_subset,avggrm_topk,2000,0.331040874606847,,1.1251715421676636,1
wing,3,Selvær,ranked_subset,avggrm_topk,2500,0.3291171931877246,,1.126450538635254,1
wing,3,Selvær,ranked_subset,avggrm_topk,3000,0.3340275500910528,,1.1238205432891846,1
wing,3,Selvær,ranked_subset,avggrm_topk,3500,0.3498521254315043,,1.1199547052383425,1
wing,3,Selvær,ranked_subset,avggrm_topk,4000,0.312922188766965,,1.134331226348877,1
wing,3,Selvær,ranked_subset,avggrm_topk,4500,0.2960724591664254,,1.137971043586731,1
wing,3,Selvær,ranked_subset,random_individual,50,-0.003634164628103421,0.05390380039149361,1.2727598905563355,10
wing,3,Selvær,ranked_subset,random_individual,100,0.053426243505592316,0.06739188736992421,1.2620347738265991,10
wing,3,Selvær,ranked_subset,random_individual,250,0.05426515384283479,0.06089882447402291,1.2594858169555665,10
wing,3,Selvær,ranked_subset,random_individual,500,0.06589261400253424,0.06303525237793506,1.2504515171051025,10
wing,3,Selvær,ranked_subset,random_individual,1000,0.1479143004826461,0.09018702917129488,1.2305176973342895,10
wing,3,Selvær,ranked_subset,random_individual,1500,0.1864775560021539,0.07286731571951201,1.214835512638092,10
wing,3,Selvær,ranked_subset,random_individual,2000,0.22047309588587244,0.06740320299772697,1.2038564085960388,10
wing,3,Selvær,ranked_subset,random_individual,2500,0.23856442414536155,0.05424312866862111,1.192562174797058,10
wing,3,Selvær,ranked_subset,random_individual,3000,0.24925846197764628,0.07365432490458924,1.1809125304222108,10
wing,3,Selvær,ranked_subset,random_individual,3500,0.26811340734573086,0.07582383299158094,1.16920006275177,10
wing,3,Selvær,ranked_subset,random_individual,4000,0.30761153725003154,0.04723026003409588,1.1510843753814697,10
wing,3,Selvær,ranked_subset,random_individual,4500,0.3092397361506304,0.03615521949602319,1.1445596098899842,10
wing,3,Selvær,weighted_full,avggrm_weight_exponential,5442,0.3603294746584009,,1.074405312538147,1
wing,3,Selvær,weighted_full,avggrm_weight_linear,5442,0.3557547199980383,,1.078057050704956,1
wing,3,Selvær,weighted_full,avggrm_weight_minmax,5442,0.3632878195642973,,1.060387372970581,1
wing,3,Selvær,weighted_full,avggrm_weight_top-heavy,5442,0.3437958541858001,,1.0792592763900757,1
wing,3,Selvær,weighted_full,avggrm_weight_uniform,5442,0.3087944280625718,,1.1360397338867188,1
wing,4,Gjerøy,full_baseline,full_source_unweighted,5080,0.0909943159876001,,1.2128056287765503,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,50,0.10945939124548,,1.2042492628097534,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,100,0.1081515443212781,,1.201849341392517,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,250,0.1335559063704781,,1.1868152618408203,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,500,0.1383567431592043,,1.1885604858398438,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,1000,0.1257718674364727,,1.1939555406570437,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,1500,0.0994488113620643,,1.202973484992981,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,2000,0.0990600299360108,,1.2045551538467407,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,2500,0.0948995340939973,,1.2056763172149658,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,3000,0.1018549829127625,,1.20719313621521,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,3500,0.1132264884157123,,1.2001965045928955,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,4000,0.1044004302516742,,1.2066326141357422,1
wing,4,Gjerøy,ranked_subset,avggrm_topk,4500,0.1027019078294878,,1.2078849077224731,1
wing,4,Gjerøy,ranked_subset,random_individual,50,0.004252853385943131,0.026417225626686164,1.2407927870750428,10
wing,4,Gjerøy,ranked_subset,random_individual,100,0.007217018959281718,0.04407903448349659,1.2316986560821532,10
wing,4,Gjerøy,ranked_subset,random_individual,250,0.05168234271751976,0.03744154207680423,1.2249805688858033,10
wing,4,Gjerøy,ranked_subset,random_individual,500,0.07078520855182234,0.04067234545604473,1.2169283986091615,10
wing,4,Gjerøy,ranked_subset,random_individual,1000,0.07551022128355982,0.03464051180169903,1.215627098083496,10
wing,4,Gjerøy,ranked_subset,random_individual,1500,0.07645112148766185,0.03405190577646084,1.2154147148132324,10
wing,4,Gjerøy,ranked_subset,random_individual,2000,0.08695462151975127,0.03431888622178265,1.2139457941055298,10
wing,4,Gjerøy,ranked_subset,random_individual,2500,0.09170641496963988,0.03013943241844833,1.2126405358314514,10
wing,4,Gjerøy,ranked_subset,random_individual,3000,0.0993773243808114,0.026854771487217946,1.212919497489929,10
wing,4,Gjerøy,ranked_subset,random_individual,3500,0.09236654315065326,0.015430613798689721,1.2140541911125182,10
wing,4,Gjerøy,ranked_subset,random_individual,4000,0.09062813168554355,0.016981119239535873,1.2148849606513976,10
wing,4,Gjerøy,ranked_subset,random_individual,4500,0.09096483218722726,0.011087274147077992,1.213217294216156,10
wing,4,Gjerøy,weighted_full,avggrm_weight_exponential,5080,0.0876072579170575,,1.2120622396469116,1
wing,4,Gjerøy,weighted_full,avggrm_weight_linear,5080,0.0902254985627637,,1.2106817960739136,1
wing,4,Gjerøy,weighted_full,avggrm_weight_minmax,5080,0.0886187260341091,,1.211090087890625,1
wing,4,Gjerøy,weighted_full,avggrm_weight_top-heavy,5080,0.0968021373425081,,1.2074100971221924,1
wing,4,Gjerøy,weighted_full,avggrm_weight_uniform,5080,0.0909943159876001,,1.2128056287765503,1
wing,5,Hestmannøy,full_baseline,full_source_unweighted,4578,0.1527326962523814,,1.2981808185577393,1
wing,5,Hestmannøy,ranked_subset,avggrm_topk,50,0.1066931793981268,,1.356393575668335,1
