target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
0,6,Indre Kvarøy,0.09647471523843705,0.0002709963911192052,356,1,2
0,1,Myken,0.06994206015311648,0.0007602397842730052,92,2,1
0,2,Træna,0.05076734159025364,0.00017386075887073163,292,3,4
0,9,Sleneset,0.04069795089308172,0.0002451683788739863,166,4,3
0,10,Aldra,0.029517736556008457,0.00017062275465900843,173,5,5
0,13,Southern 3,0.024112663762643934,4.128880781274646e-05,584,6,6
0,11,Southern 1,0.017879880749387667,3.0668749141316755e-05,583,7,7
0,12,Southern 2,0.009994514707941562,2.5175100020003936e-05,397,8,8
0,5,Hestmannøy,0.003955360837280751,3.6691658972919763e-06,1078,9,9
0,8,Lovund,-0.009233784687239677,-5.844167523569416e-05,158,10,10
0,3,Selvær,-0.049584850524552165,-0.0002555920130131555,194,11,13
0,14,Southern 4,-0.05572811924910639,-0.00011466691203519833,486,12,11
0,15,Southern 5,-0.05627378368517384,-0.00027858308755036556,202,13,14
0,7,Onøy og Lurøy,-0.07914083590731025,-0.0003055630730011979,259,14,15
0,4,Gjerøy,-0.12044590587960556,-0.00021585287792044006,558,15,12
